algorithm,ARI,AMI,Purity,SS,CHS,DBS,NDBS,NCHS
acedec,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
aec,0.796509156,0.813133795,0.938461538,0.608435183,6138.263985,0.911711592,0.523091456,0.778408449
affinity,0.99516414,0.96821497,0.953846154,0.824826766,36462.33218,0.382682568,0.723231798,0.937386871
agglomerative,1.0,1.0,1.0,0.832545741,73547.5586,0.357810166,0.736479977,1.0
amddbscan,0.863160541,0.80412309,0.884461538,0.561002556,720.5477096,9.217715514,0.097869235,0.587448781
autoclustering,0.997451133,0.979549495,0.968615385,0.820134435,44763.40769,0.440963643,0.693980035,0.955690131
bang,0.999810785,0.995622663,1.0,0.810520177,35299.17566,0.362209078,0.7341017,0.934493855
birch,0.61270529,0.819833679,0.692153846,0.669611463,12791.83875,0.439908292,0.694488674,0.843919305
bsas,0.997894724,0.973130963,0.979384615,0.803626661,29914.76469,0.779733509,0.561881874,0.91972485
clique,0.998988244,0.986867609,0.995538462,0.822711899,27113.5001,1.688187704,0.371997833,0.910951336
cure,1.0,1.0,1.0,0.832545741,73547.5586,0.357810166,0.736479977,1.0
dbscan,0.999965621,0.99908116,1.0,0.823003514,52860.19449,0.338549074,0.747077578,0.970526554
dcn,1.0,1.0,1.0,0.832545741,73547.5586,0.357810166,0.736479977,1.0
ddc,0.879943286,0.860722493,0.923076923,0.64048712,2055.166498,1.214797669,0.451508512,0.680820904
dec,0.999976887,0.999386244,0.999846154,0.832470501,73422.9319,0.359157645,0.735749825,0.999848658
deepect,0.123860284,0.32234726,0.323076923,0.815058943,14416.42006,0.516574619,0.659380678,0.854587331
diana,0.127403245,0.408411724,0.368923077,0.771704802,3795.941769,0.648464037,0.606625306,0.735536712
dipdeck,1.0,1.0,1.0,0.832545741,73547.5586,0.357810166,0.736479977,1.0
dipencoder,1.0,1.0,1.0,0.832545741,73547.5586,0.357810166,0.736479977,1.0
dipInit,0.739460118,0.847122156,0.968461538,0.571947228,29067.12014,0.747693423,0.572182733,0.917159858
dipMeans,1.0,1.0,1.0,0.832545741,73547.5586,0.357810166,0.736479977,1.0
dipNSub,0.987057424,0.951204316,0.938,0.815428713,14093.97242,0.410138249,0.709150327,0.852568946
dkm,1.0,1.0,1.0,0.832545741,73547.5586,0.357810166,0.736479977,1.0
drc,0.984382245,0.943863555,0.936307692,0.812423414,11925.74231,0.441161033,0.693884984,0.83766386
gapStatistic,1.0,1.0,1.0,0.832545741,73547.5586,0.357810166,0.736479977,1.0
gmeans,1.0,1.0,1.0,0.832545741,73547.5586,0.357810166,0.736479977,1.0
hdbscan,0.999988502,0.999693443,1.0,0.831629196,65256.88171,0.341440366,0.745467354,0.989327116
idec,0.999976887,0.999386244,0.999846154,0.832470501,73422.9319,0.359157645,0.735749825,0.999848658
isbm,0.999976887,0.999386244,0.999846154,0.832381385,72991.64431,0.357272839,0.73677154,0.999322928
kmeans,1.0,1.0,1.0,0.832545741,73547.5586,0.357810166,0.736479977,1.0
ldakmeans,1.0,1.0,1.0,0.832545741,73547.5586,0.357810166,0.736479977,1.0
mbsas,0.998559053,0.982178866,0.988307692,0.813828814,40398.21439,0.562111988,0.640158969,0.946534035
mdbscan,1.0,1.0,1.0,0.832545741,73547.5586,0.357810166,0.736479977,1.0
mddbscan,0.973646167,0.939169507,0.945692308,0.779158292,11911.64211,1.16510173,0.461872062,0.837558304
meanshift,1.0,1.0,1.0,0.832545741,73547.5586,0.357810166,0.736479977,1.0
n2d,0.688345516,0.789159832,0.945384615,0.475267935,7346.267971,0.961824949,0.509729474,0.794435708
optics,0.998769607,0.991042065,0.984307692,0.818596942,37657.04202,0.516649866,0.659347963,0.940263841
pgmeans,0.988443199,0.953995875,0.938461538,0.816549147,14128.53551,0.410060461,0.709189448,0.852787494
projectedDipMeans,1.0,1.0,1.0,0.832545741,73547.5586,0.357810166,0.736479977,1.0
rock,1.0,1.0,1.0,0.832545741,73547.5586,0.357810166,0.736479977,1.0
skinnydip,0.999839372,0.996309926,0.998923077,0.830656427,64722.29637,0.361922211,0.734256327,0.988593071
somsc,0.998520276,0.987419916,0.984461538,0.822369521,46645.09455,0.474090351,0.678384469,0.959364591
specialK,0.988443199,0.953995875,0.938461538,0.816549147,14128.53551,0.410060461,0.709189448,0.852787494
spectral,0.999860626,0.996766449,0.999076923,0.831891902,71459.56187,0.353820009,0.738650628,0.997429906
subkmeans,1.0,1.0,1.0,0.832545741,73547.5586,0.357810166,0.736479977,1.0
syncsom,0.998793044,0.99111975,0.984307692,0.826681552,53018.25785,0.40230837,0.713109913,0.970792994
ttsas,0.999466309,0.990343097,0.999384615,0.813451691,42749.39145,0.528647044,0.654173247,0.951582053
vade,0.998769955,0.991195518,0.984307692,0.818052773,37195.20368,0.520336581,0.657749088,0.939162662
xmeans,0.439731166,0.715028703,1.0,0.386870441,61714.93567,0.787602814,0.559408383,0.984347177
