algorithm,ARI,AMI,Purity,SS,CHS,DBS,NDBS,NCHS
acedec,0.143815303,0.104184681,0.692307692,0.064912762,15.34899657,3.477054814,0.223361125,0.750555479
aec,0.129323856,0.105573172,0.682692308,0.081791713,15.27710215,3.556676064,0.219458216,0.74946323
affinity,0.038412132,0.127292315,0.764423077,0.132412845,14.86809186,1.668501278,0.374742185,0.743161568
agglomerative,-0.000271662,-0.001200211,0.533653846,0.141803304,33.9576493,2.40060577,0.294065254,0.94225114
amddbscan,-0.002044015,0.03260387,0.538461538,0.189442565,9.773028373,1.69570516,0.37096045,0.648573895
autoclustering,0.01087479,0.010319874,0.5625,0.150663074,41.91441256,2.098657572,0.322720396,0.994830347
bang,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
birch,-0.0024034,0.007047836,0.533653846,0.230010443,36.54833988,1.923139556,0.342097933,0.960550214
bsas,0.146035221,0.113406151,0.706730769,0.018763635,7.262049505,7.633107805,0.115833142,0.585477544
clique,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
cure,-0.00448958,0.038684753,0.533653846,0.272337738,12.72578298,1.116864831,0.472396719,0.707436277
dbscan,0.000371816,0.004401102,1.0,0.005445989,31.58645533,0.148292677,0.870858118,0.924307738
dcn,0.209215024,0.156401186,0.730769231,0.050487099,11.76336291,4.05314713,0.197896474,0.689658389
ddc,0.084448445,0.065305324,0.649038462,0.101951371,20.85142117,3.054419896,0.246644409,0.823013686
dec,0.115569802,0.084093326,0.673076923,0.142456111,36.02884536,2.295446022,0.303449061,0.95698145
deepect,0.191749211,0.143674092,0.721153846,0.050955632,11.59803903,4.087092742,0.196575933,0.686479816
diana,-0.004343925,0.001665961,0.533653846,0.234286202,36.63030274,1.853174013,0.35048686,0.961108877
dipdeck,0.006411491,0.005799555,0.552884615,0.151473856,41.52873779,2.136463343,0.318830444,0.992510134
dipencoder,0.102562917,0.076177732,0.663461538,0.072865318,15.26734878,3.550470564,0.219757492,0.749314703
dipInit,0.090300367,0.068460741,0.653846154,0.138026998,34.50570438,2.357376737,0.29785159,0.946229863
dipMeans,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
dipNSub,0.135428828,0.094287419,0.692307692,0.069876578,16.09027708,4.238677129,0.190887886,0.761560498
dkm,0.122351922,0.088944139,0.677884615,0.125215445,30.8176759,2.47521264,0.287752176,0.918217199
drc,-0.00461191,0.000629913,0.533653846,0.18316696,19.02716896,2.540639789,0.282434831,0.801130413
gapStatistic,0.003073107,0.00343666,0.567307692,0.157829368,41.72642373,1.824070421,0.354098819,0.993701966
gmeans,0.039762742,0.084363586,0.634615385,0.163907337,27.48803222,2.174644224,0.314995927,0.890077885
hdbscan,-0.005614544,0.043522054,0.533653846,0.243980244,8.009279451,1.407762068,0.41532343,0.605885055
idec,0.102564033,0.073932099,0.663461538,0.143016635,36.42706909,2.277344921,0.30512504,0.959721444
isbm,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
kmeans,0.010869155,0.008681682,0.5625,0.158398366,42.78606579,2.116142972,0.320909538,1.0
ldakmeans,0.018951377,0.014604806,0.576923077,0.145039477,39.37663211,2.207472202,0.311771993,0.97917335
mbsas,0.146035221,0.113406151,0.706730769,0.018763635,7.262049505,7.633107805,0.115833142,0.585477544
mdbscan,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
mddbscan,0.062707479,0.159017255,0.711538462,0.047279103,16.16787808,2.439874354,0.290708293,0.762686377
meanshift,0.004926559,0.034445419,1.0,0.05040982,20.60258458,0.249611004,0.800249035,0.820133795
n2d,0.102562917,0.075486481,0.663461538,0.092156418,20.94005529,3.028523019,0.248229933,0.824031917
optics,0.015416631,0.177277212,0.716346154,-0.026698449,6.55280774,1.568453384,0.389339361,0.564523338
pgmeans,-0.002332625,-0.001589828,0.533653846,0.198542562,2.31322926,0.651042183,0.605678044,0.384462506
projectedDipMeans,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
rock,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
skinnydip,0.053239667,0.045510135,0.620192308,0.131421136,32.16551124,2.405500468,0.293642597,0.928803867
somsc,-0.00027995,-7.91e-05,0.533653846,0.156007753,42.2821067,2.136229866,0.318854179,0.997023492
specialK,0.001141647,0.00452132,0.538461538,0.170094826,25.88649219,2.764093052,0.265668246,0.875389935
spectral,-0.00448958,0.038684753,0.533653846,0.272337738,12.72578298,1.116864831,0.472396719,0.707436277
subkmeans,0.010869155,0.008681682,0.5625,0.158398366,42.78606579,2.116142972,0.320909538,1.0
syncsom,0.064454537,0.123292299,0.774038462,-0.039993567,5.673096668,2.568023948,0.280267177,0.535974604
ttsas,0.001673172,0.019058146,1.0,0.025760327,27.42877904,0.209298353,0.826925793,0.889548828
vade,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
xmeans,0.038899334,0.121438947,0.721153846,0.119943556,19.79982113,1.853760789,0.350414794,0.810622096
