algorithm,ARI,AMI,Purity,SS,CHS,DBS,NDBS,NCHS
acedec,0.137581383,0.265150354,0.515498652,0.146924086,250.156483,1.47462333,0.404101904,0.651688495
aec,0.153080632,0.251848525,0.510781671,0.158533419,261.9884597,1.468806686,0.405053991,0.657092338
affinity,0.159365084,0.219368746,0.384097035,0.267075693,308.2936808,1.004230876,0.498944514,0.676137712
agglomerative,0.144653341,0.25667534,0.504716981,0.142322139,249.0092052,1.417270009,0.413689822,0.651151093
amddbscan,0.038129491,0.051107693,0.324797844,0.215731712,19.49293664,2.705784824,0.269848372,0.361515848
autoclustering,0.197959311,0.25691303,0.460242588,0.200032875,283.1501386,1.195125494,0.45555482,0.666179416
bang,0.011631776,0.048604021,0.319407008,0.59351347,140.3874588,0.61309064,0.619927966,0.584340345
birch,0.183247916,0.277612573,0.562668464,0.140425884,246.9485529,1.399093563,0.416824094,0.650179655
bsas,0.129010163,0.220587401,0.429919137,0.127695472,165.4511192,1.492149005,0.401260116,0.603447674
clique,0.015993512,0.013000517,0.317385445,0.183490104,21.68716216,7.521826541,0.117345735,0.372971423
cure,0.099157518,0.181031901,0.34097035,0.248664361,96.69345765,0.74223216,0.573976318,0.541146247
dbscan,0.000249162,0.010018036,0.997304582,0.051831697,1813.475273,0.068562674,0.935836544,0.884320655
dcn,0.123741733,0.236174067,0.469002695,0.131266018,204.9191338,1.555136408,0.391368538,0.628387978
ddc,0.148254259,0.221389819,0.404312668,0.050377697,180.1317944,2.476370894,0.287656303,0.613351257
dec,0.105786851,0.222221548,0.462264151,0.148450081,250.2791887,1.389495473,0.418498386,0.651745827
deepect,0.125373818,0.171083473,0.373315364,0.317893082,303.3143168,1.704696066,0.36972731,0.674231285
diana,0.094013794,0.195441395,0.42115903,0.175717906,216.694132,1.284532197,0.437726376,0.634910229
dipdeck,0.011631776,0.048604021,0.319407008,0.59351347,140.3874588,0.61309064,0.619927966,0.584340345
dipencoder,0.123263525,0.19217873,0.441374663,0.001644952,120.4935862,2.970582336,0.251852226,0.566605474
dipInit,0.151424732,0.252301798,0.539757412,0.116231595,131.7350819,2.213184922,0.311217693,0.576952517
dipMeans,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
dipNSub,0.003926344,0.023778425,0.372641509,-0.087481191,5.929865518,9.686878283,0.093572695,0.244014022
dkm,0.099211861,0.213544176,0.429245283,0.118387253,193.1458056,1.521029998,0.396663269,0.621484495
drc,0.015389027,0.03226325,0.316037736,0.520815375,68.94438999,2.850940362,0.259676834,0.502242995
gapStatistic,0.188705487,0.293402722,0.522911051,0.213609566,291.8809143,1.151292531,0.46483683,0.669733478
gmeans,0.164957537,0.274650153,0.539757412,0.185509752,277.5556857,1.197079233,0.455149721,0.663844397
hdbscan,0.011016375,0.048369069,0.319407008,0.589205533,103.5945947,0.523222316,0.656502987,0.549111214
idec,0.101561358,0.229134096,0.453504043,0.132596442,240.3785621,1.60904545,0.383281939,0.647027839
isbm,0.16921263,0.200918769,0.387466307,0.206421418,242.9967202,1.694969144,0.371061762,0.648293967
kmeans,0.169437284,0.276194066,0.546495957,0.18376806,293.0210725,1.276434468,0.439283456,0.670189791
ldakmeans,0.166964444,0.283982528,0.537061995,0.186601744,295.0117641,1.231963747,0.448035951,0.670982294
mbsas,0.131863282,0.240516731,0.528301887,0.092000988,183.8557818,1.906583116,0.344046587,0.61573649
mdbscan,0.122869195,0.140182984,0.354447439,0.176960811,266.8654206,1.865943067,0.348925285,0.659249557
mddbscan,0.011731039,0.045352546,0.318733154,0.581811195,105.6120951,1.432653577,0.411073738,0.551341532
meanshift,0.119260868,0.205396207,0.621293801,0.050906622,43.21106681,0.883718611,0.530864851,0.449147427
n2d,0.096074087,0.201793638,0.483153639,0.059208347,137.7651884,2.20903692,0.311619973,0.582149827
optics,0.011631776,0.048604021,0.319407008,0.59351347,140.3874588,0.61309064,0.619927966,0.584340345
pgmeans,0.002979507,0.017692953,0.312668464,0.63398095,140.4771704,0.613210829,0.61988178,0.58441457
projectedDipMeans,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
rock,0.00092822,0.026616196,0.959568733,0.09427986,110.6008001,0.253379619,0.797842876,0.556681767
skinnydip,0.019686198,0.116315101,0.437331536,-0.117494548,16.16528668,8.18238797,0.108904133,0.341692923
somsc,0.068022229,0.155136366,0.435983827,0.007710884,106.1241069,3.297154543,0.232712133,0.551900902
specialK,0.072070145,0.077445981,0.324123989,0.213984464,70.72807394,4.009460348,0.199622301,0.50516922
spectral,0.164024691,0.27509126,0.53638814,0.180437227,280.0294087,1.268966517,0.440729289,0.664882592
subkmeans,0.169931596,0.279574566,0.547169811,0.181043033,286.8754254,1.310625009,0.432783336,0.667709008
syncsom,0.105265707,0.214299124,0.458894879,0.040835419,131.1116626,1.647547924,0.377707988,0.576401887
ttsas,0.000231063,0.00946586,0.999326146,0.048024828,4843.112647,0.042280689,0.95943445,1.0
vade,0.161384757,0.232588254,0.508086253,0.115817101,142.9876596,2.010645187,0.332154717,0.586472951
xmeans,0.05488382,0.224214637,0.579514825,0.144553136,116.1526745,1.205572629,0.453396994,0.562353506
