algorithm,ARI,AMI,Purity,SS,CHS,DBS,NDBS,NCHS
acedec,0.205502948,0.298388577,0.523364486,0.344324666,62.29894251,1.557709071,0.390974881,0.836988101
aec,0.180832552,0.274615949,0.504672897,0.126244905,36.50618504,3.150367984,0.240942491,0.73391624
affinity,0.204511246,0.278486265,0.448598131,0.515298031,142.6671139,1.047790684,0.48833116,1.0
agglomerative,0.198757619,0.3025833,0.518691589,0.366833218,62.75372591,0.999867346,0.500033166,0.838404956
amddbscan,0.237361173,0.313329237,0.457943925,0.50138278,124.5023664,1.180621665,0.458584823,0.973027226
autoclustering,0.226740967,0.339782342,0.485981308,0.502879257,101.1443316,1.294485857,0.435827485,0.931991065
bang,0.010578625,0.022656041,0.364485981,0.557424668,13.3975324,0.352054832,0.739614974,0.549651785
birch,0.248843088,0.379187439,0.528037383,0.355565401,74.99039413,1.20438406,0.453641458,0.873200749
bsas,0.182153443,0.234009354,0.53271028,0.26905652,42.38312831,0.925357394,0.519384091,0.76247034
clique,0.128068365,0.226659081,0.462616822,-0.027352122,9.948048599,1.643155855,0.378335617,0.498663225
cure,0.225671705,0.327036329,0.509345794,0.496305304,51.56050427,0.808818721,0.552846998,0.800254032
dbscan,0.252922094,0.378389531,0.490654206,0.489696947,83.1421673,1.561042836,0.390465941,0.893432544
dcn,0.269619365,0.345902242,0.476635514,0.255554985,38.07108345,2.8110544,0.262394575,0.741924402
ddc,0.240398464,0.356221354,0.448598131,0.475946801,132.0760627,1.15008718,0.46509742,0.984716242
dec,0.213880171,0.356619575,0.523364486,0.285047557,59.0062627,1.91592229,0.342944667,0.826420739
deepect,0.200033387,0.292507062,0.439252336,0.507480851,136.2647962,1.083453959,0.479972209,0.99090054
diana,0.207428412,0.281755877,0.476635514,0.506720703,51.66800453,0.795001021,0.557102747,0.800657107
dipdeck,0.243500017,0.370028305,0.485981308,0.505854586,92.88983412,1.485011246,0.402412666,0.915222788
dipencoder,0.223159375,0.313196021,0.542056075,-0.06377431,40.44218577,3.53019303,0.220741146,0.753481061
dipInit,0.163130682,0.275781903,0.514018692,0.287453979,51.97207274,2.032777305,0.329730771,0.801792861
dipMeans,0.245596704,0.381432583,0.514018692,0.497975476,58.69063733,0.864030046,0.536472039,0.82537799
dipNSub,0.17207352,0.228817008,0.434579439,0.528556747,138.1998306,1.013807001,0.496571916,0.993694446
dkm,0.189879362,0.246283783,0.476635514,0.44589225,41.65851348,2.304536612,0.30261429,0.759161201
drc,0.24831108,0.38059009,0.528037383,0.440991058,43.69646491,1.724442803,0.367047529,0.768332621
gapStatistic,0.236477381,0.345354494,0.551401869,0.315251527,76.40459828,1.295500254,0.43563489,0.876859841
gmeans,0.18474294,0.326429567,0.560747664,0.387003592,84.0950834,0.932454402,0.517476634,0.895669962
hdbscan,0.257171513,0.373331617,0.481308411,0.494345559,80.84928279,1.654837899,0.376670832,0.887944618
idec,0.22143531,0.363120576,0.523364486,0.312130778,61.62705788,1.884708941,0.346655424,0.834876431
isbm,0.224129148,0.313743333,0.434579439,0.451545901,122.76375,1.19256146,0.456087557,0.970245188
kmeans,0.197767018,0.351903113,0.537383178,0.345740106,74.06597487,1.48415932,0.402550671,0.870772412
ldakmeans,0.183025159,0.298360187,0.546728972,0.347631379,85.18320635,1.052159011,0.487291674,0.898194754
mbsas,0.151707003,0.224896212,0.5,0.344630908,55.31845384,0.869370175,0.534939529,0.813885869
mdbscan,0.121441367,0.231764266,0.514018692,0.209880291,42.13376034,1.643410175,0.378299217,0.761337674
mddbscan,0.244514371,0.340295135,0.495327103,0.472103201,66.78091547,1.84602821,0.351366862,0.850533986
meanshift,0.255615623,0.37252373,0.593457944,0.306506202,31.91406222,0.564711317,0.639095525,0.708387888
n2d,0.193183736,0.30194121,0.598130841,0.064987988,47.93326831,2.211292477,0.311401097,0.786157064
optics,0.250255341,0.376165431,0.5,0.462332144,77.2027681,1.565626486,0.389768349,0.878895986
pgmeans,0.225754029,0.314109254,0.443925234,0.405664307,99.96101858,1.334133356,0.428424536,0.929671461
projectedDipMeans,0.248045148,0.376655004,0.574766355,0.304259248,61.29139491,1.182548176,0.458180035,0.833813106
rock,0.24640384,0.338533616,0.626168224,0.064003413,18.90091829,0.40307882,0.712718335,0.611083046
skinnydip,0.17207352,0.228817008,0.434579439,0.528556747,138.1998306,1.013807001,0.496571916,0.993694446
somsc,0.133629526,0.248951717,0.528037383,0.302854024,75.79136572,1.271336339,0.44026945,0.875281343
specialK,0.218749704,0.280254298,0.453271028,0.48652797,106.3846458,1.195987442,0.45537601,0.941953432
spectral,0.212215821,0.331549223,0.630841121,0.196696322,67.03978672,1.375252223,0.421007921,0.851289176
subkmeans,0.165901899,0.292814838,0.542056075,0.379665414,88.04638928,0.950784637,0.512614248,0.904690617
syncsom,0.238475306,0.363178174,0.537383178,0.321291807,37.04746244,1.062136814,0.484933877,0.73672239
ttsas,0.279755742,0.387896189,0.761682243,0.174941662,39.6699431,0.545834759,0.646899673,0.74978964
vade,0.260732165,0.389473882,0.457943925,0.472398626,129.9143492,1.164057286,0.462094976,0.981448649
xmeans,0.078351625,0.236997817,0.803738318,0.209649251,40.02573094,0.671667432,0.59820511,0.751498777
