algorithm,ARI,AMI,Purity,SS,CHS,DBS,NDBS,NCHS
acedec,0.45019484,0.5710182,0.781954887,0.258408065,254.3438353,1.566389708,0.389652435,0.833151227
aec,0.453688146,0.608986775,0.756892231,0.325623015,409.9433376,1.010631307,0.497356227,0.904406496
affinity,0.718938277,0.766981925,0.739348371,0.605261453,774.9125635,0.54518648,0.647171078,0.999707003
agglomerative,0.792463483,0.802144726,0.824561404,0.475004163,468.5298343,0.817322826,0.550259968,0.924380658
amddbscan,0.888264315,0.821284753,0.904761905,-0.055589186,101.2544813,3.770207957,0.209634466,0.696560421
autoclustering,0.764918271,0.784500559,0.789473684,0.556994096,693.5305329,0.692015635,0.591011087,0.98308566
bang,0.760304716,0.800434794,0.779448622,0.574016206,663.2893667,0.596720689,0.626283612,0.976408333
birch,0.839566229,0.859782901,0.914786967,0.491697451,521.1214473,0.825920973,0.547668829,0.940296213
bsas,0.635265758,0.772242242,0.889724311,0.262922066,355.8024118,1.592795124,0.385684156,0.883240955
clique,0.663989189,0.714076274,0.746867168,0.48290304,290.8753792,0.593918121,0.627384799,0.85316354
cure,0.81223598,0.820186227,0.842105263,0.485818072,474.9279215,0.761965014,0.567548159,0.926409415
dbscan,0.756775877,0.798817855,0.77443609,0.571420119,654.4059806,0.581335999,0.632376674,0.974389097
dcn,0.494461846,0.706026762,0.79197995,0.421242176,552.1731748,1.034674164,0.491479185,0.948957948
ddc,0.740208347,0.804147995,0.739348371,0.599657835,743.4556894,0.558573082,0.641612518,0.993498442
dec,0.499206166,0.686976215,0.781954887,0.414538475,632.2279488,0.859439556,0.537796454,0.969226171
deepect,0.469104079,0.546622726,0.626566416,0.5020277,434.7409847,0.829084961,0.54672146,0.913187035
diana,0.726747521,0.714157724,0.84962406,0.459332015,514.0751391,0.87100942,0.534470853,0.938259153
dipdeck,0.727947105,0.772687738,0.739348371,0.605399514,773.4424436,0.553104298,0.643871761,0.999422494
dipencoder,0.532166123,0.653621673,0.80952381,0.324387476,434.7812875,1.134304238,0.468536763,0.913200896
dipInit,0.535558166,0.698058383,0.832080201,0.290176438,440.1607509,1.40939165,0.415042527,0.915039624
dipMeans,0.763590146,0.806157054,0.832080201,0.546232152,585.5773897,0.701811054,0.587609299,0.957749939
dipNSub,0.436616736,0.585317743,0.626566416,0.4888052,381.7561004,0.78615076,0.559863155,0.89375971
dkm,0.593563716,0.728457291,0.86716792,0.428383554,596.8775869,0.909267374,0.523761111,0.960611357
drc,0.822467337,0.845525893,0.837092732,0.538950313,518.985877,2.013001867,0.331894915,0.93968174
gapStatistic,0.797199924,0.806358088,0.869674185,0.513767268,599.8663978,0.811670426,0.551976775,0.961359151
gmeans,0.786841281,0.7967952,0.912280702,0.484476234,496.4324688,0.85055393,0.54037874,0.933034156
hdbscan,0.789274088,0.811852373,0.80952381,0.556958244,522.4822043,1.821382816,0.354436128,0.94068644
idec,0.601272112,0.759423837,0.874686717,0.397754868,549.4669833,0.96777519,0.508188133,0.948222623
isbm,0.542784964,0.692232284,0.799498747,0.419918472,500.3364654,0.878791361,0.532257078,0.934206111
kmeans,0.611960111,0.763027156,0.884711779,0.453482413,648.8618693,0.842399817,0.542770354,0.973114998
ldakmeans,0.580983055,0.722405479,0.86716792,0.427618055,657.0919472,0.901639009,0.525862162,0.975002498
mbsas,0.790289507,0.783135249,0.827067669,0.458239056,400.5279867,0.797718847,0.556260508,0.900933427
mdbscan,0.857560178,0.873994902,0.872180451,0.302401024,449.3952274,1.539065211,0.393845733,0.918144464
mddbscan,0.943778639,0.95107828,0.904761905,0.167855756,382.0232517,6.201629092,0.138857471,0.893864244
meanshift,0.771998981,0.799871111,0.794486216,0.572741603,687.4018079,0.640474905,0.609579578,0.981756193
n2d,0.5466488,0.719643694,0.827067669,0.328867677,510.9550253,1.089484555,0.478586931,0.93734824
optics,0.918559335,0.917663716,0.864661654,0.447134462,340.0290342,1.556749248,0.391121656,0.876468625
pgmeans,0.736486868,0.794434979,0.739348371,0.602071074,756.9600986,0.555260861,0.642978953,0.996195266
projectedDipMeans,0.763590146,0.806157054,0.832080201,0.546232152,585.5773897,0.701811054,0.587609299,0.957749939
rock,0.829290632,0.842727451,0.904761905,0.48502799,506.7134788,0.835620951,0.54477478,0.936101
skinnydip,0.740208347,0.804147995,0.739348371,0.599657835,743.4556894,0.558573082,0.641612518,0.993498442
somsc,0.515404063,0.679775779,0.784461153,0.450926954,551.6746336,0.709697106,0.584898925,0.948822755
specialK,0.740208347,0.804147995,0.739348371,0.599657835,743.4556894,0.558573082,0.641612518,0.993498442
spectral,0.535927034,0.728898952,0.779448622,0.315629081,548.8649298,0.982966868,0.50429486,0.948058543
subkmeans,0.559466543,0.709973926,0.84962406,0.418947528,656.3802454,0.911086918,0.523262438,0.974840209
syncsom,0.756775877,0.798817855,0.77443609,0.571420119,654.4059806,0.581335999,0.632376674,0.974389097
ttsas,0.792169356,0.810203498,0.824561404,0.445662553,437.8265797,1.308946488,0.433097954,0.914244555
vade,0.830891081,0.83748548,0.909774436,0.446416954,457.691835,1.615991853,0.382264187,0.920880274
xmeans,0.717724805,0.758331471,0.739348371,0.605808476,776.4294615,0.547915722,0.646030004,1.0
