algorithm,ARI,AMI,Purity,SS,CHS,DBS,NDBS,NCHS
acedec,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
aec,0.750234788,0.882317909,0.7814,0.522780642,6085.278158,0.777124945,0.562706636,0.868867597
affinity,0.844262439,0.931059742,0.996,0.496037064,17710.10243,0.914686401,0.52227874,0.975362453
agglomerative,0.988135351,0.98928568,0.9944,0.708800254,22320.87982,0.364945117,0.73263019,0.998431731
amddbscan,0.276599144,0.685634121,0.7146,-0.003019989,190.6788971,15.93067821,0.059064379,0.524576212
autoclustering,0.775670793,0.899273984,0.787,0.597578269,9408.40206,0.547359487,0.646262235,0.912302683
bang,0.88276684,0.889454153,1.0,0.080044927,1710.089716,0.418021539,0.705207906,0.742386965
birch,0.992737044,0.992602727,0.9966,0.710222251,22451.72379,0.365705803,0.732222121,0.999014467
bsas,0.91625518,0.964673457,0.9266,0.678283008,14925.42548,0.399161613,0.714713719,0.958307277
clique,0.890512803,0.912050429,0.9456,0.339933592,1261.854021,1.270340305,0.440462603,0.712120141
cure,0.993567633,0.99354198,0.997,0.710420436,22503.51636,0.364961787,0.732621242,0.999244197
dbscan,0.942666578,0.95007353,0.9638,0.674096468,5198.379007,1.522060431,0.396501205,0.853166327
dcn,0.994558775,0.9941549,0.9974,0.711203685,22612.31327,0.365312925,0.732432823,0.999725056
ddc,0.992952848,0.993404369,0.9966,0.709620687,22402.44131,0.366516182,0.731787895,0.998795379
dec,0.988676595,0.990363857,0.9944,0.708417804,22285.0152,0.36797193,0.731009152,0.998271405
deepect,0.127375542,0.385044277,0.1408,0.386084314,3268.303602,1.126896509,0.470168622,0.806916028
diana,0.779709221,0.907201156,0.79,0.538176435,7684.939381,0.670790596,0.59851905,0.892132073
dipdeck,0.996989607,0.996553667,0.9986,0.710888397,22553.15225,0.365409632,0.732380947,0.999463865
dipencoder,0.994455611,0.993970025,0.9974,0.711257815,22631.11105,0.364901834,0.732653423,0.999807904
dipInit,0.916779227,0.967921915,0.9322,0.667349393,14231.98629,0.439405292,0.694731363,0.953564312
dipMeans,0.994962549,0.994657235,0.9976,0.711553279,22674.75684,0.365553588,0.73230374,1.0
dipNSub,0.431576657,0.646806769,0.5246,0.099629704,856.2734214,3.124185762,0.242472104,0.673532579
dkm,0.993732692,0.993455165,0.997,0.711165126,22615.49575,0.365495245,0.732335029,0.999739087
drc,0.947726509,0.953497545,0.9678,0.676381362,5630.568302,1.512956663,0.397937622,0.861126567
gapStatistic,0.994962549,0.994657235,0.9976,0.711553279,22674.75684,0.365553588,0.73230374,1.0
gmeans,0.986750787,0.988394196,0.9962,0.698445413,21594.01475,0.406201221,0.711135778,0.995130999
hdbscan,0.929036261,0.942094535,0.957,0.666102348,4722.401491,1.496434099,0.400571359,0.843595113
idec,0.992402988,0.991721645,0.9964,0.710752204,22549.34865,0.365804951,0.732168967,0.999447049
isbm,0.985348367,0.985773941,0.993,0.707814487,22241.23845,0.367811253,0.731095023,0.99807536
kmeans,0.994953549,0.994552733,0.9976,0.71155403,22674.53185,0.365505848,0.732329343,0.999999011
ldakmeans,0.995394227,0.995061637,0.9978,0.711564193,22674.6792,0.365452676,0.73235786,0.999999659
mbsas,0.991884423,0.991585285,0.9962,0.710202678,22465.09507,0.36620453,0.731954827,0.999073827
mdbscan,0.994531661,0.994150024,0.9974,0.711548037,22674.65849,0.36547553,0.732345603,0.999999568
mddbscan,0.897041804,0.921203776,0.9694,0.498172146,5146.7031,1.981882577,0.335358611,0.852170559
meanshift,0.994962549,0.994657235,0.9976,0.711553279,22674.75684,0.365553588,0.73230374,1.0
n2d,0.989363786,0.990061207,0.995,0.708516287,22254.9607,0.368954606,0.730484412,0.998136854
optics,0.925415066,0.948340279,0.9604,0.651242039,7280.949917,1.021525263,0.494675985,0.886749064
pgmeans,0.68021739,0.887988141,0.7248,0.459176448,4836.497751,0.767651135,0.565722489,0.845974531
projectedDipMeans,0.994962549,0.994657235,0.9976,0.711553279,22674.75684,0.365553588,0.73230374,1.0
rock,0.988415842,0.988184875,0.9946,0.708065993,22188.63615,0.367119248,0.731465087,0.99783928
skinnydip,0.872033579,0.920282939,0.9708,0.499424395,12237.07872,0.876829133,0.532813554,0.938508268
somsc,0.848360515,0.945985793,0.8744,0.609417407,10906.02598,0.628872286,0.613921674,0.927028155
specialK,0.985964771,0.989237944,0.9932,0.703608325,21217.20149,0.368777048,0.73057917,0.993375876
spectral,0.989342019,0.992834275,0.9948,0.704134924,21273.11211,0.367767494,0.731118413,0.993638257
subkmeans,0.994962549,0.994657235,0.9976,0.711553279,22674.75684,0.365553588,0.73230374,1.0
syncsom,0.729441653,0.910572653,0.743,0.493396359,4394.777244,0.973725936,0.506655956,0.836429058
ttsas,0.91625518,0.964673457,0.9266,0.678283008,14925.42548,0.399161613,0.714713719,0.958307277
vade,0.997438102,0.997064029,0.9988,0.711260423,22618.18732,0.365261188,0.732460579,0.999750953
xmeans,0.994521863,0.994148332,0.9974,0.711543026,22674.60949,0.365607022,0.732275086,0.999999352
