algorithm,ARI,AMI,Purity,SS,CHS,DBS,NDBS,NCHS
acedec,0.538304803,0.459964153,0.867,0.484555204,1297.570235,0.815025722,0.550956379,0.867568726
aec,0.52369923,0.420619649,0.862,0.501778681,1417.49343,0.802812394,0.554688887,0.878249265
affinity,0.481116616,0.382285675,0.847,0.500519467,1416.334577,0.804084713,0.554297696,0.878150439
agglomerative,0.739344197,0.698431371,0.93,0.460453742,1163.921289,0.863470923,0.536633004,0.854437192
amddbscan,0.680394051,0.678311289,0.996,0.141529893,361.0629663,1.850562376,0.35080797,0.713263682
autoclustering,0.520804649,0.418600377,0.861,0.501001445,1413.330519,0.803276185,0.554546224,0.87789388
bang,1.0,1.0,1.0,0.393561504,895.1474068,1.007259154,0.498191775,0.822728657
birch,0.77770458,0.731629229,0.941,0.454653809,1141.4819,0.876404587,0.532934105,0.852085651
bsas,0.295230627,0.224986935,0.772,0.320794479,557.5662787,1.22219842,0.45000482,0.765608016
clique,0.995999996,0.989583982,0.999,0.391414184,882.4907854,1.013544307,0.4966367,0.82100943
cure,1.0,1.0,1.0,0.393561504,895.1474068,1.007259154,0.498191775,0.822728657
dbscan,1.0,1.0,1.0,0.393561504,895.1474068,1.007259154,0.498191775,0.822728657
dcn,0.577177899,0.473419431,0.88,0.494271716,1369.025884,0.811672679,0.551976089,0.874045512
ddc,1.0,1.0,1.0,0.393561504,895.1474068,1.007259154,0.498191775,0.822728657
dec,0.577177431,0.472119497,0.88,0.495214098,1374.449075,0.811102931,0.552149733,0.874523205
deepect,0.553096444,0.467406614,0.872,0.474254671,1226.998255,0.830743259,0.546226236,0.860812597
diana,0.333431777,0.266769342,0.789,0.464516642,1207.627408,0.843426032,0.542468199,0.858890213
dipdeck,0.580223805,0.473144512,0.881,0.498408915,1393.378684,0.807914471,0.553123511,0.876175965
dipencoder,0.601778815,0.498366588,0.888,0.49206865,1338.867141,0.816567355,0.550488809,0.871354063
dipInit,0.503603108,0.402386734,0.855,0.501576706,1418.866351,0.802895572,0.554663296,0.878366242
dipMeans,0.343602191,0.541265243,0.995,0.498781634,1539.402432,0.684230169,0.593743075,0.888219049
dipNSub,0.506477498,0.466687604,0.856,0.462607912,1160.105165,0.830562195,0.546280265,0.854040491
dkm,0.574138956,0.470761136,0.879,0.494376268,1369.619981,0.811367779,0.552069001,0.874097934
drc,0.998001996,0.994814529,1.0,0.035062413,447.2592676,2.021118368,0.331003251,0.739040292
gapStatistic,0.503603108,0.402386734,0.855,0.501576706,1418.866351,0.802895572,0.554663296,0.878366242
gmeans,0.388910655,0.37452793,0.831,0.455137762,1156.133407,0.870279649,0.5346794,0.853626227
hdbscan,1.0,1.0,1.0,0.393561504,895.1474068,1.007259154,0.498191775,0.822728657
idec,0.577177431,0.472119497,0.88,0.495214098,1374.449075,0.811102931,0.552149733,0.874523205
isbm,0.300335579,0.514972965,0.999,0.414589589,1191.897229,0.68078651,0.594959558,0.857306346
kmeans,0.503603108,0.402386734,0.855,0.501576706,1418.866351,0.802895572,0.554663296,0.878366242
ldakmeans,0.506449964,0.404964988,0.856,0.501619005,1418.810544,0.802840152,0.554680347,0.878361489
mbsas,0.297412735,0.226710466,0.773,0.3233153,562.6223163,1.216120331,0.451239035,0.766696449
mdbscan,1.0,1.0,1.0,0.393561504,895.1474068,1.007259154,0.498191775,0.822728657
mddbscan,1.0,1.0,1.0,0.393561504,895.1474068,1.007259154,0.498191775,0.822728657
meanshift,0.583278969,0.476340414,0.882,0.498881026,1394.141785,0.807461242,0.553262209,0.876242121
n2d,0.64606173,0.537138954,0.902,0.49053462,1345.128949,0.820012191,0.549446869,0.87191783
optics,1.0,1.0,1.0,0.393561504,895.1474068,1.007259154,0.498191775,0.822728657
pgmeans,0.475596491,0.414176057,0.845,0.469017548,1216.682708,0.824183832,0.548190365,0.859792674
projectedDipMeans,0.344271764,0.541468484,0.995,0.498760685,1538.90983,0.683976134,0.593832644,0.888180372
rock,1.0,1.0,1.0,0.393561504,895.1474068,1.007259154,0.498191775,0.822728657
skinnydip,0.375358104,0.567297527,0.999,0.387753254,1110.897774,0.725261972,0.579622119,0.848805166
somsc,0.495110605,0.394750158,0.852,0.499899553,1412.755863,0.804708064,0.55410624,0.87784474
specialK,1.0,1.0,1.0,0.393561504,895.1474068,1.007259154,0.498191775,0.822728657
spectral,1.0,1.0,1.0,0.393561504,895.1474068,1.007259154,0.498191775,0.822728657
subkmeans,0.503603108,0.402386734,0.855,0.501576706,1418.866351,0.802895572,0.554663296,0.878366242
syncsom,1.0,1.0,1.0,0.393561504,895.1474068,1.007259154,0.498191775,0.822728657
ttsas,0.601506374,0.627175812,1.0,-0.446167859,105.6247495,1.4355134,0.410591048,0.566132564
vade,0.568084913,0.464985084,0.877,0.495430645,1378.563341,0.809662206,0.552589316,0.87488435
xmeans,0.056943484,0.314061529,1.0,0.403065056,3880.488621,0.708940158,0.585157997,1.0
