algorithm,ARI,AMI,Purity,SS,CHS,DBS,NDBS,NCHS
acedec,0.324128268,0.425299247,0.750869061,0.222662472,232.6826204,2.56923932,0.280171743,0.732478694
aec,0.843481747,0.833642208,0.896871379,0.456404419,455.4281204,0.918569022,0.5212218,0.822039862
affinity,0.674094945,0.722725449,0.849362688,0.482941086,740.6506242,0.754993056,0.569802824,0.887072532
agglomerative,0.67956244,0.784823658,0.898030127,0.52308031,999.1849247,0.654529129,0.604401568,0.92715903
amddbscan,0.611071639,0.623263242,0.834298957,0.068081691,40.38475101,14.92843906,0.062780791,0.502807838
autoclustering,0.939329777,0.917759638,0.979142526,0.540623026,960.8855218,0.567591817,0.637921166,0.921924679
bang,0.954360979,0.853474196,0.998841251,0.27763897,90.56124834,0.479621208,0.675848653,0.607626696
birch,0.70162482,0.795195672,0.906141367,0.524466177,994.5109103,0.651989753,0.605330631,0.926531066
bsas,0.333826281,0.535885371,0.673232908,0.299841036,361.0837573,1.409865308,0.414960951,0.791042202
clique,0.877355354,0.78519086,0.926998841,0.160911918,49.19309696,1.231473387,0.448134406,0.528146387
cure,0.397195609,0.664516403,0.659327926,0.541252464,449.0845117,0.506123612,0.663956127,0.820165794
dbscan,0.895056989,0.861288849,0.942062572,0.485295587,347.485451,1.305839639,0.433681503,0.785919686
dcn,0.962204716,0.932295621,0.98377752,0.527324686,876.565258,0.578163147,0.633648049,0.909626282
ddc,0.893160132,0.900268189,0.926998841,0.48219392,494.4940656,0.876255073,0.532976574,0.833037545
dec,0.983557212,0.97756064,0.995365006,0.538569997,936.1351817,0.569209721,0.63726345,0.918430125
deepect,0.728082535,0.741027419,0.826187717,0.405281075,425.6118383,1.070543617,0.482964953,0.812994461
diana,0.75358346,0.757558806,0.872537659,0.467532616,528.0984818,0.811434627,0.552048628,0.841826278
dipdeck,0.966442209,0.943986402,0.987253766,0.532139172,905.3022604,0.574137191,0.635268645,0.913945475
dipencoder,0.987652819,0.982284316,0.996523754,0.538060489,935.3738952,0.568770657,0.637441806,0.918321182
dipInit,0.559061106,0.693545202,0.881807648,0.264561412,357.4939433,2.117268635,0.320793655,0.789708792
dipMeans,0.683241449,0.781623884,0.899188876,0.531900026,1017.752006,0.639253772,0.610033673,0.929624933
dipNSub,0.81567989,0.748967327,0.870220162,0.42414247,337.2991861,1.282858015,0.438047392,0.781950184
dkm,0.865425568,0.862882589,0.958285052,0.524451465,793.6612662,0.631319014,0.613000885,0.896325126
drc,0.969038872,0.907429822,0.987253766,0.442119982,300.9547658,1.683665764,0.372624644,0.766745828
gapStatistic,0.710237629,0.847723841,0.994206257,0.598459681,1481.059538,0.559825873,0.6410972,0.97988812
gmeans,0.710237629,0.847723841,0.994206257,0.598459681,1481.059538,0.559825873,0.6410972,0.97988812
hdbscan,0.889672573,0.912183297,0.995365006,0.525889257,588.3431775,2.275464328,0.305300226,0.856271408
idec,0.983557212,0.97756064,0.995365006,0.538569997,936.1351817,0.569209721,0.63726345,0.918430125
isbm,0.840926185,0.855895118,0.951332561,0.457661049,786.248023,0.62490742,0.615419677,0.89506894
kmeans,0.683241449,0.781623884,0.899188876,0.531900026,1017.752006,0.639253772,0.610033673,0.929624933
ldakmeans,0.683241449,0.781623884,0.899188876,0.531900026,1017.752006,0.639253772,0.610033673,0.929624933
mbsas,0.373596593,0.652983078,0.728852839,0.458317697,874.4037937,0.683440383,0.59402163,0.909295721
mdbscan,0.74802988,0.797743865,0.989571263,0.499132482,882.2164446,0.948225226,0.513287677,0.910486712
mddbscan,0.991024196,0.986424419,0.998841251,0.512553329,728.4592697,0.709092519,0.585105832,0.884851271
meanshift,0.918120559,0.90617409,0.974507532,0.540374279,971.2744379,0.571648795,0.636274467,0.923364823
n2d,0.995874256,0.992967496,0.998841251,0.536528478,930.4000382,0.569219408,0.637259516,0.917607215
optics,0.995874256,0.992967496,0.998841251,0.536528478,930.4000382,0.569219408,0.637259516,0.917607215
pgmeans,1.0,1.0,1.0,0.535662421,928.0450806,0.569469689,0.637157893,0.917267845
projectedDipMeans,0.710237629,0.847723841,0.994206257,0.598459681,1481.059538,0.559825873,0.6410972,0.97988812
rock,0.997075228,0.993599183,0.998841251,0.535112952,924.596307,0.569987364,0.636947802,0.916769294
skinnydip,1.0,1.0,1.0,0.535662421,928.0450806,0.569469689,0.637157893,0.917267845
somsc,0.404550459,0.667048973,0.757821553,0.483515697,934.4231453,0.670847612,0.598498626,0.918185001
specialK,0.995874256,0.992967496,0.998841251,0.536528478,930.4000382,0.569219408,0.637259516,0.917607215
spectral,0.991758515,0.987357204,0.997682503,0.537388442,931.9106515,0.569264002,0.637241407,0.917824456
subkmeans,0.683820765,0.778397965,0.899188876,0.531644828,1017.738932,0.639341617,0.610000984,0.929623212
syncsom,0.937964586,0.91378754,0.977983778,0.424394438,451.1966103,0.682322234,0.594416444,0.820792674
ttsas,0.867578849,0.829754014,0.993047509,0.126652819,188.7827471,2.585376722,0.278910719,0.704686665
vade,1.0,1.0,1.0,0.535662421,928.0450806,0.569469689,0.637157893,0.917267845
xmeans,0.563889624,0.737243063,0.997682503,0.557051967,1720.842468,0.682150852,0.594477005,1.0
