algorithm,dataset,n_clusters,init,embedding_size,pretrain_optimizer_params,clustering_optimizer_params,random_state,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score,norm_davies_bouldin_score,priority_score,pretrain_epochs,clustering_epochs,damping,convergence_iter,affinity,preference,linkage,input_dim,levels,threshold,branching_factor,maximum_clusters,amount_intervals,density_threshold,number_cluster,number_represent_points,compression,eps,min_samples,ratio,max_n_leaf_nodes,n_clusters_init,dip_merge_threshold,step_size,dip_threshold,n_starting_vectors,ambiguous_triangle_strategy,significance,split_viewers_threshold,pval_strategy,outliers,consider_duplicates,min_n_clusters,max_n_clusters,n_boots,use_principal_components,use_log,n_split_trials,min_cluster_size,metric,leaf_size,pn,max_iter,n_init,k,t,var,bandwidth,bin_seeding,xi,n_projections,n_samples,number_clusters,add_tails,max_cluster_size_diff_factor,amount_clusters,epouch,similarity_matrix,n_neighbors,rows,cols,radius,threshold1,threshold2
acedec,D5,2.0,acedec,10.0,,,,-0.0002171542946915,-0.0001569019349884,0.514,0.3604284556230282,606.4598767453579,1.1553641158353896,0.4639587309879721,0.2337265017921961,200.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acedec,ecoli,8.0,subkmeans,5.0,{'lr': 0.01},{'lr': 0.0001},42.0,0.4150253613373004,0.5558390278524472,0.7797619047619048,0.2334536847352812,137.65658613183243,1.2575675475224628,0.442954631013117,0.5368671948306496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acedec,elly2d10c13s,10.0,acedec,2.0,,,,0.4029365066379116,0.573654604145234,0.6294706723891274,0.4102611280694835,2766.367106372918,0.7592486040048735,0.5684244953916869,0.5536521404775919,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acedec,glass,6.0,acedec,2.0,{'lr': 0.01},{'lr': 0.001},42.0,0.2055029478359851,0.2983885768263845,0.5233644859813084,0.344324666204129,62.29894251318422,1.5577090705186032,0.3909748812038419,0.3722657218298326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acedec,ionosphere,2.0,acedec,10.0,{'lr': 0.001},{'lr': 1e-05},42.0,0.1774790893008384,0.1308840518639243,0.7122507122507122,0.2876697269477122,110.68017382428803,1.5675462365812034,0.3894769199294118,0.33075617622244174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acedec,s1,15.0,acedec,2.0,{'lr': 0.01},{'lr': 0.001},42.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.7999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acedec,s2,15.0,acedec,2.0,{'lr': 0.01},{'lr': 0.001},42.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.7999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acedec,sonar,2.0,acedec,5.0,{'lr': 0.001},{'lr': 1e-05},42.0,0.1438153027746389,0.1041846806794479,0.6923076923076923,0.0649127619882184,15.348996569195776,3.477054814125727,0.2233611250067481,0.24875595450116425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acedec,statlog,7.0,sgd,10.0,{'lr': 0.01},{'lr': 0.001},42.0,0.6511440940064268,0.7281746946320812,0.7787878787878788,0.2534196171788789,1111.8037865838191,1.949541288920421,0.3390357693097478,0.6476838212449124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acedec,unbalance,8.0,acedec,2.0,{'lr': 0.01},{'lr': 0.001},42.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.7999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
