dataset,algorithm,dimensions,n_samples,execution_time,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score
D3_1000,kmeans,2,1000,0.004787278175354004,0.8404800848357598,0.82485823979552,0.9427999999999999,0.6414824530709919,3569.8279492230927,0.5773176554991275
D3_2000,kmeans,2,2000,0.0021767377853393554,0.8054089900227108,0.7923399761046925,0.9291499999999999,0.6492541008504511,7180.369625474546,0.5610918163282446
D3_3000,kmeans,2,3000,0.002352285385131836,0.808550138922515,0.794349141723325,0.9304333333333334,0.6544520351939,10822.005211599218,0.5607989526241736
D3_4000,kmeans,2,4000,0.0027176618576049806,0.8156589153589483,0.80029339301003,0.9332499999999999,0.6481548197232023,13673.114130644808,0.5669250803039051
D3_5000,kmeans,2,5000,0.0033980846405029298,0.8128605700973515,0.7981853760000772,0.9321200000000001,0.6477445282276699,17201.261974597426,0.5693602853251982
D3_6000,kmeans,2,6000,0.003850078582763672,0.8130722782456747,0.7983079289403354,0.9322000000000001,0.6507382157309882,21226.40402659242,0.5629452913080656
D3_7000,kmeans,2,7000,0.004160737991333008,0.8004842148495861,0.7880445276842241,0.9271142857142858,0.6508135162637487,24507.630237832724,0.5650430008091317
D3_8000,kmeans,2,8000,0.003611040115356445,0.805204659621227,0.7918342786680199,0.9290375,0.6541032131303813,29247.532146565434,0.5628469906427798
D3_9000,kmeans,2,9000,0.004396295547485352,0.8025138533167053,0.7895195752726764,0.9279555555555555,0.6536446620115972,32826.125733348286,0.5601626051514863
