algorithm,dataset,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score,norm_davies_bouldin_score,norm_calinski_harabasz_score
aec,D3,0.885466288,0.861683475,0.96,0.641298576,3538.886924,0.573889279,0.635368709,0.99892807
aec,D4,0.52369923,0.420619649,0.862,0.501778681,1417.49343,0.802812394,0.554688887,0.878249265
aec,D5,-0.000423486,-0.000306527,0.512,0.35692066,593.1015153,1.165893025,0.46170332,0.846192041
aec,ecoli,0.316137279,0.437140468,0.702380952,0.083398862,86.08872632,2.670735226,0.272424988,0.839867675
aec,elly2d10c13s,0.395685584,0.560276563,0.600500715,0.38832089,2675.835486,0.812612191,0.551689989,0.983879575
aec,glass,0.180832552,0.274615949,0.504672897,0.126244905,36.50618504,3.150367984,0.240942491,0.73391624
aec,ionosphere,0.182430909,0.135932662,0.715099715,0.288593008,111.7847774,1.559402101,0.390716253,0.573464158
aec,s1,0.750234788,0.882317909,0.7814,0.522780642,6085.278158,0.777124945,0.562706636,0.868867597
aec,s2,0.779608537,0.880001969,0.8388,0.513081526,7625.3263,0.78604177,0.55989732,0.940084455
aec,sonar,0.129323856,0.105573172,0.682692308,0.081791713,15.27710215,3.556676064,0.219458216,0.74946323
aec,statlog,0.665598235,0.762197679,0.793939394,0.287923325,1178.898442,1.550164962,0.392131495,0.957143104
aec,unbalance,0.796509156,0.813133795,0.938461538,0.608435183,6138.263985,0.911711592,0.523091456,0.778408449
aec,wdbc,0.760800614,0.662235689,0.936731107,0.383896085,362.4646575,1.136159803,0.468129771,0.999244784
aec,wine,0.830784965,0.796529281,0.943820225,0.290914049,80.78783196,1.337719273,0.427767359,0.993083587
aec,yeast,0.153080632,0.251848525,0.510781671,0.158533419,261.9884597,1.468806686,0.405053991,0.657092338
affinity,2d10c,0.955561036,0.973292632,0.998327759,0.770433121,47468.91901,0.412422565,0.708003415,0.999289632
affinity,2d20c,0.978402121,0.981350623,0.988134476,0.658758807,5972.862218,0.482331294,0.674613026,0.999961719
affinity,2d4c,0.674094945,0.722725449,0.849362688,0.482941086,740.6506242,0.754993056,0.569802824,0.887072532
affinity,3spiral,0.151656063,0.416064779,0.907051282,0.392821288,243.342011,0.859684407,0.537725646,0.946066778
affinity,aggregation,0.77190871,0.818159732,0.851522843,0.538173345,1212.13979,0.551702786,0.644453312,0.989314382
affinity,compound,0.718938277,0.766981925,0.739348371,0.605261453,774.9125635,0.54518648,0.647171078,0.999707003
affinity,D1,0.982117378,0.969084124,0.994,0.651385991,3027.624938,0.490233658,0.671035709,1
affinity,D2,0.522089444,0.621636598,0.657,0.636940131,2647.264009,0.489352941,0.671432521,0.96612161
affinity,D3,0.838315658,0.822402455,0.942,0.641249309,3565.750084,0.57417744,0.635252402,0.99985192
affinity,D4,0.481116616,0.382285675,0.847,0.500519467,1416.334577,0.804084713,0.554297696,0.878150439
affinity,D5,0.082564732,0.352752733,1,0.471795249,1898.702514,0.579861782,0.632966764,1
affinity,ecoli,0.668252495,0.628309239,0.75,0.408200662,187.43179,1.093993398,0.477556424,0.983463956
affinity,elly2d10c13s,0.345789302,0.510402904,0.535765379,0.435662804,2493.668996,0.725128662,0.579666909,0.97509732
affinity,glass,0.204511246,0.278486265,0.448598131,0.515298031,142.6671139,1.047790684,0.48833116,1
affinity,ionosphere,0.038412132,0.127292315,0.764423077,0.132412845,14.86809186,1.668501278,0.374742185,0.342241995
affinity,s1,0.844262439,0.931059742,0.996,0.496037064,17710.10243,0.914686401,0.52227874,0.975362453
affinity,s2,0.666407339,0.840966417,0.9548,0.398199369,9561.768844,0.940785902,0.515255185,0.963876516
affinity,sonar,0.038412132,0.127292315,0.764423077,0.132412845,14.86809186,1.668501278,0.374742185,0.743161568
affinity,statlog,0.549328087,0.662261971,0.66969697,0.296828169,1383.733903,1.457686002,0.406886803,0.978785533
affinity,unbalance,0.99516414,0.96821497,0.953846154,0.824826766,36462.33218,0.382682568,0.723231798,0.937386871
affinity,wdbc,0.755069651,0.640457723,0.934973638,0.374924723,359.9977804,1.150268577,0.465058184,0.998094245
affinity,wine,0.880399776,0.859473433,0.960674157,0.300091504,83.24219959,1.31735458,0.431526538,0.999653244
affinity,yeast,0.159365084,0.219368746,0.384097035,0.267075693,308.2936808,1.004230876,0.498944514,0.676137712
agglomerative,2d10c,1,1,1,0.836521479,47576.83587,0.2287864,0.81381109,0.999500364
agglomerative,2d20c,0.993159766,0.992890858,0.99538563,0.654881526,5824.390927,0.484038477,0.673836976,0.99706794
agglomerative,2d4c,0.67956244,0.784823658,0.898030127,0.52308031,999.1849247,0.654529129,0.604401568,0.92715903
agglomerative,3spiral,0.010045251,0.010631822,0.400641026,0.343411507,218.119669,0.908520247,0.523966147,0.927415579
agglomerative,aggregation,0.991326806,0.98675044,0.994923858,0.474197803,1144.348815,0.543626671,0.647825034,0.981310774
agglomerative,compound,0.792463483,0.802144726,0.824561404,0.475004163,468.5298343,0.817322826,0.550259968,0.924380658
agglomerative,D1,0.970376616,0.953386183,0.99,0.650493554,3018.377753,0.491748016,0.670354503,0.999618657
agglomerative,D2,0.627899466,0.639617952,0.844,0.509477163,2597.946922,0.721282666,0.580962104,0.963818368
agglomerative,D3,0.952888048,0.934097838,0.984,0.627293178,3241.315103,0.582500844,0.631911195,0.988198048
agglomerative,D4,0.739344197,0.698431371,0.93,0.460453742,1163.921289,0.863470923,0.536633004,0.854437192
agglomerative,D5,0.012510287,0.009609167,0.558,0.329851744,525.4157813,1.204722855,0.453571748,0.830199571
agglomerative,ecoli,0.657905057,0.65321768,0.764880952,0.387871041,104.6665073,0.762648988,0.567327929,0.875755782
agglomerative,elly2d10c13s,0.413534966,0.581470042,0.614806867,0.360752153,2092.489671,0.7827976,0.560916169,0.953251761
agglomerative,glass,0.198757619,0.3025833,0.518691589,0.366833218,62.75372591,0.999867346,0.500033166,0.838404956
agglomerative,ionosphere,0.187174192,0.136782309,0.717948718,0.294898191,112.4104333,1.56526639,0.389823062,0.574128375
agglomerative,s1,0.988135351,0.98928568,0.9944,0.708800254,22320.87982,0.364945117,0.73263019,0.998431731
agglomerative,s2,0.929615635,0.94930334,0.9646,0.607305387,12342.003,0.485125029,0.673343982,0.990712348
agglomerative,sonar,-0.000271662,-0.001200211,0.533653846,0.141803304,33.9576493,2.40060577,0.294065254,0.94225114
agglomerative,statlog,0.538239899,0.636164355,0.707792208,0.284212619,1279.751524,1.280860719,0.43843098,0.968231517
agglomerative,unbalance,1,1,1,0.832545741,73547.5586,0.357810166,0.736479977,1
agglomerative,wdbc,0.538338896,0.416171984,0.868189807,0.367060543,319.0179493,1.230192876,0.448391711,0.977741317
agglomerative,wine,0.931000118,0.907670919,0.97752809,0.294829063,81.32763861,1.318311145,0.431348485,0.994545054
agglomerative,yeast,0.144653341,0.25667534,0.504716981,0.142322139,249.0092052,1.417270009,0.413689822,0.651151093
amddbscan,2d10c,0.450395238,0.654190936,0.764214047,-0.023736776,271.5764822,17.70654223,0.053457234,0.520770923
amddbscan,2d20c,0.403955096,0.704472524,0.797626895,0.040768903,53.82075391,5.405317356,0.15612029,0.462546918
amddbscan,2d4c,0.611071639,0.623263242,0.834298957,0.068081691,40.38475101,14.92843906,0.062780791,0.502807838
amddbscan,3spiral,0.546530356,0.720579955,0.987179487,0.020684078,37.355388,2.215656113,0.310978527,0.631432845
amddbscan,aggregation,0.967718479,0.960623632,0.993654822,0.37531489,746.8695218,1.008822795,0.497803989,0.921998578
amddbscan,compound,0.888264315,0.821284753,0.904761905,-0.055589186,101.2544813,3.770207957,0.209634466,0.696560421
amddbscan,D1,0.865039322,0.819786251,0.949,0.441472773,602.2852726,2.84035387,0.260392671,0.798888638
amddbscan,D2,0.647656779,0.639256545,0.864,0.24075091,160.9076269,11.1298451,0.082441284,0.624284609
amddbscan,D3,0.733460454,0.731896107,0.935,0.413757477,879.7861991,8.218137159,0.108481788,0.828997796
amddbscan,D4,0.680394051,0.678311289,0.996,0.141529893,361.0629663,1.850562376,0.35080797,0.713263682
amddbscan,D5,-1,-1,-1,-1,-1,-1,-1,-1
amddbscan,ecoli,0.495313059,0.476101718,0.633928571,0.150847942,33.10931692,1.379143409,0.420319345,0.667353969
amddbscan,elly2d10c13s,0.313967021,0.500833889,0.478183119,0.207031415,370.9573987,4.984919619,0.167086622,0.738145422
amddbscan,glass,0.237361173,0.313329237,0.457943925,0.50138278,124.5023664,1.180621665,0.458584823,0.973027226
amddbscan,ionosphere,-0.002044015,0.03260387,0.538461538,0.189442565,9.773028373,1.69570516,0.37096045,0.298682323
amddbscan,s1,0.276599144,0.685634121,0.7146,-0.003019989,190.6788971,15.93067821,0.059064379,0.524576212
amddbscan,s2,0.228613024,0.61280536,0.6602,-0.128681034,80.01877951,6.999371615,0.125009819,0.463438329
amddbscan,sonar,-0.002044015,0.03260387,0.538461538,0.189442565,9.773028373,1.69570516,0.37096045,0.648573895
amddbscan,statlog,0.143289491,0.370205229,0.744588745,-0.236009605,11.11221228,2.368037106,0.296908843,0.348210233
amddbscan,unbalance,0.863160541,0.80412309,0.884461538,0.561002556,720.5477096,9.217715514,0.097869235,0.587448781
amddbscan,wdbc,0.233152271,0.171392767,0.757469244,0.105529594,29.30808603,2.378951943,0.295949755,0.58342233
amddbscan,wine,0.40845359,0.500190938,0.747191011,-0.063945123,9.912125283,1.50244254,0.399609575,0.557125091
amddbscan,yeast,0.038129491,0.051107693,0.324797844,0.215731712,19.49293664,2.705784824,0.269848372,0.361515848
autoclustering,2d10c,0.865631492,0.920884391,0.902675585,0.756018783,21247.55253,0.321699061,0.756601884,0.924696395
autoclustering,2d20c,0.670650653,0.855831689,0.678971655,0.553518629,3050.898817,0.593407578,0.627585819,0.922742704
autoclustering,2d4c,0.939329777,0.917759638,0.979142526,0.540623026,960.8855218,0.567591817,0.637921166,0.921924679
autoclustering,3spiral,0.015336812,0.048223922,0.407051282,0.312031299,169.8307788,0.948040682,0.513336302,0.884835387
autoclustering,aggregation,0.904602924,0.892075538,0.921319797,0.465091226,1152.000834,0.688452951,0.592258138,0.982237561
autoclustering,compound,0.764918271,0.784500559,0.789473684,0.556994096,693.5305329,0.692015635,0.591011087,0.98308566
autoclustering,D1,0.979169259,0.966350672,0.993,0.650585886,3017.8903,0.491371169,0.670523892,0.999598522
autoclustering,D2,0.669505496,0.655258988,0.868,0.481931003,2154.128281,0.692708674,0.590769112,0.940875615
autoclustering,D3,0.855960418,0.834520725,0.949,0.633758529,3387.380307,0.573669352,0.635457505,0.993582677
autoclustering,D4,0.520804649,0.418600377,0.861,0.501001445,1413.330519,0.803276185,0.554546224,0.87789388
autoclustering,D5,0.002621191,0.001943246,0.53,0.350724352,583.1719992,1.160477984,0.462860537,0.843963401
autoclustering,ecoli,0.681612766,0.620715279,0.797619048,0.358662118,167.0004037,1.025820584,0.49362713,0.962060435
autoclustering,elly2d10c13s,0.353739947,0.527861657,0.535407725,0.413915168,2216.599445,0.738172574,0.575316867,0.960427725
autoclustering,glass,0.226740967,0.339782342,0.485981308,0.502879257,101.1443316,1.294485857,0.435827485,0.931991065
autoclustering,ionosphere,0.150066361,0.120846199,0.695156695,0.280592643,111.6213045,1.533774806,0.394668065,0.573290008
autoclustering,s1,0.775670793,0.899273984,0.787,0.597578269,9408.40206,0.547359487,0.646262235,0.912302683
autoclustering,s2,0.753817902,0.875614508,0.794,0.514128434,8032.047237,0.605792195,0.622745585,0.945547671
autoclustering,sonar,0.01087479,0.010319874,0.5625,0.150663074,41.91441256,2.098657572,0.322720396,0.994830347
autoclustering,statlog,0.523671104,0.672009291,0.627705628,0.348210332,1618.964401,1.137700301,0.467792421,1
autoclustering,unbalance,0.997451133,0.979549495,0.968615385,0.820134435,44763.40769,0.440963643,0.693980035,0.955690131
autoclustering,wdbc,0.73659781,0.62098598,0.92970123,0.377838115,361.3695487,1.148091333,0.465529554,0.998734995
autoclustering,wine,0.865102734,0.817954167,0.95505618,0.279984675,76.71223988,1.338918922,0.427547954,0.981731668
autoclustering,yeast,0.197959311,0.25691303,0.460242588,0.200032875,283.1501386,1.195125494,0.45555482,0.666179416
bang,2d10c,0.998202128,0.997669809,1,0.711225044,32152.24874,0.264026281,0.791122792,0.963136162
bang,2d20c,0.899936894,0.914809151,1,0.273878864,1576.187119,0.507205756,0.663479419,0.846863978
bang,2d4c,0.954360979,0.853474196,0.998841251,0.27763897,90.56124834,0.479621208,0.675848653,0.607626696
bang,3spiral,1,1,1,0.001370304,5.797144814,5.87156349,0.145527288,0.35310091
bang,aggregation,0.807354602,0.885785199,0.827411168,0.276668684,533.0821678,0.698089164,0.588897227,0.875172006
bang,compound,0.760304716,0.800434794,0.779448622,0.574016206,663.2893667,0.596720689,0.626283612,0.976408333
bang,D1,0.890246129,0.819660902,0.991,-0.116110639,170.122144,0.481900084,0.674809328,0.642225512
bang,D2,0.761237793,0.698426333,1,-0.40266899,116.486774,0.67970488,0.595342677,0.585259708
bang,D3,0.829132225,0.743128905,0.987,0.135425686,279.4190748,0.586827305,0.630188299,0.689391587
bang,D4,1,1,1,0.393561504,895.1474068,1.007259154,0.498191775,0.822728657
bang,D5,1,1,1,0.114302673,0.024791645,189.9448859,0.005237113,0.093439574
bang,ecoli,0.037978121,0.102603752,0.44047619,0.523080699,53.61015987,0.797783224,0.556240589,0.753603389
bang,elly2d10c13s,0.030133774,0.195422341,0.865522175,0.173512434,1297.874186,0.313482161,0.761335045,0.893785607
bang,glass,0.010578625,0.022656041,0.364485981,0.557424668,13.3975324,0.352054832,0.739614974,0.549651785
bang,ionosphere,-1,-1,-1,-1,-1,-1,-1,-1
bang,s1,0.88276684,0.889454153,1,0.080044927,1710.089716,0.418021539,0.705207906,0.742386965
bang,s2,0.673339931,0.780353234,0.8904,-0.054083857,342.9194698,0.537674744,0.650332591,0.614487424
bang,sonar,-1,-1,-1,-1,-1,-1,-1,-1
bang,statlog,-1,-1,-1,-1,-1,-1,-1,-1
bang,unbalance,0.999810785,0.995622663,1,0.810520177,35299.17566,0.362209078,0.7341017,0.934493855
bang,wdbc,-1,-1,-1,-1,-1,-1,-1,-1
bang,wine,-1,-1,-1,-1,-1,-1,-1,-1
bang,yeast,0.011631776,0.048604021,0.319407008,0.59351347,140.3874588,0.61309064,0.619927966,0.584340345
birch,2d10c,0.996665696,0.995281307,0.998327759,0.836848413,47833.68352,0.22935795,0.813432735,1
birch,2d20c,0.936975469,0.96877369,0.959789057,0.634340597,5414.499833,0.532411668,0.652566161,0.988678925
birch,2d4c,0.70162482,0.795195672,0.906141367,0.524466177,994.5109103,0.651989753,0.605330631,0.926531066
birch,3spiral,0.041702842,0.070052749,0.448717949,0.29556215,165.0945732,1.008897513,0.497785474,0.880029933
birch,aggregation,0.930558466,0.938077117,0.965736041,0.473329509,1159.905508,0.58478601,0.631000018,0.983188519
birch,compound,0.839566229,0.859782901,0.914786967,0.491697451,521.1214473,0.825920973,0.547668829,0.940296213
birch,D1,0.979168379,0.964626811,0.993,0.651350338,3027.417437,0.49006757,0.671110505,0.999991456
birch,D2,0.580346564,0.632682327,0.796,0.490826298,2304.516404,0.695224012,0.589892541,0.949139972
birch,D3,0.955766378,0.937091169,0.985,0.626455147,3221.208352,0.583192659,0.631635066,0.987437895
birch,D4,0.77770458,0.731629229,0.941,0.454653809,1141.4819,0.876404587,0.532934105,0.852085651
birch,D5,0.008223485,0.005942316,0.548,0.343128409,547.9645057,1.210693731,0.452346694,0.83574456
birch,ecoli,0.724223157,0.689026162,0.788690476,0.402372345,113.0563119,0.825054832,0.547928743,0.889955254
birch,elly2d10c13s,0.452034646,0.591948913,0.657725322,0.345051627,2324.922664,0.797359595,0.556371693,0.966370138
birch,glass,0.248843088,0.379187439,0.528037383,0.355565401,74.99039413,1.20438406,0.453641458,0.873200749
birch,ionosphere,0.304100153,0.212618096,0.777777778,0.2640231,83.01821888,1.835995215,0.352609904,0.538161811
birch,s1,0.992737044,0.992602727,0.9966,0.710222251,22451.72379,0.365705803,0.732222121,0.999014467
birch,s2,0.931403779,0.948274102,0.9664,0.608257374,12398.38052,0.480468768,0.675461733,0.991191545
birch,sonar,-0.0024034,0.007047836,0.533653846,0.230010443,36.54833988,1.923139556,0.342097933,0.960550214
birch,statlog,0.555533583,0.687496134,0.68961039,0.281828217,1202.384766,1.330321534,0.429125331,0.959807686
birch,unbalance,0.61270529,0.819833679,0.692153846,0.669611463,12791.83875,0.439908292,0.694488674,0.843919305
birch,wdbc,0.767181406,0.662380799,0.938488576,0.367350362,345.2175033,1.152821258,0.464506747,0.991032161
birch,wine,0.931000118,0.907670919,0.97752809,0.294829063,81.32763861,1.318311145,0.431348485,0.994545054
birch,yeast,0.183247916,0.277612573,0.562668464,0.140425884,246.9485529,1.399093563,0.416824094,0.650179655
bsas,2d10c,0.956814368,0.9747616,0.966889632,0.798378265,31242.52823,0.270570906,0.787047771,0.960472689
bsas,2d20c,0.675533852,0.858785773,0.761371127,0.427926856,2246.296558,0.744053545,0.573376891,0.887562038
bsas,2d4c,0.333826281,0.535885371,0.673232908,0.299841036,361.0837573,1.409865308,0.414960951,0.791042202
bsas,3spiral,1,1,1,0.001370304,5.797144814,5.87156349,0.145527288,0.35310091
bsas,aggregation,0.477933417,0.700681306,0.781725888,0.171210564,497.01174,1.160461639,0.462864039,0.865449819
bsas,compound,0.635265758,0.772242242,0.889724311,0.262922066,355.8024118,1.592795124,0.385684156,0.883240955
bsas,D1,0.979114271,0.962567356,0.993,0.645675843,2949.628515,0.495723702,0.668572677,0.996746365
bsas,D2,0.464285892,0.560378332,0.827,0.418755289,2167.356587,0.778900891,0.562144864,0.941625327
bsas,D3,0.776365238,0.778512353,0.955,0.574720242,2671.309751,1.172687666,0.460259436,0.964572453
bsas,D4,0.295230627,0.224986935,0.772,0.320794479,557.5662787,1.22219842,0.45000482,0.765608016
bsas,D5,0.000521231,0.000469402,0.522,0.009989492,75.441698,2.941180056,0.253731112,0.57609769
bsas,ecoli,0.44125524,0.597189239,0.818452381,0.184667656,72.7703943,1.452802022,0.407696989,0.809125679
bsas,elly2d10c13s,0.267832117,0.502751619,0.513590844,0.192577546,1043.414339,1.007854468,0.498044064,0.866628799
bsas,glass,0.182153443,0.234009354,0.53271028,0.26905652,42.38312831,0.925357394,0.519384091,0.76247034
bsas,ionosphere,0.002401639,0.000815985,0.641025641,0.016241566,14.26555797,4.819418184,0.171838484,0.337836043
bsas,s1,0.91625518,0.964673457,0.9266,0.678283008,14925.42548,0.399161613,0.714713719,0.958307277
bsas,s2,0.624349724,0.835958771,0.668,0.347730808,4023.7374,0.807951665,0.553112132,0.872883608
bsas,sonar,0.146035221,0.113406151,0.706730769,0.018763635,7.262049505,7.633107805,0.115833142,0.585477544
bsas,statlog,0.471909505,0.606242896,0.625974026,0.307047766,1180.163041,1.245602163,0.445314854,0.957287921
bsas,unbalance,0.997894724,0.973130963,0.979384615,0.803626661,29914.76469,0.779733509,0.561881874,0.91972485
bsas,wdbc,0.360186546,0.313886777,0.808435852,0.137248731,136.1570197,2.072658627,0.325451058,0.834911868
bsas,wine,0.287748098,0.396110284,0.662921348,0.056628581,19.47354397,1.888480606,0.346202775,0.689632339
bsas,yeast,0.129010163,0.220587401,0.429919137,0.127695472,165.4511192,1.492149005,0.401260116,0.603447674
clique,2d10c,0.974836379,0.971985999,0.987959866,0.800364808,7318.226405,0.367491566,0.731265936,0.825796864
clique,2d20c,0.868062619,0.910356846,0.931443639,0.532604016,649.8234234,1.704304635,0.369780825,0.745174231
clique,2d4c,0.877355354,0.78519086,0.926998841,0.160911918,49.19309696,1.231473387,0.448134406,0.528146387
clique,3spiral,0.103672946,0.363694594,0.913461538,0.213766128,18.53943471,1.595559971,0.385273317,0.519629656
clique,aggregation,0.868905261,0.879867615,0.922588832,0.452704271,619.8008845,1.628519714,0.380442267,0.896095548
clique,compound,0.663989189,0.714076274,0.746867168,0.48290304,290.8753792,0.593918121,0.627384799,0.85316354
clique,D1,0.775577879,0.73946951,0.931,0.001247813,258.5337997,0.626448498,0.61483656,0.693936864
clique,D2,0.89492079,0.86300111,0.969,0.22634138,378.1918154,0.727727073,0.578795121,0.728163958
clique,D3,0.76362511,0.782087271,0.912,0.4333873,990.5448863,0.785765437,0.559983959,0.843461069
clique,D4,0.995999996,0.989583982,0.999,0.391414184,882.4907854,1.013544307,0.4966367,0.82100943
clique,D5,0.936960962,0.897356202,0.984,0.100372032,0.029026513,173.6381737,0.005726125,0.093716306
clique,ecoli,0.208691319,0.282194548,0.574404762,-0.206328099,19.65180211,0.923108234,0.519991534,0.576701402
clique,elly2d10c13s,0.20443371,0.356062457,0.404506438,-0.088302021,167.8549555,2.115195784,0.321007111,0.64010115
clique,glass,0.128068365,0.226659081,0.462616822,-0.027352122,9.948048599,1.643155855,0.378335617,0.498663225
clique,ionosphere,-1,-1,-1,-1,-1,-1,-1,-1
clique,s1,0.890512803,0.912050429,0.9456,0.339933592,1261.854021,1.270340305,0.440462603,0.712120141
clique,s2,0.625426065,0.808371347,0.7678,0.239174504,825.406096,1.491951894,0.401291856,0.706501535
clique,sonar,-1,-1,-1,-1,-1,-1,-1,-1
clique,statlog,-1,-1,-1,-1,-1,-1,-1,-1
clique,unbalance,0.998988244,0.986867609,0.995538462,0.822711899,27113.5001,1.688187704,0.371997833,0.910951336
clique,wdbc,-1,-1,-1,-1,-1,-1,-1,-1
clique,wine,-1,-1,-1,-1,-1,-1,-1,-1
clique,yeast,0.015993512,0.013000517,0.317385445,0.183490104,21.68716216,7.521826541,0.117345735,0.372971423
cure,2d10c,1,1,1,0.836521479,47576.83587,0.2287864,0.81381109,0.999500364
cure,2d20c,0.962934145,0.982219636,0.968358603,0.642582872,5233.777732,0.47271553,0.67901776,0.984776465
cure,2d4c,0.397195609,0.664516403,0.659327926,0.541252464,449.0845117,0.506123612,0.663956127,0.820165794
cure,3spiral,1,1,1,0.001370304,5.797144814,5.87156349,0.145527288,0.35310091
cure,aggregation,1,1,1,0.473202102,1143.645933,0.543704326,0.647792445,0.981225333
cure,compound,0.81223598,0.820186227,0.842105263,0.485818072,474.9279215,0.761965014,0.567548159,0.926409415
cure,D1,0.967464366,0.949932756,0.989,0.650167521,3015.066195,0.491967931,0.670255693,0.999481808
cure,D2,0.623998634,0.645428644,0.842,0.508860251,2543.563146,0.705648212,0.586287368,0.96122729
cure,D3,0.952851277,0.932948021,0.984,0.627777821,3256.974227,0.582187425,0.632036372,0.988786798
cure,D4,1,1,1,0.393561504,895.1474068,1.007259154,0.498191775,0.822728657
cure,D5,1,1,1,0.114302673,0.024791645,189.9448859,0.005237113,0.093439574
cure,ecoli,0.716154713,0.675192934,0.779761905,0.385350992,99.95307413,0.609275022,0.621397826,0.867280004
cure,elly2d10c13s,0.43598701,0.593957508,0.625178827,0.353857395,2186.389669,0.751435558,0.570960202,0.958718674
cure,glass,0.225671705,0.327036329,0.509345794,0.496305304,51.56050427,0.808818721,0.552846998,0.800254032
cure,ionosphere,-0.00448958,0.038684753,0.533653846,0.272337738,12.72578298,1.116864831,0.472396719,0.325789725
cure,s1,0.993567633,0.99354198,0.997,0.710420436,22503.51636,0.364961787,0.732621242,0.999244197
cure,s2,0.898312917,0.952711734,0.9192,0.590745026,10051.98825,0.474652887,0.678125686,0.969133244
cure,sonar,-0.00448958,0.038684753,0.533653846,0.272337738,12.72578298,1.116864831,0.472396719,0.707436277
cure,statlog,0.23755494,0.567754959,0.432467532,0.331126428,524.270872,0.720094529,0.581363398,0.847788591
cure,unbalance,1,1,1,0.832545741,73547.5586,0.357810166,0.736479977,1
cure,wdbc,0.519713574,0.404479658,0.86115993,0.228648655,168.2269092,1.647200139,0.377757611,0.870274467
cure,wine,0.471325159,0.555069472,0.668539326,0.241934045,33.49466173,1.180473123,0.458616063,0.802642521
cure,yeast,0.099157518,0.181031901,0.34097035,0.248664361,96.69345765,0.74223216,0.573976318,0.541146247
dbscan,2d10c,0.994117561,0.991574353,0.996655518,0.831293778,26371.48709,1.095682429,0.477171534,0.944743989
dbscan,2d20c,0.962299448,0.964937259,0.999340804,0.423350559,2359.781635,0.453862035,0.687823175,0.893225033
dbscan,2d4c,0.895056989,0.861288849,0.942062572,0.485295587,347.485451,1.305839639,0.433681503,0.785919686
dbscan,3spiral,1,1,1,0.001370304,5.797144814,5.87156349,0.145527288,0.35310091
