significance,pval_strategy,n_split_trials,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score
0.0005,table,5,0.23797679538694327,0.5771892058972924,0.8662337662337662,0.27687998086555,1.0,0.47081750305627645
0.0005,table,10,0.2342616656421685,0.578131849183387,0.8783549783549783,0.2787147558801585,0.9940216874563419,0.4682428437351827
0.0005,table,15,0.22979093458111016,0.5804767202938934,0.8913419913419913,0.29118141290095473,0.9836669530533096,0.4809288855395164
0.0005,table,20,0.22487431849074518,0.575406160068765,0.8891774891774892,0.27933403975186294,0.9921236380180043,0.4683355820258551
0.0005,bootstrap,5,0.17733862311912227,0.5606115467273479,0.9090909090909091,0.28393607476630767,0.9765275783491426,0.4755259575804176
0.0005,bootstrap,10,0.17663182556269633,0.5621530910124848,0.9207792207792208,0.29305900186311284,0.9629602413997596,0.49108633976500904
0.0005,bootstrap,15,0.18585549448111122,0.5556326546846956,0.9151515151515152,0.2961553188360849,0.963112965446792,0.48683758986943754
0.0005,bootstrap,20,0.2068420119600961,0.5691085268268424,0.8956709956709956,0.29418623128819954,0.9798063290999498,0.47956619851865384
0.001,table,5,0.22669252656152225,0.5757544674245978,0.8852813852813853,0.28442334027418487,0.9944987527533519,0.4567165507324445
0.001,table,10,0.2264663151951194,0.5681174112978924,0.8831168831168831,0.2890062461154129,0.9655785097562151,0.4928401168875911
0.001,table,15,0.2158859739125223,0.5640017252481434,0.8935064935064935,0.29004946886737504,0.9625214118164188,0.49160101703333564
0.001,table,20,0.2153799727926937,0.5674446143560863,0.8896103896103896,0.2929616234520686,0.9764967260849412,0.4859164046482881
0.001,bootstrap,5,0.20791685776207106,0.5679522033162564,0.8800865800865801,0.28798434105731724,0.9944507503946295,0.46032035400789134
0.001,bootstrap,10,0.19165172403190534,0.5619978294489174,0.8961038961038961,0.29161055476151826,0.9797907003844326,0.49134324036903293
0.001,bootstrap,15,0.19612514755571153,0.5651799426406998,0.9090909090909091,0.291452164053078,0.9691227954868961,0.4831568289130097
0.001,bootstrap,20,0.17835320849224284,0.5625005176013685,0.9281385281385282,0.29666088736159174,0.9664894469155657,0.49307038261438785
0.005,table,5,0.14643975054302172,0.5251335505975265,0.935930735930736,0.28582555174936636,0.9069588933582347,0.4934281762321926
0.005,table,10,0.1515420153143868,0.5344255303799371,0.935064935064935,0.2962825471045675,0.9234925438828641,0.5017163929281042
0.005,table,15,0.20606762874042137,0.5562654156276932,0.9216450216450216,0.29308207331776726,0.9327050547716574,0.47999231150441846
0.005,table,20,0.16324248005307848,0.5462431161056844,0.9277056277056277,0.3013830354097777,0.9454529491535965,0.49504879428415816
0.005,bootstrap,5,0.14430789389514354,0.5177742133298742,0.9402597402597402,0.2858945630871019,0.8884969823001518,0.5032159518012765
0.005,bootstrap,10,0.137601360993553,0.5152657268109118,0.9363636363636364,0.2914522945235026,0.910767071438567,0.5061788888624349
0.005,bootstrap,15,0.15536291772697505,0.5370739474846784,0.9337662337662338,0.28855782626962373,0.9254385963645458,0.4985414038194065
0.005,bootstrap,20,0.16179806726427828,0.5459152596687308,0.9337662337662338,0.3009210226857667,0.9460183764719357,0.4955618197911919
0.01,table,5,0.1348503705366084,0.5096626834904974,0.9385281385281385,0.2952440392190135,0.9017978746859142,0.5107853556698345
0.01,table,10,0.15920822603827509,0.5157819561330997,0.9454545454545454,0.2958674444206923,0.883994165624102,0.5075457691320852
0.01,table,15,0.1312237039088548,0.49570969388266384,0.9506493506493506,0.30064488092834873,0.8697082151418402,0.5193618813651988
0.01,table,20,0.12887353497556506,0.4932098105426839,0.951948051948052,0.29560858229129494,0.8634383278511658,0.5117228129194197
0.01,bootstrap,5,0.09930320233752253,0.47406476805232456,0.9584415584415584,0.2902262434537321,0.8592660020747012,0.5163206095615468
0.01,bootstrap,10,0.08838347735687473,0.47387041301712574,0.9484848484848485,0.2919136922084559,0.8915045710623535,0.5189727322075753
0.01,bootstrap,15,0.1158156743662802,0.47930744287924726,0.9562770562770563,0.3007004276474075,0.8656638778175423,0.5247983923308263
0.01,bootstrap,20,0.10976105290207339,0.4743165053514482,0.9567099567099567,0.29604453064577174,0.8605191377598084,0.5291733359503114
