significance,similarity_matrix,n_neighbors,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score
0.001,NAM,3,0.9790387245339064,0.9628497034925008,0.993,0.4704100368362891,0.9624878223332874,0.5226668553416227
0.001,NAM,5,0.9820365963228876,0.9665414701114442,0.994,0.4716508373777069,0.9622619679967498,0.5240091525965088
0.001,NAM,10,0.5451362943944098,0.6902484485136358,0.66,0.638333866410876,1.0,0.6765484875767078
0.001,NAM,15,0.5451362943944098,0.6902484485136358,0.66,0.6354465192425979,0.9954594029871014,0.6748265992314536
0.001,NAM,20,0.5451362943944098,0.6902484485136358,0.66,0.638333866410876,1.0,0.6765484875767078
0.001,SAM,3,0.14766773365841343,0.2047225111533807,0.505,0.33359514581820005,0.8526662784505767,0.5382049449796017
0.001,SAM,5,0.46214594439476075,0.5882552032091388,0.636,0.15850193212123925,0.6281830807908566,0.3617921203962778
0.001,SAM,10,0.5427682054785199,0.6559935434601547,0.667,0.6115038352561751,0.9883307442632404,0.6564872643899087
0.001,SAM,15,0.5702024221825457,0.7263624131151506,0.667,0.19323479238727304,0.6763665543329607,0.38857373926675404
0.001,SAM,20,0.495897526924635,0.5782678061701997,0.667,0.5441497829828986,0.9541104635376826,0.6149431331485962
0.005,NAM,3,0.9880195451764239,0.9751705813643753,0.996,0.468986367591966,0.9494298528571048,0.5295995399232318
0.005,NAM,5,0.9820187235766992,0.9670102119428243,0.994,0.4707092024214771,0.9621225879946937,0.5235664605615515
0.005,NAM,10,0.5451362943944098,0.6902484485136358,0.66,0.638333866410876,1.0,0.6765484875767078
0.005,NAM,15,0.5451362943944098,0.6902484485136358,0.66,0.6354465192425979,0.9954594029871014,0.6748265992314536
0.005,NAM,20,0.5451362943944098,0.6902484485136358,0.66,0.638333866410876,1.0,0.6765484875767078
0.005,SAM,3,0.3684839924550991,0.49271577874066236,0.745,0.27855580450470574,0.8815320338955864,0.5149072818971668
0.005,SAM,5,0.4542677619872458,0.6534677699145081,0.979,0.39914731225229033,0.9857061163618106,0.5885547880319155
0.005,SAM,10,0.7577753753090187,0.7905601682504677,0.949,0.3973608902687193,0.9398287971946595,0.55517269402292
0.005,SAM,15,0.7031872025546435,0.7273403377399822,0.91,0.4324259074401647,0.9552616355770888,0.5438397534266934
0.005,SAM,20,0.9442792544625843,0.9259398136531496,0.981,0.46680763126299374,0.958681769705423,0.5192177579004412
0.01,NAM,3,0.9820187235766992,0.9670102119428243,0.994,0.4707092024214771,0.9621225879946937,0.5235664605615515
0.01,NAM,5,0.9820365963228876,0.9665414701114442,0.994,0.4716508373777069,0.9622619679967498,0.5240091525965088
0.01,NAM,10,0.5494570410375332,0.6859362980293296,0.661,0.26267894493420885,0.77076386860157,0.4789606578292941
0.01,NAM,15,0.5451362943944098,0.6902484485136358,0.66,0.6354465192425979,0.9954594029871014,0.6748265992314536
0.01,NAM,20,0.5451362943944098,0.6902484485136358,0.66,0.638333866410876,1.0,0.6765484875767078
0.01,SAM,3,0.19001507372510448,0.3266365486479987,0.639,0.21090290462383843,0.7846510423420678,0.5661078653488095
0.01,SAM,5,0.39994666999595285,0.611291731726819,0.957,0.3248173824545739,0.9750393910221444,0.5552640463100922
0.01,SAM,10,0.6935619304013315,0.7609150557236175,0.986,0.3669651747952037,0.9314264970343501,0.5447907252401492
0.01,SAM,15,0.8248496651476792,0.8361956968272273,0.967,0.4144061427264486,0.9474618738600872,0.5457522300424321
0.01,SAM,20,0.9442792544625843,0.9259398136531494,0.981,0.46680763126299374,0.958681769705423,0.5192177579004412
0.05,NAM,3,0.9790387245339064,0.9628497034925008,0.993,0.4704100368362891,0.9624878223332874,0.5226668553416227
0.05,NAM,5,0.9820187235766992,0.9670102119428243,0.994,0.4707092024214771,0.9621225879946937,0.5235664605615515
0.05,NAM,10,0.5451362943944098,0.6902484485136358,0.66,0.638333866410876,1.0,0.6765484875767078
