min_samples,xi,min_cluster_size,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score
5,0.05,0.05,-0.0037856258257984617,-0.0015914181062566383,0.5336538461538461,-0.10436093202626685,0.6711028957099057,0.3166240725379266
5,0.05,0.1,-0.00449966912065825,0.052372891214419105,0.5336538461538461,0.2700150279231476,0.9502399380469874,0.39398082351882857
5,0.1,0.05,,,,,,
5,0.1,0.1,,,,,,
10,0.05,0.05,-0.004519223630432628,0.007822596721192905,0.5336538461538461,0.25967829235301537,1.0,0.3481341402685997
10,0.05,0.1,-0.004519223630432628,0.007822596721192905,0.5336538461538461,0.25967829235301537,1.0,0.3481341402685997
10,0.1,0.05,,,,,,
10,0.1,0.1,,,,,,
15,0.05,0.05,,,,,,
15,0.05,0.1,,,,,,
15,0.1,0.05,,,,,,
15,0.1,0.1,,,,,,
