min_samples,xi,min_cluster_size,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score
5,0.05,0.05,0.7706051183309938,0.8749716134541414,0.8896,0.571436560552529,0.964560016796422,0.5139464954925099
5,0.05,0.1,0.4812355110142623,0.7778857842609047,0.415,0.32250321879374344,0.9554660980824056,0.4191942311058535
5,0.1,0.05,0.3834263470592794,0.7938491300490875,0.644,0.2569392129339909,0.8150714037265306,0.5478569708209111
5,0.1,0.1,0.4853858363943154,0.7815508885065428,0.4146,0.36434704816012575,0.9515477222396842,0.24003479021911323
10,0.05,0.05,0.793414866300084,0.8866589290543032,0.8986,0.5818385366949685,0.966973353342438,0.4763546744811423
10,0.05,0.1,0.5064102069971728,0.7842587947596802,0.4142,0.39692994327576236,0.9683132338662729,0.4500132768136519
10,0.1,0.05,0.5185263996461486,0.8311482595577147,0.6432,0.3132209477811125,0.8964716721020095,0.42498708474059066
10,0.1,0.1,0.5064102069971728,0.7842587947596802,0.4142,0.39692994327576236,0.9683132338662729,0.4500132768136519
15,0.05,0.05,0.8699885468276197,0.9279619806714486,0.9458,0.592866836658817,1.0,0.5171256366537686
15,0.05,0.1,0.4843214641499491,0.7792613552072574,0.4174,0.32276268198489466,0.9019390059358562,0.0
15,0.1,0.05,0.4946278528739646,0.838999863001712,0.658,0.31385719054471745,0.881114939881065,0.5133332876036151
15,0.1,0.1,0.2989009172602036,0.684824918057877,0.3466,0.25819468459320905,0.9256817870143522,0.6225895152278835
