amount_intervals,density_threshold,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score,norm_davies_bouldin_score
5,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
5,3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
5,4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
5,5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
5,7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
5,10,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
5,15,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
7,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
7,3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
7,4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
7,5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
7,7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
7,10,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
7,15,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
10,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
10,3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
10,4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
10,5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
10,7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
10,10,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
10,15,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
12,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
12,3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
12,4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
12,5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
12,7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
12,10,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
12,15,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
20,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
20,3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
20,4,0.03538900982861786,0.25942720014694826,0.1918,0.048092276883467955,464.6956109483371,0.7412689301588169,0.574293828299568
20,5,0.11383685994382495,0.49045892218527354,0.3168,0.107323357525122,876.4106894221278,0.8428423785311207,0.542640006356416
20,7,0.1816649638002209,0.5424667346547261,0.3798,0.12753938555626992,913.8647292428238,1.915186194348977,0.34303126227013475
20,10,0.48489139766092065,0.7386882954982975,0.5978,0.3454854635420361,1417.265310341994,1.6488690499865661,0.3775196059635607
20,15,0.42124202417783674,0.7360479672016116,0.697,0.3221378655791096,937.7947629882734,1.848771539276179,0.3510284999035345
25,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
25,3,0.1202912916877394,0.5039130205351628,0.321,0.15925214819383476,1136.7118667476007,0.7552085249000062,0.5697328755037637
25,4,0.11650956631516472,0.5230857783331916,0.3752,0.13547711851798327,762.9687631917968,0.6994227997695388,0.5884350852157635
25,5,0.1856907843125899,0.5760878524771363,0.436,0.02222829340778954,532.8754402062484,1.9060158199394985,0.3441137495324507
25,7,0.1884624875467111,0.6282937370185412,0.5096,0.13251524402931636,731.1399771606546,0.8036478105990394,0.5544319651117883
25,10,0.31394353101629086,0.7156204362492699,0.677,0.2706092786716501,704.4222291157531,1.5021706419721412,0.39965299857080405
25,15,0.2590394468081186,0.6827938349213315,0.6816,0.19340101896458647,540.1053109535283,1.818208987940579,0.35483528875222103
35,1,0.14914473921150942,0.5616592999930501,0.4002,-0.22225393446015765,314.11140392114197,1.6595699994862008,0.37600063175370035
35,3,0.6254260647388262,0.8083713469151066,0.7678,0.2391745043014086,825.4060959960223,1.491951893604393,0.4012918558205337
35,4,0.5578783529270096,0.7832952219943752,0.7398,0.24324285124005945,816.8306131484168,1.624012023132552,0.3810958147997346
35,5,0.41856304171820946,0.7293485343399203,0.703,0.1855792708881952,525.3277900800855,2.0385843549172407,0.3291006216041799
35,7,0.2620203559226495,0.6826712391635884,0.6668,0.12731161348398895,448.69914742338386,2.2526201061117574,0.307444450128367
35,10,0.16547699950229958,0.6178980190348825,0.6024,0.0733021749583415,369.7123729246132,3.0649957019140635,0.24600272013304594
35,15,0.09568734511520416,0.5381028139422694,0.5096,-0.07478513450695777,267.0635371990395,2.3538368333461355,0.2981659662322619
50,1,0.6277403699254267,0.7997683196344972,0.697,-0.0627029981804392,438.22929051583685,1.3304820832785154,0.4290957682855055
50,3,0.3071884814421074,0.694753392307932,0.7056,-0.026116773557366843,198.55437887744822,2.001659030559553,0.33314909848824015
50,4,0.2567795872893955,0.6723882618775441,0.689,0.04844025074532893,231.67076386614445,3.3816898375398607,0.2282224523133885
50,5,0.21360761071597056,0.6522359269229762,0.644,0.08345113340730598,279.6258504529272,2.055616964849579,0.32726615001276105
50,7,0.1163744654352268,0.5670980872027055,0.5444,-0.034843434250638065,278.97210051978277,2.0893556956197044,0.32369208939516647
50,10,0.058059620805254765,0.46528196688119267,0.4326,-0.23966728316588773,157.65692049988186,2.085830996342846,0.3240618171199732
50,15,0.03192712589208511,0.383881710064371,0.3498,-0.3494505798508634,132.50086463521706,2.234290481235668,0.3091868234475797
