n_clusters,init,max_iter,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score
2,k-means++,300,0.5248944349426355,0.6227520147672515,0.657,0.6366764984160602,0.9999994055434525,0.39834047714239273
2,k-means++,500,0.5251661437488292,0.6234045028308779,0.657,0.6367598709806859,0.9999992073906511,0.3986341497846332
2,random,300,0.5240793085240545,0.6207945505763728,0.657,0.6364263807221828,1.0,0.3974594592156714
2,random,500,0.5240793085240545,0.6207945505763728,0.657,0.6364263807221828,1.0,0.3974594592156714
3,k-means++,300,0.5786001770597983,0.6051844248945868,0.8131999999999999,0.5104314794231966,0.9992272625469765,0.11571894438476049
3,k-means++,500,0.5784320913644876,0.6050680559211592,0.8130999999999998,0.5104168738178587,0.9992255981536289,0.11570958330781689
3,random,300,0.5785155099817734,0.6051432294116441,0.8130999999999998,0.510436241293551,0.9992302820044096,0.11569603327099787
3,random,500,0.5786525680883361,0.6052320679032861,0.8131999999999999,0.5104463428361873,0.9992301739566822,0.11572292448820187
4,k-means++,300,0.48708864677346186,0.5519485013724283,0.806,0.45574045020660037,0.9828342768683012,0.02683768729125191
4,k-means++,500,0.4860508580032229,0.550133410132645,0.8062999999999999,0.4558862649086531,0.9828517839140309,0.027252136052377196
4,random,300,0.4565557434584644,0.5640447615112754,0.8219999999999998,0.459968966803552,0.9868977065555596,0.10242619958985733
4,random,500,0.4565871730964955,0.5649087988800756,0.8219999999999998,0.46018799508968894,0.9869088081729207,0.10264318670340145
5,k-means++,300,0.47241331628116995,0.588689031638206,0.8554,0.44323235195535754,0.982566853667283,0.04958247551225281
5,k-means++,500,0.49460389914770414,0.6030043936427393,0.8674000000000002,0.4525046759435506,0.983832800421735,0.063819294020236
5,random,300,0.3846120230497058,0.5241100485519099,0.8045,0.4205239181200809,0.9906213052642016,5.716893241392018e-05
5,random,500,0.38582376394318224,0.5250766902511612,0.806,0.42045052455677434,0.9905831367401976,0.0
