n_clusters,linkage,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score
2,ward,0.5705711831835333,0.7332037453413733,0.667,0.604568285523366,0.9277602210941613,0.47046435384037344
2,complete,0.5451362943944098,0.6902484485136358,0.66,0.5985638246313968,0.9244980536837355,0.47178573439633786
2,average,0.5705711831835333,0.7332037453413733,0.667,0.604568285523366,0.9277602210941613,0.47046435384037344
3,ward,0.9732980520130861,0.9569701810768796,0.991,0.645108069003629,1.0,0.5274051451717576
3,complete,0.9322389105573818,0.9001170767117211,0.977,0.6263130406899827,0.9860190307583376,0.5062539738422709
3,average,0.9559077477553122,0.9371447180656836,0.985,0.6417789007786073,0.9985104223114035,0.5229524146101685
4,ward,0.8485269172075023,0.8684236711446395,0.991,0.5244622023659102,0.9671584319161272,0.19177107427033502
4,complete,0.8895294757874609,0.8575947828965249,0.977,0.5083908597968204,0.9553797826075321,0.22726048409267163
4,average,0.9458692843660593,0.9229118847092779,0.985,0.5651221745999967,0.9525551424142763,0.44297050209532973
5,ward,0.7224636390913178,0.79851613224886,0.991,0.43882739556758726,0.9486764295178198,0.0
5,complete,0.8194026204299675,0.8077733513649322,0.977,0.43108674444704514,0.933755632705988,0.13177539910453795
5,average,0.9443391802563939,0.9200180717888036,0.985,0.45104941342586335,0.9174740936976079,0.4747256237560159
