significance,similarity_matrix,n_neighbors,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score,norm_davies_bouldin_score
0.1,SAM,10,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.1,SAM,15,0.36499471564340596,0.6838517934963062,0.3434,0.37676261112707077,4177.236186124466,0.8649790282212539,0.5361990590069863
0.1,SAM,20,0.4878285542876064,0.7898090688218685,0.4762,0.35149655439482785,3479.655967185512,0.8353653138662731,0.5448506585827638
0.5,NAM,3,0.05323076968631007,0.263734454962818,0.1348,0.23588769333741574,1307.5443098963483,1.0465303647412267,0.4886318899678016
0.5,NAM,5,0.07762677142859269,0.38776309551345367,0.2394,-0.05514224741977096,561.245370477141,1.104498988063594,0.4751724784244856
0.5,NAM,10,0.15939477256033022,0.5903608840074834,0.4372,0.03418657442981612,792.95647338684,0.8896583462733023,0.5291961914555371
0.5,NAM,15,0.4110396137571243,0.7164004745971753,0.3966,0.17276018082162453,1187.9064094113692,1.6301807931250794,0.3802020007954809
0.5,NAM,20,0.6433778751996199,0.8552814261890263,0.7116,0.45011822997617057,3793.208351794379,0.6803901243582846,0.5950999029953742
0.5,SAM,3,0.3608482245376586,0.6672429784674723,0.398,0.3504787563402139,3218.2129351908025,1.1427000090008568,0.4667008894382285
0.5,SAM,5,0.06381329666471953,0.29288837364126813,0.1418,0.28803367499910315,1902.9201988333787,0.9675732532342962,0.5082402895832215
0.5,SAM,10,0.5379299436975518,0.7951260554467121,0.478,0.40098823085355034,4478.270222892056,0.8778691040013611,0.5325184795197926
0.5,SAM,15,0.43023584463451636,0.7352893680994973,0.4062,0.31890599435414363,3545.763500804994,0.9072432643254591,0.5243169650693056
0.5,SAM,20,0.7194871541970892,0.9023062112143685,0.7392,0.5061651088755085,5593.319898044652,0.6073617906320249,0.6221374713696496
