significance,similarity_matrix,n_neighbors,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score
0.001,NAM,3,,,,,,
0.001,NAM,5,,,,,,
0.001,NAM,10,,,,,,
0.001,NAM,15,0.21509283738401708,0.13286678283022663,0.7407407407407407,0.24909490400801151,0.9353360461570026,0.1630264740024165
0.001,NAM,20,0.2025718376112077,0.12390146833949868,0.7350427350427351,0.253875430475543,0.9157417222978748,0.15989846578029937
0.001,SAM,3,,,,,,
0.001,SAM,5,,,,,,
0.001,SAM,10,,,,,,
0.001,SAM,15,,,,,,
0.001,SAM,20,,,,,,
0.005,NAM,3,,,,,,
0.005,NAM,5,,,,,,
0.005,NAM,10,0.1959062840168062,0.11623477728201327,0.7293447293447294,0.23576900505705237,0.9492315279251466,0.16485531784848162
0.005,NAM,15,0.20916838144061436,0.12832263811687245,0.7378917378917379,0.25121454651622405,0.9406480440879331,0.16428485765785056
0.005,NAM,20,0.2025718376112077,0.12390146833949868,0.7350427350427351,0.253875430475543,0.9157417222978748,0.15989846578029937
0.005,SAM,3,,,,,,
0.005,SAM,5,,,,,,
0.005,SAM,10,,,,,,
0.005,SAM,15,,,,,,
0.005,SAM,20,,,,,,
0.01,NAM,3,,,,,,
0.01,NAM,5,,,,,,
0.01,NAM,10,0.1959062840168062,0.11623477728201327,0.7293447293447294,0.23576900505705237,0.9492315279251466,0.16485531784848162
0.01,NAM,15,0.20916838144061436,0.12832263811687245,0.7378917378917379,0.25121454651622405,0.9406480440879331,0.16428485765785056
0.01,NAM,20,0.21509283738401708,0.13286678283022663,0.7407407407407407,0.25045233077708356,0.9466244922218745,0.16526315864552235
0.01,SAM,3,,,,,,
0.01,SAM,5,,,,,,
0.01,SAM,10,,,,,,
0.01,SAM,15,,,,,,
0.01,SAM,20,,,,,,
0.05,NAM,3,,,,,,
0.05,NAM,5,,,,,,
0.05,NAM,10,0.1959062840168062,0.11623477728201327,0.7293447293447294,0.23576900505705237,0.9492315279251466,0.16485531784848162
0.05,NAM,15,0.20916838144061436,0.12832263811687245,0.7378917378917379,0.25121454651622405,0.9406480440879331,0.16428485765785056
0.05,NAM,20,0.21509283738401708,0.13286678283022663,0.7407407407407407,0.25045233077708356,0.9466244922218745,0.16526315864552235
0.05,SAM,3,,,,,,
0.05,SAM,5,,,,,,
0.05,SAM,10,,,,,,
0.05,SAM,15,,,,,,
0.05,SAM,20,,,,,,
0.1,NAM,3,,,,,,
0.1,NAM,5,0.16448188968361036,0.09238083048836504,0.7122507122507122,0.2358864408430932,1.0,0.17701948962801284
0.1,NAM,10,0.1959062840168062,0.11623477728201327,0.7293447293447294,0.23576900505705237,0.9492315279251466,0.16485531784848162
0.1,NAM,15,0.20916838144061436,0.12832263811687245,0.7378917378917379,0.25121454651622405,0.9406480440879331,0.16428485765785056
0.1,NAM,20,0.20845300761486177,0.12839524121713444,0.7378917378917379,0.2528325077138345,0.9166129699806636,0.15980201965226698
0.1,SAM,3,,,,,,
0.1,SAM,5,,,,,,
0.1,SAM,10,,,,,,
0.1,SAM,15,,,,,,
0.1,SAM,20,,,,,,
0.5,NAM,3,0.16515763451580415,0.09288360673290481,0.7122507122507122,0.22418054280835226,0.953891693930218,0.1676501563722114
0.5,NAM,5,0.16448188968361036,0.09238083048836504,0.7122507122507122,0.2358864408430932,1.0,0.17701948962801284
0.5,NAM,10,0.1959062840168062,0.11623477728201327,0.7293447293447294,0.23576900505705237,0.9492315279251466,0.16485531784848162
0.5,NAM,15,0.20916838144061436,0.12832263811687245,0.7378917378917379,0.25121454651622405,0.9406480440879331,0.16428485765785056
0.5,NAM,20,0.2025718376112077,0.12390146833949868,0.7350427350427351,0.253875430475543,0.9157417222978748,0.15989846578029937
0.5,SAM,3,,,,,,
0.5,SAM,5,,,,,,
0.5,SAM,10,,,,,,
0.5,SAM,15,,,,,,
0.5,SAM,20,,,,,,
