number_clusters,eps,threshold,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score,norm_davies_bouldin_score
6,0.01,0.01,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
6,0.01,0.05,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
6,0.01,0.1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
6,0.01,0.2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
6,0.01,0.4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
6,0.01,0.7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
6,0.05,0.01,0.9268724762858808,0.7794182351464859,0.9974937343358395,-0.11107373676501363,51.40284894385392,0.7578715968276699,0.5688697637555795
6,0.05,0.05,0.9268724762858808,0.7794182351464859,0.9974937343358395,-0.11107373676501363,51.40284894385392,0.7578715968276699,0.5688697637555795
6,0.05,0.1,0.9268724762858808,0.7794182351464859,0.9974937343358395,-0.11107373676501363,51.40284894385392,0.7578715968276699,0.5688697637555795
6,0.05,0.2,0.9268724762858808,0.7794182351464859,0.9974937343358395,-0.11107373676501363,51.40284894385392,0.7578715968276699,0.5688697637555795
6,0.05,0.4,0.9268724762858808,0.7794182351464859,0.9974937343358395,-0.11107373676501363,51.40284894385392,0.7578715968276699,0.5688697637555795
6,0.05,0.7,0.9268724762858808,0.7794182351464859,0.9974937343358395,-0.11107373676501363,51.40284894385392,0.7578715968276699,0.5688697637555795
6,0.1,0.01,0.8292906317751322,0.8427274514507439,0.9047619047619048,0.4850279898478794,506.713478758172,0.8356209506980554,0.5447747802288468
6,0.1,0.05,0.8292906317751322,0.8427274514507439,0.9047619047619048,0.4850279898478794,506.713478758172,0.8356209506980554,0.5447747802288468
6,0.1,0.1,0.8292906317751322,0.8427274514507439,0.9047619047619048,0.4850279898478794,506.713478758172,0.8356209506980554,0.5447747802288468
6,0.1,0.2,0.8201123172366439,0.8265385910270276,0.8947368421052632,0.47709135493093946,498.0142685070788,0.8562194293469904,0.5387294110760362
6,0.1,0.4,0.8041448426858105,0.8398726298224503,0.87468671679198,0.4497171195854087,467.5004565449557,0.8480293825323176,0.5411169375617394
6,0.1,0.7,0.7650801445090134,0.7909718057041731,0.7894736842105263,0.41470787441695833,412.27576230985176,0.6866651037723212,0.5928859248723674
6,0.2,0.01,0.6182889486249198,0.7729124051307644,0.87468671679198,0.4239268705746689,580.8434704800469,0.8619373168273912,0.5370750083595344
6,0.2,0.05,0.6182889486249198,0.7729124051307644,0.87468671679198,0.4239268705746689,580.8434704800469,0.8619373168273912,0.5370750083595344
6,0.2,0.1,0.6142906774753909,0.7709224185285624,0.8696741854636592,0.42922973075426324,581.3809647998711,0.8538919888137366,0.5394057507308596
6,0.2,0.2,0.77273854749574,0.7828105528885028,0.8095238095238095,0.4615200907209284,460.2111804682687,0.7576447087886594,0.5689431971090357
6,0.2,0.4,0.77907312128615,0.7890556886869065,0.8120300751879699,0.4698798608369855,449.8347489930852,0.7271118558257234,0.5790012943440221
6,0.2,0.7,0.7680042905957735,0.7954094397134304,0.7919799498746867,0.502784530954961,416.89138800847564,0.6581222230605539,0.6030918505839725
