significance,similarity_matrix,n_neighbors,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score
0.001,NAM,3,0.7873779666678491,0.8180311881298908,1.0,0.37378730167810886,0.8765982101289522,0.5310334106818433
0.001,NAM,5,1.0,1.0,1.0,0.3935615044391552,0.9046662184585562,0.49819177456122404
0.001,NAM,10,1.0,1.0,1.0,0.3935615044391552,0.9046662184585562,0.49819177456122404
0.001,NAM,15,1.0,1.0,1.0,0.3935615044391552,0.9046662184585562,0.49819177456122404
0.001,NAM,20,1.0,1.0,1.0,0.3935615044391552,0.9046662184585562,0.49819177456122404
0.001,SAM,3,,,,,,
0.001,SAM,5,1.0,1.0,1.0,0.3935615044391552,0.9046662184585562,0.49819177456122404
0.001,SAM,10,1.0,1.0,1.0,0.3935615044391552,0.9046662184585562,0.49819177456122404
0.001,SAM,15,0.7897453371952013,0.8192410987963101,1.0,0.36774476061943245,0.8748843574559865,0.5293451396073942
0.001,SAM,20,1.0,1.0,1.0,0.3935615044391552,0.9046662184585562,0.49819177456122404
0.005,NAM,3,0.6871249517143412,0.7270960947692314,1.0,0.3281399973491932,0.8545020912682754,0.5449607781642347
0.005,NAM,5,0.7964107668847509,0.8226912849641628,1.0,0.37278720224959677,0.875424436904273,0.5336814724931007
0.005,NAM,10,1.0,1.0,1.0,0.3935615044391552,0.9046662184585562,0.49819177456122404
0.005,NAM,15,1.0,1.0,1.0,0.3935615044391552,0.9046662184585562,0.49819177456122404
0.005,NAM,20,1.0,1.0,1.0,0.3935615044391552,0.9046662184585562,0.49819177456122404
0.005,SAM,3,,,,,,
0.005,SAM,5,0.8064127502442247,0.8279942092204399,1.0,0.27806099172692117,0.8726948838417794,0.47165912172101315
0.005,SAM,10,0.4183316084618748,0.6077750000533871,1.0,0.4233847387633467,0.9215593366378505,0.5602290085920184
0.005,SAM,15,0.788948203532577,0.8188328079588446,1.0,0.3674253102669998,0.8749030849782242,0.5289896759339653
0.005,SAM,20,0.5333031319229596,0.6774421244947876,1.0,0.3795489874415563,0.89824910250552,0.5330567100507694
0.01,NAM,3,0.5581545714049503,0.6861488968663256,1.0,0.38645529560558645,0.895476272922837,0.5413545721469136
0.01,NAM,5,1.0,1.0,1.0,0.3935615044391552,0.9046662184585562,0.49819177456122404
0.01,NAM,10,0.7930139724815781,0.8209248841853779,1.0,0.3734671827798542,0.8759369613946777,0.5327976787371214
0.01,NAM,15,1.0,1.0,1.0,0.3935615044391552,0.9046662184585562,0.49819177456122404
0.01,NAM,20,1.0,1.0,1.0,0.3935615044391552,0.9046662184585562,0.49819177456122404
0.01,SAM,3,0.23939709559976935,0.43550907172222175,0.931,0.31144381096519397,0.8149645810012609,0.29447649397374354
0.01,SAM,5,0.7601063310987033,0.8046390603933846,1.0,0.2839698405680193,0.8477530073604951,0.42395172991736024
0.01,SAM,10,0.26084215242554565,0.5031940506363388,1.0,0.4476618234228262,0.9711859940850597,0.5947472154541456
0.01,SAM,15,1.0,1.0,1.0,0.3935615044391552,0.9046662184585562,0.49819177456122404
0.01,SAM,20,0.37185290368774776,0.5698248413659478,1.0,0.40741445367772383,0.9250926555661544,0.5815473474684681
0.05,NAM,3,0.4004285584571495,0.5618691131750349,1.0,0.3895060361980474,0.8815433804157974,0.5827540065294433
0.05,NAM,5,0.35496652154389946,0.5498952291482531,1.0,0.3860585309821819,0.9108090432857037,0.5936261078582654
0.05,NAM,10,0.7930139724815781,0.8209248841853779,1.0,0.3734671827798542,0.8759369613946777,0.5327976787371214
0.05,NAM,15,1.0,1.0,1.0,0.3935615044391552,0.9046662184585562,0.49819177456122404
0.05,NAM,20,1.0,1.0,1.0,0.3935615044391552,0.9046662184585562,0.49819177456122404
0.05,SAM,3,0.20638963056983567,0.40068411472343946,0.895,0.2929724642007872,0.8248628395938836,0.48690835393506304
0.05,SAM,5,0.3207630341988358,0.5373212997771595,1.0,0.4461440850971363,0.92528542136719,0.5600399761617226
0.05,SAM,10,0.19466983006444177,0.45266418675053416,1.0,0.4418472838190274,0.9948791248428958,0.6099652599518695
0.05,SAM,15,0.41678425865685553,0.5813566858264977,1.0,0.3951974366000818,0.9020515591284585,0.5650134121147122
0.05,SAM,20,0.4494339270770755,0.6166368543907516,1.0,0.3979962568454132,0.9105917773543396,0.5534321283809451
0.1,NAM,3,0.7187828175835025,0.7305928839503463,0.997,0.19944396804563655,0.8377563879514839,0.44885910346566565
0.1,NAM,5,1.0,1.0,1.0,0.3935615044391552,0.9046662184585562,0.49819177456122404
0.1,NAM,10,1.0,1.0,1.0,0.3935615044391552,0.9046662184585562,0.49819177456122404
0.1,NAM,15,0.8093087617074046,0.8295589738422562,1.0,0.27447532966839006,0.8720698288289892,0.4699967855272113
0.1,NAM,20,1.0,1.0,1.0,0.3935615044391552,0.9046662184585562,0.49819177456122404
0.1,SAM,3,,,,,,
0.1,SAM,5,0.25877703146938796,0.49177776508647447,1.0,0.48784576493131887,0.9939466695817716,0.6274863559565761
0.1,SAM,10,0.2060353619897709,0.45748369523396937,1.0,0.42735385218439226,0.9917739263811037,0.6075375627048282
0.1,SAM,15,0.22551738406188107,0.4717857228479957,1.0,0.4139039862745427,0.9699092227831385,0.6177611062628712
0.1,SAM,20,0.33729374237387727,0.5587613685633502,1.0,0.4597720780882826,0.9597489814936735,0.5781344398185599
0.5,NAM,3,0.8134880144339374,0.8202755859729998,0.998,0.3570072890206333,0.8669261988902461,0.53445841614764
0.5,NAM,5,0.4162711467829957,0.5884273664765767,1.0,0.4285144691780683,0.9295427577415325,0.5903221535325142
0.5,NAM,10,0.4727303361760567,0.6242895912978653,1.0,0.420481755183594,0.9148387379031201,0.5665845429258594
0.5,NAM,15,0.7873779666678491,0.8180311881298908,1.0,0.3741016034899288,0.8767416972358469,0.5311006659203902
0.5,NAM,20,0.7516257026836779,0.8006650927258891,1.0,0.3070592053184355,0.851961572230399,0.4242009890116774
0.5,SAM,3,0.4117988768655678,0.5106258612845421,0.95,0.24105413723566754,0.7934492825915734,0.46998020039090277
0.5,SAM,5,0.20279496849465825,0.44872821059769646,1.0,0.4271682245306694,1.0,0.6337246721829339
0.5,SAM,10,0.21751292345130704,0.46855144564345597,1.0,0.45530470593658545,0.9929422976240054,0.6116464375724885
0.5,SAM,15,0.26473979436194883,0.5045410772812383,1.0,0.4794057252886008,0.9863727158380513,0.6070246093625578
0.5,SAM,20,0.2973953862756481,0.5289084982866104,1.0,0.45404338854005577,0.9626013133785644,0.5885463479461164
