n_boots,use_principal_components,use_log,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score,norm_davies_bouldin_score
5,True,True,0.5783784518752106,0.6050543909200018,0.813,0.5104026269168822,2631.0718179941523,0.721550922705496,0.5808715773730667
5,True,False,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
5,False,True,0.5783784518752106,0.6050543909200018,0.813,0.5104026269168822,2631.0718179941523,0.721550922705496,0.5808715773730667
5,False,False,0.5267963965859913,0.6273194312126354,0.657,0.6375172912373519,2648.9984287745674,0.4886900921411138,0.6717314807689398
10,True,True,0.5240793085240544,0.6207945505763729,0.657,0.636674895264855,2648.907477782697,0.49109364468843913,0.6706486903503287
10,True,False,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
10,False,True,0.5783784518752106,0.6050543909200018,0.813,0.5104026269168822,2631.0718179941523,0.721550922705496,0.5808715773730667
10,False,False,0.5240793085240544,0.6207945505763729,0.657,0.636674895264855,2648.907477782697,0.49109364468843913,0.6706486903503287
15,True,True,0.5781699053319962,0.60486645719379,0.813,0.5103540955756032,2630.831077230647,0.7215232015763213,0.5808809309594811
15,True,False,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
15,False,True,0.5781699053319962,0.60486645719379,0.813,0.5103540955756032,2630.831077230647,0.7215232015763213,0.5808809309594811
15,False,False,0.5267963965859913,0.6273194312126354,0.657,0.6375172912373519,2648.9984287745674,0.4886900921411138,0.6717314807689398
20,True,True,0.5783784518752106,0.6050543909200018,0.813,0.5104026269168822,2631.0718179941523,0.721550922705496,0.5808715773730667
20,True,False,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
20,False,True,0.5781699053319962,0.60486645719379,0.813,0.5103540955756032,2630.831077230647,0.7215232015763213,0.5808809309594811
20,False,False,0.5240793085240544,0.6207945505763729,0.657,0.636674895264855,2648.907477782697,0.49109364468843913,0.6706486903503287
30,True,True,0.5781699053319962,0.60486645719379,0.813,0.5103540955756032,2630.831077230647,0.7215232015763213,0.5808809309594811
30,True,False,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
30,False,True,0.5797490329408376,0.6059427758364221,0.814,0.5105026596963953,2631.0412578887704,0.721333555020187,0.5809449290543066
30,False,False,0.5267963965859913,0.6273194312126354,0.657,0.6375172912373519,2648.9984287745674,0.4886900921411138,0.6717314807689398
