min_samples,xi,min_cluster_size,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score
5,0.05,0.05,0.4860540223980774,0.6006097457763956,0.764,0.09587887756467518,0.7674085487973735,0.3347772454177076
5,0.05,0.1,0.5454701942275509,0.6422040344636829,0.836,0.29745020177978165,0.8041623697127853,0.0
5,0.1,0.05,0.9528755363924486,0.9268920949113584,0.984,0.6166920646242235,0.9951165663905168,0.7611593417624039
5,0.1,0.1,0.9528755363924486,0.9268920949113584,0.984,0.6166920646242235,0.9951165663905168,0.7611593417624039
10,0.05,0.05,0.7852068359964528,0.7837940571846534,0.947,0.4542221843577709,0.9057468844733104,0.1211483325781163
10,0.05,0.1,0.8513259845197264,0.8353781599913298,0.947,0.5383306784161314,0.9539347338081647,0.7325104215754474
10,0.1,0.05,0.9586511071486141,0.9371347862170366,0.986,0.6220690747891838,1.0,0.7638575155184713
10,0.1,0.1,0.9586511071486141,0.9371347862170366,0.986,0.6220690747891838,1.0,0.7638575155184713
15,0.05,0.05,0.8744930249506124,0.8467775567950692,0.956,0.5691470906311281,0.9701487800886966,0.7454975246347149
15,0.05,0.1,0.8744930249506124,0.8467775567950692,0.956,0.5691470906311281,0.9701487800886966,0.7454975246347149
15,0.1,0.05,0.5647631867580458,0.7102425648616661,0.667,0.5469279995290884,0.9096994746429313,0.7978792008936246
15,0.1,0.1,0.5647631867580458,0.7102425648616661,0.667,0.5469279995290884,0.9096994746429313,0.7978792008936246
