outliers,consider_duplicates,threshold,significance,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score,norm_davies_bouldin_score
True,True,0.01,0.01,0.9819655539171035,0.9675272324762259,0.996,0.6394540164978207,1087.0002379307775,1.6556378675679342,0.3765573658263174
True,True,0.01,0.02,0.9819655539171035,0.9675272324762259,0.996,0.6394540164978207,1087.0002379307775,1.6556378675679342,0.3765573658263174
True,True,0.01,0.05,0.9819655539171035,0.9675272324762259,0.996,0.6394540164978207,1087.0002379307775,1.6556378675679342,0.3765573658263174
True,True,0.01,0.1,0.9819655539171035,0.9675272324762259,0.996,0.6394540164978207,1087.0002379307775,1.6556378675679342,0.3765573658263174
True,True,0.01,0.2,0.9819655539171035,0.9675272324762259,0.996,0.6394540164978207,1087.0002379307775,1.6556378675679342,0.3765573658263174
True,True,0.01,0.4,0.0038945509654366574,0.1452489892390599,0.65,-0.4329649997317409,2.9573248210900513,1.9153199039522237,0.343015529322983
True,True,0.01,1.0,0.008857901647865873,0.17904736117607561,0.942,-0.2018673218727913,7.452831679170426,2.017681076258339,0.3313802799996058
True,True,0.05,0.01,0.9819655539171035,0.9675272324762259,0.996,0.6394540164978207,1087.0002379307775,1.6556378675679342,0.3765573658263174
True,True,0.05,0.02,0.9819655539171035,0.9675272324762259,0.996,0.6394540164978207,1087.0002379307775,1.6556378675679342,0.3765573658263174
True,True,0.05,0.05,0.9819655539171035,0.9675272324762259,0.996,0.6394540164978207,1087.0002379307775,1.6556378675679342,0.3765573658263174
True,True,0.05,0.1,0.9819655539171035,0.9675272324762259,0.996,0.6394540164978207,1087.0002379307775,1.6556378675679342,0.3765573658263174
True,True,0.05,0.2,0.9819655539171035,0.9675272324762259,0.996,0.6394540164978207,1087.0002379307775,1.6556378675679342,0.3765573658263174
True,True,0.05,0.4,0.0038945509654366574,0.1452489892390599,0.65,-0.4329649997317409,2.9573248210900513,1.9153199039522237,0.343015529322983
True,True,0.05,1.0,0.009112264959034498,0.1810723447629053,0.942,-0.2018926020119779,7.506589976484002,2.0307029990979952,0.3299564491464925
True,True,0.1,0.01,0.9819655539171035,0.9675272324762259,0.996,0.6394540164978207,1087.0002379307775,1.6556378675679342,0.3765573658263174
True,True,0.1,0.02,0.9819655539171035,0.9675272324762259,0.996,0.6394540164978207,1087.0002379307775,1.6556378675679342,0.3765573658263174
True,True,0.1,0.05,0.9819655539171035,0.9675272324762259,0.996,0.6394540164978207,1087.0002379307775,1.6556378675679342,0.3765573658263174
True,True,0.1,0.1,0.9819655539171035,0.9675272324762259,0.996,0.6394540164978207,1087.0002379307775,1.6556378675679342,0.3765573658263174
True,True,0.1,0.2,0.9819655539171035,0.9675272324762259,0.996,0.6394540164978207,1087.0002379307775,1.6556378675679342,0.3765573658263174
True,True,0.1,0.4,0.7894021980486676,0.7945670957128512,0.982,0.37816207557076964,506.9478460171286,3.430944267078561,0.2256855288002362
True,True,0.1,1.0,0.009112264959034498,0.1810723447629053,0.942,-0.2018926020119779,7.506589976484002,2.0307029990979952,0.3299564491464925
True,True,0.15,0.01,0.9819655539171035,0.9675272324762259,0.996,0.6394540164978207,1087.0002379307775,1.6556378675679342,0.3765573658263174
True,True,0.15,0.02,0.9819655539171035,0.9675272324762259,0.996,0.6394540164978207,1087.0002379307775,1.6556378675679342,0.3765573658263174
True,True,0.15,0.05,0.9819655539171035,0.9675272324762259,0.996,0.6394540164978207,1087.0002379307775,1.6556378675679342,0.3765573658263174
True,True,0.15,0.1,0.9819655539171035,0.9675272324762259,0.996,0.6394540164978207,1087.0002379307775,1.6556378675679342,0.3765573658263174
True,True,0.15,0.2,0.9819655539171035,0.9675272324762259,0.996,0.6394540164978207,1087.0002379307775,1.6556378675679342,0.3765573658263174
True,True,0.15,0.4,0.7894021980486676,0.7945670957128512,0.982,0.37816207557076964,506.9478460171286,3.430944267078561,0.2256855288002362
True,True,0.15,1.0,0.009112264959034498,0.1810723447629053,0.942,-0.2018926020119779,7.506589976484002,2.0307029990979952,0.3299564491464925
True,True,0.2,0.01,0.9819655539171035,0.9675272324762259,0.996,0.6394540164978207,1087.0002379307775,1.6556378675679342,0.3765573658263174
True,True,0.2,0.02,0.9819655539171035,0.9675272324762259,0.996,0.6394540164978207,1087.0002379307775,1.6556378675679342,0.3765573658263174
True,True,0.2,0.05,0.9819655539171035,0.9675272324762259,0.996,0.6394540164978207,1087.0002379307775,1.6556378675679342,0.3765573658263174
True,True,0.2,0.1,0.9819655539171035,0.9675272324762259,0.996,0.6394540164978207,1087.0002379307775,1.6556378675679342,0.3765573658263174
True,True,0.2,0.2,0.9819655539171035,0.9675272324762259,0.996,0.6394540164978207,1087.0002379307775,1.6556378675679342,0.3765573658263174
True,True,0.2,0.4,0.8340797140389993,0.8506986396830709,0.984,0.3660290990179444,720.26695791944,3.551347562312999,0.21971514728525784
True,True,0.2,1.0,0.009112264959034498,0.1810723447629053,0.942,-0.2018926020119779,7.506589976484002,2.0307029990979952,0.3299564491464925
True,True,0.5,0.01,0.9819655539171035,0.9675272324762259,0.996,0.6394540164978207,1087.0002379307775,1.6556378675679342,0.3765573658263174
True,True,0.5,0.02,0.9819655539171035,0.9675272324762259,0.996,0.6394540164978207,1087.0002379307775,1.6556378675679342,0.3765573658263174
True,True,0.5,0.05,0.9819655539171035,0.9675272324762259,0.996,0.6394540164978207,1087.0002379307775,1.6556378675679342,0.3765573658263174
True,True,0.5,0.1,0.9819655539171035,0.9675272324762259,0.996,0.6394540164978207,1087.0002379307775,1.6556378675679342,0.3765573658263174
True,True,0.5,0.2,0.9819655539171035,0.9675272324762259,0.996,0.6394540164978207,1087.0002379307775,1.6556378675679342,0.3765573658263174
True,True,0.5,0.4,0.8340797140389993,0.8506986396830709,0.984,0.3660290990179444,720.26695791944,3.551347562312999,0.21971514728525784
True,True,0.5,1.0,0.009112264959034498,0.1810723447629053,0.942,-0.2018926020119779,7.506589976484002,2.0307029990979952,0.3299564491464925
True,True,1.0,0.01,0.9819655539171035,0.9675272324762259,0.996,0.6394540164978207,1087.0002379307775,1.6556378675679342,0.3765573658263174
True,True,1.0,0.02,0.9819655539171035,0.9675272324762259,0.996,0.6394540164978207,1087.0002379307775,1.6556378675679342,0.3765573658263174
True,True,1.0,0.05,0.9819655539171035,0.9675272324762259,0.996,0.6394540164978207,1087.0002379307775,1.6556378675679342,0.3765573658263174
True,True,1.0,0.1,0.9819655539171035,0.9675272324762259,0.996,0.6394540164978207,1087.0002379307775,1.6556378675679342,0.3765573658263174
True,True,1.0,0.2,0.9819655539171035,0.9675272324762259,0.996,0.6394540164978207,1087.0002379307775,1.6556378675679342,0.3765573658263174
True,True,1.0,0.4,0.9819655539171035,0.9675272324762259,0.996,0.6394540164978207,1087.0002379307775,1.6556378675679342,0.3765573658263174
True,True,1.0,1.0,0.009112264959034498,0.1810723447629053,0.942,-0.2018926020119779,7.506589976484002,2.0307029990979952,0.3299564491464925
True,False,0.01,0.01,0.9819655539171035,0.9675272324762259,0.996,0.6394540164978207,1087.0002379307775,1.6556378675679342,0.3765573658263174
True,False,0.01,0.02,0.9819655539171035,0.9675272324762259,0.996,0.6394540164978207,1087.0002379307775,1.6556378675679342,0.3765573658263174
True,False,0.01,0.05,0.9819655539171035,0.9675272324762259,0.996,0.6394540164978207,1087.0002379307775,1.6556378675679342,0.3765573658263174
True,False,0.01,0.1,0.9819655539171035,0.9675272324762259,0.996,0.6394540164978207,1087.0002379307775,1.6556378675679342,0.3765573658263174
True,False,0.01,0.2,0.9819655539171035,0.9675272324762259,0.996,0.6394540164978207,1087.0002379307775,1.6556378675679342,0.3765573658263174
True,False,0.01,0.4,0.0038945509654366574,0.1452489892390599,0.65,-0.4329649997317409,2.9573248210900513,1.9153199039522237,0.343015529322983
True,False,0.01,1.0,0.008857901647865873,0.17904736117607561,0.942,-0.2018673218727913,7.452831679170426,2.017681076258339,0.3313802799996058
True,False,0.05,0.01,0.9819655539171035,0.9675272324762259,0.996,0.6394540164978207,1087.0002379307775,1.6556378675679342,0.3765573658263174
True,False,0.05,0.02,0.9819655539171035,0.9675272324762259,0.996,0.6394540164978207,1087.0002379307775,1.6556378675679342,0.3765573658263174
True,False,0.05,0.05,0.9819655539171035,0.9675272324762259,0.996,0.6394540164978207,1087.0002379307775,1.6556378675679342,0.3765573658263174
True,False,0.05,0.1,0.9819655539171035,0.9675272324762259,0.996,0.6394540164978207,1087.0002379307775,1.6556378675679342,0.3765573658263174
True,False,0.05,0.2,0.9819655539171035,0.9675272324762259,0.996,0.6394540164978207,1087.0002379307775,1.6556378675679342,0.3765573658263174
True,False,0.05,0.4,0.0038945509654366574,0.1452489892390599,0.65,-0.4329649997317409,2.9573248210900513,1.9153199039522237,0.343015529322983
True,False,0.05,1.0,0.009112264959034498,0.1810723447629053,0.942,-0.2018926020119779,7.506589976484002,2.0307029990979952,0.3299564491464925
True,False,0.1,0.01,0.9819655539171035,0.9675272324762259,0.996,0.6394540164978207,1087.0002379307775,1.6556378675679342,0.3765573658263174
