n_clusters,threshold,branching_factor,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score
10,0.01,30,0.1529674126182562,0.26299830567648697,0.5074123989218329,0.12195920640159423,0.9964915438848887,0.41117568254059617
10,0.01,50,0.1529674126182562,0.26299830567648697,0.5074123989218329,0.12195920640159423,0.9964915438848887,0.41117568254059617
10,0.01,70,0.1529674126182562,0.26299830567648697,0.5074123989218329,0.12195920640159423,0.9964915438848887,0.41117568254059617
10,0.05,30,0.1832479156194097,0.27761257323306643,0.5626684636118598,0.14042588417297883,0.998509315753428,0.41682409373872487
10,0.05,50,0.15036797800783647,0.2619310995579559,0.5013477088948787,0.15000682051566647,1.0,0.4124513512051171
10,0.05,70,0.13507715223354116,0.24912973164950164,0.49865229110512127,0.14887491752567308,0.9965156556431211,0.4251670281722321
10,0.1,30,0.134269035546673,0.21603395051294372,0.43463611859838275,0.15526224814243406,0.9757302717593389,0.44858981019495653
10,0.1,50,0.1412942939801263,0.21550111304041814,0.4474393530997305,0.14317626238574052,0.9788904341131145,0.43754410388155446
10,0.1,70,0.10064775165796198,0.21854466065259762,0.42654986522911054,0.11960530780070344,0.9726856679798732,0.43120631694555683
10,0.3,30,0.1681451092795372,0.23961012177991278,0.3948787061994609,0.26782771339043365,0.9684168527576507,0.47919199257889683
10,0.3,50,0.1681451092795372,0.23961012177991278,0.3948787061994609,0.26782771339043365,0.9684168527576507,0.47919199257889683
10,0.3,70,0.1681451092795372,0.23961012177991278,0.3948787061994609,0.26782771339043365,0.9684168527576507,0.47919199257889683
10,0.5,30,,,,,,
10,0.5,50,,,,,,
10,0.5,70,,,,,,
10,0.7,30,,,,,,
10,0.7,50,,,,,,
10,0.7,70,,,,,,
