eps,min_samples,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score
0.01,1,0.6132649993985196,0.6880033851110591,1.0,0.1122042511226123,0.8891005277074588,0.7271057588025234
0.01,3,0.3628330627040945,0.7076350972765582,0.7725774555042848,0.1250036651516761,0.5533710833728147,0.41347785157787126
0.01,5,0.22725439496048114,0.6598386858109323,0.6710613052076466,0.04413069974597193,0.5521426675867317,0.4441413766073598
0.01,10,0.07912937011424091,0.4867872392528813,0.4159525379037574,-0.246234162734879,0.5056433390899666,0.47966701114111115
0.01,15,0.03122618159048787,0.31658933715297355,0.27158866183256425,-0.3608942904250307,0.46995536323132,0.45694679910596026
0.025,1,0.9622994477266209,0.9649372594014433,0.999340804218853,0.42335055896138934,0.985486237563494,0.6878231745766404
0.025,3,0.9561084606881308,0.9626071801846835,0.976928147659855,0.5978788541299241,0.9366171596506345,0.36941839676385485
0.025,5,0.9303978136041947,0.9477678022405562,0.962425840474621,0.5825823872997814,0.9137302100592833,0.37954110202063585
0.025,10,0.7849718370780489,0.9027681111127852,0.8945286750164799,0.5142756044111052,0.832348821376034,0.4024467868521869
0.025,15,0.6179821981200195,0.8606593627525562,0.8332234673698088,0.41679847806228465,0.7689186555009337,0.4267986860484541
0.05,1,0.5031213325168117,0.8470477034074393,0.6598549769281477,0.38933407807359904,0.8842965718701953,0.650363924152453
0.05,3,0.5031134087397565,0.8466705762684166,0.6585365853658537,0.4434611088735173,0.8992954560499722,0.23637043238288835
0.05,5,0.5617395787358548,0.8696714926518808,0.6908371786420567,0.48329257154158217,0.9322845634667728,0.5204849562529639
0.05,10,0.5832916904622933,0.8793881859500596,0.7139090309822017,0.5055189468461646,0.9281503038369139,0.3880813290610777
0.05,15,0.7776967930639859,0.920470495282116,0.7844429795649308,0.5808676053306614,1.0,0.4370872970494377
0.1,1,,,,,,
0.1,3,,,,,,
0.1,5,,,,,,
0.1,10,,,,,,
0.1,15,,,,,,
0.15,1,,,,,,
0.15,3,,,,,,
0.15,5,,,,,,
0.15,10,,,,,,
0.15,15,,,,,,
0.2,1,,,,,,
0.2,3,,,,,,
0.2,5,,,,,,
0.2,10,,,,,,
0.2,15,,,,,,
0.25,1,,,,,,
0.25,3,,,,,,
0.25,5,,,,,,
0.25,10,,,,,,
0.25,15,,,,,,
0.3,1,,,,,,
0.3,3,,,,,,
0.3,5,,,,,,
0.3,10,,,,,,
0.3,15,,,,,,
0.4,1,,,,,,
0.4,3,,,,,,
0.4,5,,,,,,
0.4,10,,,,,,
0.4,15,,,,,,
