damping,preference,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score
0.5,,0.2260730078432215,0.5430663171334682,0.995,0.39941616704564015,0.9994526834752431,0.5740993921042326
0.5,-50.0,,,,,,
0.5,-100.0,,,,,,
0.7,,0.22874178778597876,0.5415783680319657,0.989,0.4049375970922192,0.9993234008007462,0.5754671230363784
0.7,-50.0,0.4397191015567687,0.4762354917538137,0.645,0.5673655950174816,0.9348076186706216,0.6203534309521489
0.7,-100.0,,,,,,
0.9,,0.23751671454482115,0.545363969720728,0.991,0.42342195440559144,1.0,0.58491049833051
0.9,-50.0,0.5128341629807744,0.5926987741251913,0.657,0.6312840912521727,0.9609014533726025,0.6643993960205452
0.9,-100.0,,,,,,
