eps,min_samples,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score
0.01,1,0.627396009449397,0.6966740241744896,0.9934,0.03996709562392474,0.8537954979559127,0.9114401073368421
0.01,3,0.5055900018034859,0.7187228064686981,0.846,0.0020781902340857527,0.6201562111272195,0.613531819641447
0.01,5,0.30263346936028857,0.6777677471109256,0.7304,-0.07659181303391911,0.6330292964390518,0.6302132186703477
0.01,10,0.11341571712939044,0.5678814320697667,0.5414,-0.07259417719271717,0.6966852802231905,0.5991376723514243
0.01,15,0.06308436864599702,0.48865264433317035,0.4522,-0.16802623965920457,0.6724447230691656,0.5694107031648332
0.025,1,0.09592015710662055,0.4117692849886753,0.217,-0.575597237491353,0.5427441512379896,0.7741096604643111
0.025,3,0.09592132354574359,0.411574776752302,0.2096,-0.4006169945721354,0.7224140309205725,0.42891216207092975
0.025,5,0.1431616770608081,0.5453660138448555,0.3378,-0.16033152574386259,0.7768227110734232,0.6417703874014058
0.025,10,0.6954915668009256,0.855927098254727,0.7536,0.4971275811805329,1.0,0.637406122791522
0.025,15,0.6582145656096883,0.830623208203599,0.782,0.44559112108238397,0.9478004773510185,0.5935349267707986
0.05,1,1.724450459615799e-05,0.00023621597714182146,0.072,-0.049913928620469915,0.1896764756090288,0.8664698808240289
0.05,3,1.735901983102594e-05,0.0003747963475516453,0.0716,0.25127181267594273,0.1730392379918195,0.4015058850759564
0.05,5,1.735901983102594e-05,0.0003747963475516453,0.0716,0.25127181267594273,0.1730392379918195,0.4015058850759564
0.05,10,1.9158952538174204e-05,0.00032810853676011034,0.0716,0.2040419192067337,0.13678076598255032,0.19637265801266668
0.05,15,3.287569503961238e-05,0.0010820832193785676,0.0718,0.178652357258497,0.17065015342313314,0.0
0.1,1,,,,,,
0.1,3,,,,,,
0.1,5,,,,,,
0.1,10,,,,,,
0.1,15,,,,,,
0.15,1,,,,,,
0.15,3,,,,,,
0.15,5,,,,,,
0.15,10,,,,,,
0.15,15,,,,,,
0.2,1,,,,,,
0.2,3,,,,,,
0.2,5,,,,,,
0.2,10,,,,,,
0.2,15,,,,,,
0.25,1,,,,,,
0.25,3,,,,,,
0.25,5,,,,,,
0.25,10,,,,,,
0.25,15,,,,,,
0.3,1,,,,,,
0.3,3,,,,,,
0.3,5,,,,,,
0.3,10,,,,,,
0.3,15,,,,,,
0.4,1,,,,,,
0.4,3,,,,,,
0.4,5,,,,,,
0.4,10,,,,,,
0.4,15,,,,,,
