number_clusters,eps,threshold,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score,norm_davies_bouldin_score
7,0.01,0.01,0.001078191749811248,0.04050367727358618,1.0,0.19548462999287763,716216.1016152869,0.006934477334045177,0.9931132784802394
7,0.01,0.05,0.001078191749811248,0.04050367727358618,1.0,0.19548462999287763,716216.1016152869,0.006934477334045177,0.9931132784802394
7,0.01,0.1,0.001078191749811248,0.04050367727358618,1.0,0.19548462999287763,716216.1016152869,0.006934477334045177,0.9931132784802394
7,0.01,0.2,0.001078191749811248,0.04050367727358618,1.0,0.19548462999287763,716216.1016152869,0.006934477334045177,0.9931132784802394
7,0.01,0.4,0.001078191749811248,0.04050367727358618,1.0,0.19548462999287763,716216.1016152869,0.006934477334045177,0.9931132784802394
7,0.01,0.7,0.001078191749811248,0.04050367727358618,1.0,0.19548462999287763,716216.1016152869,0.006934477334045177,0.9931132784802394
7,0.05,0.01,0.009965110005753767,0.13256609246437367,0.9987012987012988,0.24887135725065732,861.8192932837563,0.2013339379701563,0.8324080161171991
7,0.05,0.05,0.009965110005753767,0.13256609246437367,0.9987012987012988,0.24887135725065732,861.8192932837563,0.2013339379701563,0.8324080161171991
7,0.05,0.1,0.009965110005753767,0.13256609246437367,0.9987012987012988,0.24887135725065732,861.8192932837563,0.2013339379701563,0.8324080161171991
7,0.05,0.2,0.009965110005753767,0.13256609246437367,0.9987012987012988,0.24887135725065732,861.8192932837563,0.2013339379701563,0.8324080161171991
7,0.05,0.4,0.009965110005753767,0.13256609246437367,0.9987012987012988,0.24887135725065732,861.8192932837563,0.2013339379701563,0.8324080161171991
7,0.05,0.7,0.009965110005753767,0.13256609246437367,0.9987012987012988,0.24887135725065732,861.8192932837563,0.2013339379701563,0.8324080161171991
7,0.1,0.01,0.16776388921825883,0.36580601935919066,0.9727272727272728,0.08416023893669171,65.36248002952006,0.5392684176667442,0.6496592722377955
7,0.1,0.05,0.16776388921825883,0.36580601935919066,0.9727272727272728,0.08416023893669171,65.36248002952006,0.5392684176667442,0.6496592722377955
7,0.1,0.1,0.16776388921825883,0.36580601935919066,0.9727272727272728,0.08416023893669171,65.36248002952006,0.5392684176667442,0.6496592722377955
7,0.1,0.2,0.16776388921825883,0.36580601935919066,0.9727272727272728,0.08416023893669171,65.36248002952006,0.5392684176667442,0.6496592722377955
7,0.1,0.4,0.16776388921825883,0.36580601935919066,0.9727272727272728,0.08416023893669171,65.36248002952006,0.5392684176667442,0.6496592722377955
7,0.1,0.7,0.16776388921825883,0.36580601935919066,0.9727272727272728,0.08416023893669171,65.36248002952006,0.5392684176667442,0.6496592722377955
7,0.2,0.01,0.2094927613822568,0.47028790025943806,0.5696969696969697,-0.2668918226736782,26.69137711263428,0.8394165896355822,0.5436506366391509
7,0.2,0.05,0.2094927613822568,0.47028790025943806,0.5696969696969697,-0.2668918226736782,26.69137711263428,0.8394165896355822,0.5436506366391509
7,0.2,0.1,0.2094927613822568,0.47028790025943806,0.5696969696969697,-0.2668918226736782,26.69137711263428,0.8394165896355822,0.5436506366391509
7,0.2,0.2,0.2094927613822568,0.47028790025943806,0.5696969696969697,-0.2668918226736782,26.69137711263428,0.8394165896355822,0.5436506366391509
7,0.2,0.4,0.2094927613822568,0.47028790025943806,0.5696969696969697,-0.2668918226736782,26.69137711263428,0.8394165896355822,0.5436506366391509
7,0.2,0.7,0.2094927613822568,0.47028790025943806,0.5696969696969697,-0.2668918226736782,26.69137711263428,0.8394165896355822,0.5436506366391509
