levels,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score,norm_davies_bouldin_score
5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
9,1.8078361198242447e-05,1.6222996338662908e-05,0.337,-0.2835474184022863,2.0802831858546313,0.6668719509592964,0.5999261067561267
10,0.00016769168508533216,0.0017510817371738136,0.343,-0.3802097241799585,1.959080980614181,0.7680773214054903,0.5655861244829916
12,0.8291322253427043,0.7431289054070529,0.987,0.13542568621340093,279.41907477835787,0.5868273049339353,0.6301882989350458
14,0.5945238701631241,0.4257099968580694,0.991,0.03745711637366413,200.29249499964533,0.4069648457974275,0.7107498122550664
15,0.3802068838831184,0.3081224436852018,0.997,0.00266766465009092,292.47384483322185,0.32693962699867585,0.7536137889421836
17,0.09831695928187734,0.1518111698092601,0.998,0.09047243920057021,818.5606446224415,0.1930294700187312,0.8382022616627396
18,0.006215161019157421,0.08990786237112289,1.0,0.13570548525341905,7388.0692465073125,0.17769647252500279,0.849115220542337
20,0.0008672760125404126,0.02738944284434201,1.0,0.07872607623480907,58818.90398422417,0.0779814009467418,0.9276597899757321
