n_clusters,threshold,branching_factor,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score
8,0.01,30,0.3993041414646963,0.5859208309640392,0.8154761904761905,0.24263649139431495,0.9981075829486445,0.45121954882426824
8,0.01,50,0.3993041414646963,0.5859208309640392,0.8154761904761905,0.24263649139431495,0.9981075829486445,0.45121954882426824
8,0.01,70,0.3993041414646963,0.5859208309640392,0.8154761904761905,0.24263649139431495,0.9981075829486445,0.45121954882426824
8,0.05,30,0.5282034569573006,0.6490447936433755,0.8601190476190477,0.237210746599048,0.9990574355900147,0.4381522417727828
8,0.05,50,0.3696450784077512,0.5591768773219576,0.7767857142857143,0.23970595652737295,0.9982772485207976,0.46469904575586984
8,0.05,70,0.34930802030146485,0.5536012782765192,0.7767857142857143,0.2345240767137192,0.9976322879483438,0.4644219169912657
8,0.1,30,0.5268974220843042,0.6406313696063015,0.8244047619047619,0.2576977311667478,0.9957766077734213,0.46696832580945474
8,0.1,50,0.45107812282293275,0.610387562418031,0.8571428571428571,0.2286574697354621,1.0,0.44482964306319145
8,0.1,70,0.33660868023790924,0.5398161220335154,0.7678571428571429,0.23130600452460554,0.9910449412672703,0.46949168261468227
8,0.3,30,0.7242231572744351,0.6890261624847172,0.7886904761904762,0.4023723451526341,0.954124050976406,0.5479287429721306
8,0.3,50,0.7242231572744351,0.6890261624847172,0.7886904761904762,0.4023723451526341,0.954124050976406,0.5479287429721306
8,0.3,70,0.7242231572744351,0.6890261624847172,0.7886904761904762,0.4023723451526341,0.954124050976406,0.5479287429721306
8,0.5,30,,,,,,
8,0.5,50,,,,,,
8,0.5,70,,,,,,
8,0.7,30,,,,,,
8,0.7,50,,,,,,
8,0.7,70,,,,,,
