n_clusters,threshold,branching_factor,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score
3,0.1,30,0.6830028899173293,0.7256352027358083,0.868,0.6024624947034544,1.0,0.0
3,0.1,50,0.6830028899173293,0.7256352027358083,0.868,0.6024624947034544,1.0,0.0
3,0.1,70,0.6830028899173293,0.7256352027358083,0.868,0.6024624947034544,1.0,0.0
3,0.3,30,0.4520543017676132,0.5239980232292324,0.667,0.6224181832877592,0.9860524830937385,0.13064273740899335
3,0.3,50,0.4520543017676132,0.5239980232292324,0.667,0.6224181832877592,0.9860524830937385,0.13064273740899335
3,0.3,70,0.4520543017676132,0.5239980232292324,0.667,0.6224181832877592,0.9860524830937385,0.13064273740899335
3,0.5,30,,,,,,
3,0.5,50,,,,,,
3,0.5,70,,,,,,
3,0.7,30,,,,,,
3,0.7,50,,,,,,
3,0.7,70,,,,,,
