n_clusters,embedding_size,pretrain_epochs,clustering_epochs,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score,norm_davies_bouldin_score
10,2,100,100,0.3673857460290833,0.5647145712838755,0.6223175965665236,0.36485623743000545,2636.042302798881,0.8461222327436948,0.5416759422878552
10,2,100,200,0.3395712818091652,0.537474859155972,0.6051502145922747,0.37248424443339545,2697.7313526645744,0.8259774898359851,0.5476518771815874
10,2,200,100,0.39568558391163833,0.5602765631090019,0.6005007153075823,0.38832088951399224,2675.8354857070626,0.8126121911569314,0.5516899891099886
10,2,200,200,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
10,5,100,100,0.3367740657083473,0.551380724911714,0.5954935622317596,0.39934533263192307,2791.5150698160796,0.7512727980911774,0.5710132659457527
10,5,100,200,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
10,5,200,100,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
10,5,200,200,0.3399931597277586,0.5339729865456468,0.6065808297567954,0.37823975212031585,2696.6785011546444,0.8167361672416551,0.5504376573943023
10,10,100,100,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
10,10,100,200,0.36322478094801885,0.5323163156917416,0.5937052932761088,0.36553207258982956,2551.262387093248,0.8368860712513356,0.5443995768985136
10,10,200,100,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
10,10,200,200,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
