max_n_leaf_nodes,embedding_size,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score,norm_davies_bouldin_score
1,2,0.12653538528765876,0.3791073813351615,0.1418,0.36266710654204104,3098.8665981698723,1.159005133412278,0.4631762956577661
1,5,0.10794577873383286,0.37557305961855625,0.1418,0.3452129931099378,2670.520228770476,1.1653943203533053,0.4618096531429159
1,10,0.1270985378124771,0.38482684150237,0.1418,0.4008526539395006,3751.0507669218464,1.0568352514972148,0.4861838104301638
2,2,0.12967330610747993,0.3919186379638386,0.141,0.34240909819407345,2701.655922802688,1.2568683284407034,0.44309186645855925
2,5,0.11806588550455155,0.3717427984240435,0.1402,0.32228135367199473,2346.60805951168,1.3058559353666732,0.43367843786866145
2,10,0.12676878694607752,0.3796873507389435,0.1418,0.362964834004385,3103.2654662534524,1.158482334021953,0.4632884801686913
3,2,0.21464174797692945,0.5442651010232168,0.2106,0.37845221812332,3479.352025289107,0.9867558672615383,0.5033331052286553
3,5,0.18438734613412866,0.5037679857316046,0.2056,0.368430481410167,3520.642952102979,0.8408187754527781,0.5432365278619208
3,10,0.1971411014454697,0.5340104002656169,0.2102,0.40650482672079175,4032.724310165092,0.7853121531693835,0.5601261371714439
4,2,0.24267545812263608,0.5935187904331523,0.2734,0.33409871742775354,3341.7067033093717,0.8834130055325009,0.5309509900709579
4,5,0.23274806351598362,0.5827902096607034,0.273,0.35017615749847125,3430.8576748277665,0.7664476669038036,0.5661079117915683
4,10,0.20902634273334836,0.5817836966598081,0.2782,0.3253466310542266,2661.1456717992814,0.8118514859991147,0.551921615942251
5,2,0.41039182750128705,0.6878723999461457,0.3378,0.40757045635181965,4812.789498450151,0.921921201074797,0.5203126951514815
5,5,0.28493071595082264,0.6043166867275819,0.3294,0.2824670542054724,2583.3120738779567,1.0323306721223733,0.49204591246743073
5,10,0.32281382795913743,0.653225320332858,0.3382,0.32638218446130857,2787.125749298892,1.0435440444638446,0.4893459491167294
10,2,0.5246862606064383,0.7707800798696587,0.5312,0.3041464015184273,3623.4516886449273,1.0712309849635469,0.4828046737711389
10,5,0.6429116530900818,0.8339846722488311,0.6496,0.4473573540814723,4532.310851110827,0.778657276017051,0.5622218588615908
10,10,0.5952559552747994,0.7973332747215268,0.6498,0.4309190507224113,3889.9794461988763,0.8556355683830287,0.5388989179978826
