min_samples,xi,min_cluster_size,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score
5,0.05,0.05,-0.015198233984641662,0.16442629415733653,0.45794392523364486,-0.17350859507873284,0.6157608843165071,0.3834583816314119
5,0.05,0.1,0.07535012782124625,0.23960656986043996,0.4532710280373832,0.15517759933586056,0.8485760667158971,0.37994814254202264
5,0.1,0.05,0.017279805183053925,0.1865522558343342,0.48598130841121495,-0.1893594474499439,0.6212292898137496,0.39284360704654486
5,0.1,0.1,0.25025534123240706,0.376165431246785,0.5,0.462332143579597,1.0,0.3897683491321535
10,0.05,0.05,0.12378587957910345,0.28087026602338877,0.5514018691588785,-0.10400353696809514,0.8268208078634852,0.3835761014056781
10,0.05,0.1,0.12378587957910345,0.28087026602338877,0.5514018691588785,-0.10400353696809514,0.8268208078634852,0.3835761014056781
10,0.1,0.05,0.1186031056681831,0.2528073886312448,0.4532710280373832,0.4360275891347098,0.9543859986312164,0.5797475349676477
10,0.1,0.1,0.1186031056681831,0.2528073886312448,0.4532710280373832,0.4360275891347098,0.9543859986312164,0.5797475349676477
15,0.05,0.05,0.12293505786556277,0.25920917410176103,0.5373831775700935,-0.12277374401338509,0.8362754222275744,0.38088290697508137
15,0.05,0.1,0.12293505786556277,0.25920917410176103,0.5373831775700935,-0.12277374401338509,0.8362754222275744,0.38088290697508137
15,0.1,0.05,0.06876285364935135,0.2268045421123875,0.4485981308411215,0.1149264339567126,0.8709399513633396,0.3975664411149716
15,0.1,0.1,-0.01908340213900539,0.08369296297900564,0.35514018691588783,0.06879700873198767,0.7431984892107856,0.36587982748881526
