min_samples,xi,min_cluster_size,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score
5,0.05,0.05,,,,,,
5,0.05,0.1,,,,,,
5,0.1,0.05,,,,,,
5,0.1,0.1,,,,,,
10,0.05,0.05,,,,,,
10,0.05,0.1,,,,,,
10,0.1,0.05,,,,,,
10,0.1,0.1,,,,,,
15,0.05,0.05,0.040052088182290106,0.021834376619750535,0.6467486818980668,0.407441878762694,1.0,0.3503766149065218
15,0.05,0.1,0.040052088182290106,0.021834376619750535,0.6467486818980668,0.407441878762694,1.0,0.3503766149065218
15,0.1,0.05,,,,,,
15,0.1,0.1,,,,,,
