n_clusters,step_size,dip_threshold,n_starting_vectors,ambiguous_triangle_strategy,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score,norm_davies_bouldin_score
10,0.1,0.01,1,ignore,0.18860499185451204,0.32972239916819085,0.45350500715307585,0.13031759712170257,683.958129231126,2.3855759229357316,0.29537072059895525
10,0.1,0.01,1,random,0.18860499185451204,0.32972239916819085,0.45350500715307585,0.13031759712170257,683.958129231126,2.3855759229357316,0.29537072059895525
10,0.1,0.01,1,all,0.18860499185451204,0.32972239916819085,0.45350500715307585,0.13031759712170257,683.958129231126,2.3855759229357316,0.29537072059895525
10,0.1,0.01,2,ignore,0.18860499185451204,0.32972239916819085,0.45350500715307585,0.13031759712170257,683.958129231126,2.3855759229357316,0.29537072059895525
10,0.1,0.01,2,random,0.18860499185451204,0.32972239916819085,0.45350500715307585,0.13031759712170257,683.958129231126,2.3855759229357316,0.29537072059895525
10,0.1,0.01,2,all,0.18860499185451204,0.32972239916819085,0.45350500715307585,0.13031759712170257,683.958129231126,2.3855759229357316,0.29537072059895525
10,0.1,0.01,3,ignore,0.18860499185451204,0.32972239916819085,0.45350500715307585,0.13031759712170257,683.958129231126,2.3855759229357316,0.29537072059895525
10,0.1,0.01,3,random,0.18860499185451204,0.32972239916819085,0.45350500715307585,0.13031759712170257,683.958129231126,2.3855759229357316,0.29537072059895525
10,0.1,0.01,3,all,0.18860499185451204,0.32972239916819085,0.45350500715307585,0.13031759712170257,683.958129231126,2.3855759229357316,0.29537072059895525
10,0.1,0.01,5,ignore,0.18860499185451204,0.32972239916819085,0.45350500715307585,0.13031759712170257,683.958129231126,2.3855759229357316,0.29537072059895525
10,0.1,0.01,5,random,0.18860499185451204,0.32972239916819085,0.45350500715307585,0.13031759712170257,683.958129231126,2.3855759229357316,0.29537072059895525
10,0.1,0.01,5,all,0.18860499185451204,0.32972239916819085,0.45350500715307585,0.13031759712170257,683.958129231126,2.3855759229357316,0.29537072059895525
10,0.1,0.05,1,ignore,0.18860499185451204,0.32972239916819085,0.45350500715307585,0.13031759712170257,683.958129231126,2.3855759229357316,0.29537072059895525
10,0.1,0.05,1,random,0.18860499185451204,0.32972239916819085,0.45350500715307585,0.13031759712170257,683.958129231126,2.3855759229357316,0.29537072059895525
