n_clusters,step_size,dip_threshold,n_starting_vectors,ambiguous_triangle_strategy,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score,norm_davies_bouldin_score
6,0.1,0.01,1,ignore,0.1345244897665581,0.24100574437483702,0.48598130841121495,0.25008483248969793,50.68537643591477,2.1233980885610175,0.3201641198611063
6,0.1,0.01,1,random,0.14460823487779634,0.2562382133733077,0.4953271028037383,0.27535724153637114,51.47288886162223,2.0975142856630806,0.32283951187199494
6,0.1,0.01,1,all,0.14460823487779634,0.2562382133733077,0.4953271028037383,0.27535724153637114,51.47288886162223,2.0975142856630806,0.32283951187199494
6,0.1,0.01,2,ignore,0.1391148063319554,0.24408132949226966,0.5046728971962616,0.24850912000564793,50.53213224321124,2.1305057448506743,0.31943720328412945
6,0.1,0.01,2,random,0.13701410442246206,0.241985629383494,0.49065420560747663,0.25179574159380935,50.55663161236697,2.131504910512361,0.3193352808239362
6,0.1,0.01,2,all,0.1391148063319554,0.24408132949226966,0.5046728971962616,0.24850912000564793,50.53213224321124,2.1305057448506743,0.31943720328412945
6,0.1,0.01,3,ignore,0.16072695539141788,0.27465369160414643,0.5046728971962616,0.2837106100254999,51.25466460178317,2.043800320333181,0.3285366629735218
6,0.1,0.01,3,random,0.128543255462023,0.23260910586918904,0.4672897196261682,0.24872921091439745,50.29232825322383,2.1361680206128115,0.31886046711381194
6,0.1,0.01,3,all,0.1493365960916889,0.26235982528047236,0.5093457943925234,0.2762606170538267,51.37206854458467,2.1060244684408143,0.3219549653135822
6,0.1,0.01,5,ignore,0.15496856543698662,0.2541574536942765,0.5046728971962616,0.263344534121662,49.63122029239829,2.1433519896053763,0.31813172794738215
6,0.1,0.01,5,random,0.14913680044428426,0.2564523812324919,0.5046728971962616,0.27715480903629924,50.35656680268716,2.1139833102708345,0.3211321000667233
6,0.1,0.01,5,all,0.14549546085644965,0.2531001481507786,0.5,0.2743915579754399,50.497902278333214,2.1153062041760555,0.3209957334722038
6,0.1,0.05,1,ignore,0.1345244897665581,0.24100574437483702,0.48598130841121495,0.25008483248969793,50.68537643591477,2.1233980885610175,0.3201641198611063
6,0.1,0.05,1,random,0.13518686585755318,0.24171035101064273,0.49065420560747663,0.2494768800687421,50.46809628637489,2.130709369516227,0.3194164267488442
6,0.1,0.05,1,all,0.14460823487779634,0.2562382133733077,0.4953271028037383,0.27535724153637114,51.47288886162223,2.0975142856630806,0.32283951187199494
6,0.1,0.05,2,ignore,0.1391148063319554,0.24408132949226966,0.5046728971962616,0.24850912000564793,50.53213224321124,2.1305057448506743,0.31943720328412945
6,0.1,0.05,2,random,0.15697937359000344,0.2631280577757165,0.5093457943925234,0.26910240856393397,51.1787509701648,2.1061055410430156,0.3219465619523684
6,0.1,0.05,2,all,0.1391148063319554,0.24408132949226966,0.5046728971962616,0.24850912000564793,50.53213224321124,2.1305057448506743,0.31943720328412945
6,0.1,0.05,3,ignore,0.16072695539141788,0.27465369160414643,0.5046728971962616,0.2837106100254999,51.25466460178317,2.043800320333181,0.3285366629735218
6,0.1,0.05,3,random,0.14502488522121054,0.25439335838586563,0.48598130841121495,0.25524885218245846,51.34695081565737,2.058729447216247,0.32693313261494933
6,0.1,0.05,3,all,0.1493365960916889,0.26235982528047236,0.5093457943925234,0.2762606170538267,51.37206854458467,2.1060244684408143,0.3219549653135822
6,0.1,0.05,5,ignore,0.15496856543698662,0.2541574536942765,0.5046728971962616,0.263344534121662,49.63122029239829,2.1433519896053763,0.31813172794738215
6,0.1,0.05,5,random,0.14796335788525006,0.25899689061205444,0.5046728971962616,0.27876593943201616,50.87332481384633,2.1063663641310972,0.3219195300164528
6,0.1,0.05,5,all,0.14549546085644965,0.2531001481507786,0.5,0.2743915579754399,50.497902278333214,2.1153062041760555,0.3209957334722038
6,0.1,0.1,1,ignore,0.1345244897665581,0.24100574437483702,0.48598130841121495,0.25008483248969793,50.68537643591477,2.1233980885610175,0.3201641198611063
6,0.1,0.1,1,random,0.1519093219094557,0.2618100645191629,0.5093457943925234,0.27207221426496897,51.1367443800468,2.1068139264924977,0.3218731548332445
6,0.1,0.1,1,all,0.14460823487779634,0.2562382133733077,0.4953271028037383,0.27535724153637114,51.47288886162223,2.0975142856630806,0.32283951187199494
6,0.1,0.1,2,ignore,0.1391148063319554,0.24408132949226966,0.5046728971962616,0.24850912000564793,50.53213224321124,2.1305057448506743,0.31943720328412945
6,0.1,0.1,2,random,0.1391148063319554,0.24408132949226966,0.5046728971962616,0.24850912000564793,50.53213224321124,2.1305057448506743,0.31943720328412945
6,0.1,0.1,2,all,0.1391148063319554,0.24408132949226966,0.5046728971962616,0.24850912000564793,50.53213224321124,2.1305057448506743,0.31943720328412945
6,0.1,0.1,3,ignore,0.16072695539141788,0.27465369160414643,0.5046728971962616,0.2837106100254999,51.25466460178317,2.043800320333181,0.3285366629735218
6,0.1,0.1,3,random,0.128543255462023,0.23260910586918904,0.4672897196261682,0.24872921091439745,50.29232825322383,2.1361680206128115,0.31886046711381194
6,0.1,0.1,3,all,0.1493365960916889,0.26235982528047236,0.5093457943925234,0.2762606170538267,51.37206854458467,2.1060244684408143,0.3219549653135822
6,0.1,0.1,5,ignore,0.15496856543698662,0.2541574536942765,0.5046728971962616,0.263344534121662,49.63122029239829,2.1433519896053763,0.31813172794738215
