ratio,embedding_size,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score,norm_davies_bouldin_score
0.01,2,0.012104142145364392,0.1995342653101926,1.0,0.22127433581362238,2368.9906132899455,0.9309286359720552,0.5178855299831351
0.01,5,0.012717967201847018,0.20557964495671743,1.0,0.24907742849965558,2604.870142424804,0.9059240087067885,0.5246798904005213
0.01,10,0.012854372667617409,0.20397306397692294,1.0,0.24693754684290614,2577.19791192212,0.858983180288753,0.5379284818729083
0.05,2,0.1361176056112481,0.384889478008424,1.0,0.3909884632695214,2132.127934202655,0.6003840434884646,0.6248500190118322
0.05,5,0.10962066076426709,0.37505352219498994,1.0,0.4475251724686318,2991.093718544241,0.5996846974381753,0.6251231893394092
0.05,10,0.10852561602287551,0.3720336073079124,1.0,0.41766995064661694,2865.1499404193796,0.6228380761095639,0.6162044228080377
0.1,2,0.22341602504637278,0.4633969533921787,1.0,0.4186332258653199,1573.4204802480576,0.5826991624951724,0.6318320143819817
0.1,5,0.26487212117822734,0.49425071890762173,1.0,0.47238385436640806,1581.5808289502852,0.5905208812505875,0.6287248484368998
0.1,10,0.2259184057710286,0.4576295178626043,1.0,0.39090867166509513,1474.160118831536,0.5840570179467256,0.6312904072709532
0.2,2,0.777952436051561,0.8132916471533075,1.0,0.31105984641600126,730.2913324704924,1.0561433292919316,0.4863474183700838
0.2,5,0.7772834689819381,0.812959865946216,1.0,0.3119398784459629,730.9753117422631,1.0544713363470843,0.486743223090195
0.2,10,0.8064127502442247,0.8279942092204399,1.0,0.36520935759974804,702.7042556106662,0.874132298643307,0.5335802604351383
