ratio,embedding_size,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score,norm_davies_bouldin_score
0.01,2,0.05575853201846822,0.4940430236631117,1.0,0.2327114878531983,20833.033394954906,0.9449359397056198,0.5141557516549142
0.01,5,0.05928235384298943,0.5027652995263834,1.0,0.23139886730871012,20816.201161863646,0.9906508960702858,0.5023482530131652
0.01,10,0.06641469097092181,0.5112110852597361,1.0,0.21484278241272783,17996.07454025113,1.019217519737605,0.49524134484032645
0.05,2,0.4632671162218247,0.7813913865304937,1.0,0.4247606673528176,26298.580031034402,0.7580788672607464,0.5688026962966086
0.05,5,0.4916631532176106,0.7851016464675661,1.0,0.3219381736641062,25353.555243354775,0.9251198341611697,0.5194481830455655
0.05,10,0.4479397076033463,0.775065902376593,1.0,0.3993721135063283,25029.69058759306,0.8554509592476462,0.538952536048424
0.1,2,0.6210697668606149,0.7877125450051804,0.7488294314381271,0.4092433315717679,1985.0697003870796,0.8377842827448452,0.5441335032566704
0.1,5,0.7087474583557959,0.8426704242370507,0.7719063545150502,0.48876017261194327,2848.0094913085486,1.0635725063581252,0.4845964931781534
0.1,10,0.6893794595851993,0.8378789880929813,0.7719063545150502,0.2709215808395328,1946.5015023605529,1.7276009716342193,0.3666225413466026
0.2,2,0.7398817966740906,0.8643365866917584,0.7719063545150502,0.5900277380891422,3865.241465218475,0.588297228734529,0.6296050776319411
0.2,5,0.6661662129589326,0.8117811337169074,0.7294314381270903,0.478954577614363,2297.350045995096,0.8973971870369564,0.5270377793495288
0.2,10,0.7289198970609663,0.8613144948123815,0.7719063545150502,0.5881322558796729,4362.7598467862945,0.5283882981887474,0.6542839939203103
