n_clusters,linkage,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score
2,ward,0.0023757668161543534,0.0017389209175134102,0.529,0.33670763552446303,0.9349170879377756,0.014847243289163092
2,complete,0.00824867017439232,0.0061737771075582246,0.548,0.3251860809620042,0.9241854321034456,0.0
2,average,3.0091971614276845e-05,2.1669511906778646e-05,0.516,0.34521623880766494,0.9422469123786619,0.032335865498520966
3,ward,0.0027735114926980063,0.003234400485771881,0.534,0.3369353602751717,0.9657162460691517,0.2712789071269641
3,complete,0.007732712757880326,0.005766904815154943,0.548,0.35223459804941576,0.9760000248736111,0.27866218347109184
3,average,-0.00036762139448108945,-0.0003187173320198283,0.516,0.34708178697919256,0.9696668206447957,0.2836016216799657
4,ward,0.0024684544681821967,0.0035166752295948092,0.534,0.3148906357150311,0.9809727981749021,0.2967763839064349
4,complete,0.0074416730587807895,0.00886813464988323,0.548,0.3088907414117648,0.9677590273577777,0.30990914607772646
4,average,0.0004873287390266626,0.0013128773209050246,0.526,0.32162639561077294,0.9866272307600954,0.3124968758808373
5,ward,0.00681956914170349,0.008383538439222843,0.565,0.31042221484542143,0.9886457255122084,0.2510990172063262
5,complete,0.005995717952744013,0.007785852933475037,0.548,0.32113463217501004,1.0,0.30193729061442454
5,average,0.014366575671494087,0.04471449281321006,0.584,0.3029490654098996,0.9742880111075831,0.3091237341046603
