min_samples,xi,min_cluster_size,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score
5,0.05,0.05,0.07721309936981105,0.3070342615184761,0.3369098712446352,0.028581786902847163,0.9129062416614054,0.0
5,0.05,0.1,0.07669541743483603,0.28067499594943196,0.2979256080114449,0.29954350914939737,0.9897978584570358,0.21375475090097074
5,0.1,0.05,,,,,,
5,0.1,0.1,,,,,,
10,0.05,0.05,,,,,,
10,0.05,0.1,,,,,,
10,0.1,0.05,,,,,,
10,0.1,0.1,,,,,,
15,0.05,0.05,0.08584305227795165,0.3058033937280182,0.3043633762517883,0.30956868527115894,1.0,0.21819332307069006
15,0.05,0.1,0.08584305227795165,0.3058033937280182,0.3043633762517883,0.30956868527115894,1.0,0.21819332307069006
15,0.1,0.05,,,,,,
15,0.1,0.1,,,,,,
