significance,split_viewers_threshold,pval_strategy,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score,norm_davies_bouldin_score
0.0005,0.005,table,0.3436021907047951,0.5412652431718586,0.995,0.49878163412114657,1539.402432281875,0.6842301693064444,0.5937430751592544
0.0005,0.005,function,0.34268803664498326,0.5409924536465726,0.995,0.4985754141433181,1539.4098044502314,0.6848581007165575,0.5935217924730323
0.0005,0.005,bootstrap,0.34427176420032835,0.5414684843944806,0.995,0.49876068541525076,1538.9098301666745,0.6839761342979992,0.5938326438437745
0.0005,0.01,table,0.34268803664498326,0.5409924536465726,0.995,0.4985754141433181,1539.4098044502314,0.6848581007165575,0.5935217924730323
0.0005,0.01,function,0.34268803664498326,0.5409924536465726,0.995,0.4985754141433181,1539.4098044502316,0.6848581007165575,0.5935217924730323
0.0005,0.01,bootstrap,0.34268803664498326,0.5409924536465726,0.995,0.4985754141433181,1539.4098044502314,0.6848581007165575,0.5935217924730323
0.0005,0.05,table,0.29904818768746705,0.5105574677536588,0.993,0.4934764459861927,1602.0441933140341,0.6772445958590608,0.5962159618632215
0.0005,0.05,function,0.3436021907047951,0.5412652431718586,0.995,0.49878163412114657,1539.402432281875,0.6842301693064444,0.5937430751592544
0.0005,0.05,bootstrap,0.3407339809900179,0.5359180590621794,0.993,0.4975705394377292,1538.7041532223327,0.6814176624225684,0.5947362290456797
0.0005,0.1,table,0.34268803664498326,0.5409924536465726,0.995,0.4985754141433181,1539.4098044502316,0.6848581007165575,0.5935217924730323
0.0005,0.1,function,0.3436021907047951,0.5412652431718586,0.995,0.49878163412114657,1539.4024322818748,0.6842301693064444,0.5937430751592544
0.0005,0.1,bootstrap,0.3436021907047951,0.5412652431718586,0.995,0.49878163412114657,1539.402432281875,0.6842301693064444,0.5937430751592544
0.001,0.005,table,0.3436021907047951,0.5412652431718586,0.995,0.49878163412114657,1539.4024322818748,0.6842301693064444,0.5937430751592544
0.001,0.005,function,0.34162956356428253,0.5406655832984018,0.995,0.49836188247460617,1539.523974277186,0.6863683919663123,0.5929902414940286
0.001,0.005,bootstrap,0.34162956356428253,0.5406655832984018,0.995,0.49836188247460617,1539.523974277186,0.6863683919663123,0.5929902414940286
0.001,0.01,table,0.34268803664498326,0.5409924536465726,0.995,0.4985754141433181,1539.4098044502316,0.6848581007165575,0.5935217924730323
0.001,0.01,function,0.3436021907047951,0.5412652431718586,0.995,0.49878163412114657,1539.402432281875,0.6842301693064444,0.5937430751592544
0.001,0.01,bootstrap,0.34162956356428253,0.5406655832984018,0.995,0.49836188247460617,1539.5239742771864,0.6863683919663122,0.5929902414940286
0.001,0.05,table,0.34162956356428253,0.5406655832984018,0.995,0.49836188247460617,1539.523974277186,0.6863683919663123,0.5929902414940286
0.001,0.05,function,0.34162956356428253,0.5406655832984018,0.995,0.49836188247460617,1539.523974277186,0.6863683919663122,0.5929902414940286
0.001,0.05,bootstrap,0.3436021907047951,0.5412652431718586,0.995,0.49878163412114657,1539.4024322818748,0.6842301693064444,0.5937430751592544
0.001,0.1,table,0.3436021907047951,0.5412652431718586,0.995,0.49878163412114657,1539.4024322818748,0.6842301693064444,0.5937430751592544
0.001,0.1,function,0.34268803664498326,0.5409924536465726,0.995,0.4985754141433181,1539.4098044502316,0.6848581007165575,0.5935217924730323
0.001,0.1,bootstrap,0.34268803664498326,0.5409924536465726,0.995,0.4985754141433181,1539.4098044502314,0.6848581007165575,0.5935217924730323
0.005,0.005,table,0.34268803664498326,0.5409924536465726,0.995,0.4985754141433181,1539.4098044502316,0.6848581007165575,0.5935217924730323
0.005,0.005,function,0.34268803664498326,0.5409924536465726,0.995,0.4985754141433181,1539.4098044502314,0.6848581007165575,0.5935217924730323
