amount_intervals,density_threshold,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score,norm_davies_bouldin_score
5,3,0.12377765500460018,0.3199596634010434,0.3230769230769231,0.8139391396432665,14220.560432660699,0.5212115632545464,0.6573707590419287
5,5,0.12377765500460018,0.3199596634010434,0.3230769230769231,0.8139391396432665,14220.560432660699,0.5212115632545464,0.6573707590419287
5,10,0.12377765500460018,0.3199596634010434,0.3230769230769231,0.8139391396432665,14220.560432660699,0.5212115632545464,0.6573707590419287
5,15,0.12377765500460018,0.3199596634010434,0.3230769230769231,0.8139391396432665,14220.560432660699,0.5212115632545464,0.6573707590419287
10,3,0.12373618385648028,0.31876618032857096,0.3229230769230769,0.813410196688681,14121.684837850717,0.5236031424706928,0.6563388930652823
10,5,0.12631562329671148,0.3579557402904871,0.338,0.8091809632442196,10387.86838020752,0.6082338620733526,0.6218001147611636
10,10,0.12652241710047404,0.36673834909140035,0.34907692307692306,0.7880224720438019,6681.418363857367,0.9419630647045477,0.5149428525058694
10,15,0.12647706630587013,0.3762557307672871,0.36338461538461536,0.7566671416285881,3930.572691493436,1.679267217675302,0.37323638097869977
25,3,0.995461200266075,0.9694629879713745,0.9856923076923076,0.8035518720246266,13232.186177257961,0.9920973922406965,0.5019834893088271
25,5,0.9944329404535548,0.9633665908556899,0.9812307692307692,0.8029947230224121,10876.489294413968,1.761046931284056,0.3621814568486667
25,10,0.9895347977968112,0.9455838971647198,0.9595384615384616,0.7598744609862464,6704.303908434661,1.9365903683526633,0.3405309813642715
25,15,0.9850345853021262,0.9436766204080761,0.938923076923077,0.7727267207186841,9113.358288271054,0.6572345979101415,0.6034148703273825
50,3,0.9861743634521002,0.9285937942605982,0.9587692307692308,0.746771067464126,2417.4166375789055,1.2543770966838514,0.4435815114831419
50,5,0.9834195000839565,0.9306872965807359,0.9475384615384616,0.7308000441625514,3353.552433684174,1.5420106994371647,0.39338937488398984
50,10,0.8543756235404539,0.8395870500928526,0.9153846153846154,0.4482310473382532,577.7704275869846,10.816752656006194,0.08462561831585111
50,15,0.848549195761398,0.8333555661221724,0.9135384615384615,0.4459835368227289,577.7100334098213,10.830168916555031,0.08452964679148486
