levels,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score,norm_davies_bouldin_score
5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
9,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
10,1.0,1.0,1.0,0.11430267341845882,0.024791645441720137,189.94488590696514,0.005237113291880643
12,0.7837768180777877,0.7382247103141734,1.0,-0.0765954915241416,39.65476047442397,1.5334701266460256,0.3947155285086648
14,0.057982479390113056,0.23325710339029634,1.0,-0.017374063666260053,280.1137976262669,0.6545773185543035,0.6043839648870297
15,0.013833281388987267,0.14155790700477927,1.0,0.19735829390945048,738.7448778858796,0.4073838040956428,0.7105382320656876
17,0.0010752223640089246,0.04555404373322313,1.0,0.1987447397090869,10073.983708788326,0.160865376661379,0.8614263291028422
18,0.0005095273040175742,0.025014545180223294,1.0,0.12916889491312644,17931.62623851448,0.10114072558571899,0.9081491373121994
20,0.00015245704304156808,0.008277142769007607,1.0,0.052177612305378304,57332.71907774869,0.03539214356357923,0.9658176433116753
