n_clusters,embedding_size,pretrain_epochs,clustering_epochs,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score,norm_davies_bouldin_score
2,2,100,100,-0.004370135442742138,-0.003586137325561012,0.5336538461538461,0.22021560860582456,38.85169636137379,1.9325566294014715,0.3409993825776854
2,2,100,200,-0.0043507893315293394,0.0011801086529788006,0.5336538461538461,0.23008626515149275,37.17834754381749,1.875991770992075,0.3477061409167556
2,2,200,100,0.013407891093265683,0.007074907751760327,0.5673076923076923,0.16748748954022766,37.10759325740642,2.212922847081294,0.3112430791509442
2,2,200,200,0.032341940124917826,0.030370922921591915,0.5961538461538461,0.13024277044217686,23.01294090502746,2.9168083067433916,0.25530991605546416
2,5,100,100,-0.004446903165263867,-0.0035624421315746733,0.5336538461538461,0.1512566388628437,39.50124685975972,2.127871492194911,0.31970622913867647
2,5,100,200,-0.004456265885482146,-0.002963078693055669,0.5336538461538461,0.15544591931507384,37.95269466006236,2.2391568499573746,0.30872231457799254
2,5,200,100,-0.0014659771429361504,0.00115219815721625,0.5336538461538461,0.1621756279418203,37.178376992203525,2.1900743484723644,0.31347231780941764
2,5,200,200,-0.0002252526558064853,-0.0024236927293798008,0.5336538461538461,0.1978174998371844,39.804381562561524,2.0681030725552847,0.32593429110813577
2,10,100,100,-0.00026969378259511913,0.0013905789049745692,0.5336538461538461,0.15974914891700936,38.78525458965863,2.187594781322873,0.31371616174656725
2,10,100,200,0.016071684537327876,0.010935308089986556,0.5721153846153846,0.14263277839900956,35.1094770145082,2.310169362203752,0.3020993461598134
2,10,200,100,-0.002494759689331578,-0.00040116550927741016,0.5336538461538461,0.16052319874687568,38.27978273986643,2.1820019421947183,0.31426756430898695
2,10,200,200,-0.004747746562156298,-0.002378698218658911,0.5336538461538461,0.22090919543110352,38.63888201024928,1.9832374635308498,0.335206302624142
