significance,pval_strategy,n_split_trials,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score
0.0005,table,5,1.0,1.0,1.0,0.8325457409165327,1.0,0.7364799769968586
0.0005,table,10,1.0,1.0,1.0,0.8325457409165327,1.0,0.7364799769968586
0.0005,table,15,1.0,1.0,1.0,0.8325457409165327,1.0,0.7364799769968586
0.0005,table,20,1.0,1.0,1.0,0.8325457409165327,0.9999999999999999,0.7364799769968586
0.0005,bootstrap,5,1.0,1.0,1.0,0.8325457409165327,1.0,0.7364799769968586
0.0005,bootstrap,10,1.0,1.0,1.0,0.8325457409165327,0.9999999999999999,0.7364799769968586
0.0005,bootstrap,15,1.0,1.0,1.0,0.8325457409165327,0.9999999999999999,0.7364799769968586
0.0005,bootstrap,20,1.0,1.0,1.0,0.8325457409165327,0.9999999999999999,0.7364799769968586
0.001,table,5,1.0,1.0,1.0,0.8325457409165327,1.0,0.7364799769968586
0.001,table,10,1.0,1.0,1.0,0.8325457409165327,0.9999999999999999,0.7364799769968586
0.001,table,15,1.0,1.0,1.0,0.8325457409165327,1.0,0.7364799769968586
0.001,table,20,1.0,1.0,1.0,0.8325457409165327,1.0,0.7364799769968586
0.001,bootstrap,5,1.0,1.0,1.0,0.8325457409165327,1.0,0.7364799769968586
0.001,bootstrap,10,1.0,1.0,1.0,0.8325457409165327,1.0,0.7364799769968586
0.001,bootstrap,15,1.0,1.0,1.0,0.8325457409165327,1.0,0.7364799769968586
0.001,bootstrap,20,1.0,1.0,1.0,0.8325457409165327,1.0,0.7364799769968586
0.005,table,5,1.0,1.0,1.0,0.8325457409165327,1.0,0.7364799769968586
0.005,table,10,1.0,1.0,1.0,0.8325457409165327,0.9999999999999999,0.7364799769968586
0.005,table,15,1.0,1.0,1.0,0.8325457409165327,0.9999999999999999,0.7364799769968586
0.005,table,20,1.0,1.0,1.0,0.8325457409165327,1.0,0.7364799769968586
0.005,bootstrap,5,1.0,1.0,1.0,0.8325457409165327,0.9999999999999999,0.7364799769968586
0.005,bootstrap,10,1.0,1.0,1.0,0.8325457409165327,0.9999999999999999,0.7364799769968586
0.005,bootstrap,15,1.0,1.0,1.0,0.8325457409165327,0.9999999999999999,0.7364799769968586
0.005,bootstrap,20,1.0,1.0,1.0,0.8325457409165327,0.9999999999999999,0.7364799769968586
0.01,table,5,1.0,1.0,1.0,0.8325457409165327,0.9999999999999999,0.7364799769968586
0.01,table,10,1.0,1.0,1.0,0.8325457409165327,0.9999999999999999,0.7364799769968586
0.01,table,15,1.0,1.0,1.0,0.8325457409165327,0.9999999999999999,0.7364799769968586
0.01,table,20,1.0,1.0,1.0,0.8325457409165327,1.0,0.7364799769968586
0.01,bootstrap,5,1.0,1.0,1.0,0.8325457409165327,0.9999999999999999,0.7364799769968586
0.01,bootstrap,10,1.0,1.0,1.0,0.8325457409165327,1.0,0.7364799769968586
0.01,bootstrap,15,1.0,1.0,1.0,0.8325457409165327,0.9999999999999999,0.7364799769968586
0.01,bootstrap,20,1.0,1.0,1.0,0.8325457409165327,1.0,0.7364799769968586
