amount_intervals,density_threshold,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score,norm_davies_bouldin_score
5,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
5,3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
5,4,0.3755776072180805,0.4952949532905722,0.6265664160401002,0.46790887036383494,339.7521144560483,0.7603182902429524,0.5680790829378838
5,5,0.3469892049315839,0.47310857177151056,0.6265664160401002,0.44694572727658116,303.8787451805722,0.7460579976712806,0.5727186618850583
5,7,0.32207411344489806,0.4688791075780057,0.6265664160401002,0.3855572397891218,210.19120225908355,0.8190245776515694,0.5497451833724195
5,10,0.298143042383603,0.45471919502503916,0.6215538847117794,0.34684382516454604,167.2799834603433,0.8619411102660942,0.5370739141460213
5,15,0.5850361576395211,0.6627671335788502,0.7192982456140351,0.4465506337644664,238.86213112321255,0.7601580664925244,0.5681307940670947
7,1,0.40757180945836424,0.5318504816658567,0.6265664160401002,0.4834723766843533,370.84155360364474,0.7746392442178159,0.5634948078930582
7,3,0.6639891885256697,0.7140762744061215,0.7468671679197995,0.4829030398642303,290.875379233158,0.5939181208512831,0.627384799079841
7,4,0.5975522575230032,0.6645618498310073,0.7293233082706767,0.4565782806844417,249.04154448731595,0.7570408270655458,0.5691387386086592
7,5,0.5722148426599255,0.6341579139223477,0.7243107769423559,0.42879424533553073,219.08168863832097,0.803737298462648,0.5544044583722446
7,7,0.46142607667332225,0.5708952629977238,0.7368421052631579,0.3188385602625121,112.47274041290184,0.7561599731786626,0.5694242069473845
7,10,0.37387689905772137,0.49549268050800443,0.6967418546365914,0.22508740407315203,75.17860520469574,0.8780953683788161,0.5324543241183788
7,15,0.20914051942942816,0.3762767977981634,0.6240601503759399,0.10712255350070922,53.759346673231995,0.9152095085270341,0.5221360877479606
10,1,0.6513851957135305,0.6659844327560499,0.7568922305764411,0.2319666389200216,106.14315063993912,0.6167587998632579,0.6185214517370049
10,3,0.5214565669382931,0.6160666727801895,0.7117794486215538,0.3893047052102099,188.00524928811842,0.8089016976799804,0.5528216382805969
10,4,0.45795081162883494,0.5599348659849983,0.6967418546365914,0.3410087405951437,154.67927661921846,0.8598941843041477,0.5376649964493198
10,5,0.38425394236682503,0.5033976820012264,0.6616541353383458,0.27724735923018523,124.7522693502144,0.9291548527645075,0.5183617056800729
10,7,0.27631377472897656,0.4431286822101299,0.6340852130325815,0.1206317838148056,76.86188128745005,1.0259828391034906,0.4935875964489936
10,10,0.17157019869127704,0.330541171942988,0.5864661654135338,0.040266141366251874,52.19493326749956,1.1049516715955041,0.47507028949601643
