significance,similarity_matrix,n_neighbors,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score
0.001,NAM,3,0.8783984414090538,0.872407627764278,0.922923076923077,0.5306392057048877,0.6856718503378882,0.4080777632956866
0.001,NAM,5,0.8788908947254636,0.8734817872417714,0.9230769230769231,0.5146991291579379,0.7546499344293978,0.5280899740959173
0.001,NAM,10,0.9884431988840294,0.9539958750573061,0.9384615384615385,0.8165491467406334,0.947597110866288,0.7091894481884653
0.001,NAM,15,0.8381067810905662,0.8692186215928741,0.9529230769230769,0.4997399178331774,0.9136680089299645,0.058118028946024775
0.001,NAM,20,0.7745909891349287,0.8506096345440212,0.9810769230769231,0.36709660682033063,0.9027558356773242,0.022242110780789557
0.001,SAM,3,0.8577984288198824,0.8436177751727819,0.9164615384615384,0.5018196187640052,0.7508406745513156,0.5258288501298753
0.001,SAM,5,0.8788908947254636,0.8734817872417714,0.9230769230769231,0.45999900057641097,0.6329395216349105,0.08689523434361758
0.001,SAM,10,0.9884431988840294,0.9539958750573061,0.9384615384615385,0.8165491467406334,0.947597110866288,0.7091894481884653
0.001,SAM,15,0.8788908947254636,0.8734817872417714,0.9230769230769231,0.5308607173549618,0.6857456863245623,0.4082015087542291
0.001,SAM,20,0.8788908947254636,0.8734817872417714,0.9230769230769231,0.5146991291579379,0.7546499344293978,0.5280899740959173
0.005,NAM,3,0.8783984414090538,0.872407627764278,0.922923076923077,0.5306392057048877,0.6856718503378882,0.4080777632956866
0.005,NAM,5,0.8788908947254636,0.8734817872417714,0.9230769230769231,0.5146991291579379,0.7546499344293978,0.5280899740959173
0.005,NAM,10,0.8788908947254636,0.8734817872417714,0.9230769230769231,0.5308607173549618,0.6857456863245623,0.4082015087542291
0.005,NAM,15,0.8247131034184114,0.8540895037941849,0.9384615384615385,0.5227905694194658,0.8969177895190733,0.0106533465039653
0.005,NAM,20,0.7232341698659012,0.8194923440021349,0.9675384615384616,0.324301238395253,0.9007726144624546,0.021215719583220757
0.005,SAM,3,0.9671948393748045,0.9150529240168576,0.9272307692307692,0.7901167130976398,0.8826327398005376,0.6355098299043019
0.005,SAM,5,0.9884431988840294,0.9539958750573061,0.9384615384615385,0.8165491467406334,0.947597110866288,0.7091894481884653
0.005,SAM,10,0.4568966507460403,0.6090102969274408,0.6153846153846154,0.2416499059111391,0.7014501991378826,0.49733307095483814
0.005,SAM,15,0.8788908947254636,0.8734817872417714,0.9230769230769231,0.45999900057641097,0.6329395216349105,0.08689523434361758
0.005,SAM,20,0.9884431988840294,0.9539958750573061,0.9384615384615385,0.8165491467406334,0.947597110866288,0.7091894481884653
0.01,NAM,3,0.8788908947254636,0.8734817872417714,0.9230769230769231,0.5146991291579379,0.7546499344293978,0.5280899740959173
0.01,NAM,5,0.8788908947254636,0.8734817872417714,0.9230769230769231,0.5146991291579379,0.7546499344293978,0.5280899740959173
0.01,NAM,10,0.9884431988840294,0.9539958750573061,0.9384615384615385,0.8165491467406334,0.947597110866288,0.7091894481884653
0.01,NAM,15,0.8054462971553734,0.8240837116515733,0.9230769230769231,0.38423982755734465,0.6455735138114725,0.049207636865235826
0.01,NAM,20,0.769467065471998,0.8343642069666282,0.9532307692307692,0.36938769945961375,0.8995868551167949,0.018216266222200565
0.01,SAM,3,0.8558515637013381,0.8414484698977712,0.9158461538461539,0.5173123166386421,0.682802144442855,0.40531538620653046
0.01,SAM,5,0.8788908947254636,0.8734817872417714,0.9230769230769231,0.45999900057641097,0.6329395216349105,0.08689523434361758
0.01,SAM,10,0.8788908947254636,0.8734817872417714,0.9230769230769231,0.5308607173549618,0.6857456863245622,0.4082015087542291
0.01,SAM,15,0.9884431988840294,0.9539958750573061,0.9384615384615385,0.8165491467406334,0.947597110866288,0.7091894481884653
0.01,SAM,20,0.9884431988840294,0.9539958750573061,0.9384615384615385,0.8165491467406334,0.947597110866288,0.7091894481884653
0.05,NAM,3,0.8783984414090538,0.872407627764278,0.922923076923077,0.5306392057048877,0.6856718503378882,0.4080777632956866
0.05,NAM,5,0.8788908947254636,0.8734817872417714,0.9230769230769231,0.5146991291579379,0.7546499344293978,0.5280899740959173
0.05,NAM,10,0.8788908947254636,0.8734817872417714,0.9230769230769231,0.5308607173549618,0.6857456863245623,0.4082015087542291
0.05,NAM,15,0.7090657953651326,0.7956393175933442,0.9384615384615385,0.3423147810069025,0.8635301166752674,0.014093794160719897
0.05,NAM,20,0.8510482399801309,0.8839259373647929,0.9675384615384616,0.513205067011006,0.9257168854764575,0.021584572289422725
0.05,SAM,3,0.44072121255845925,0.5819666375596668,0.6106153846153846,0.19779447983869894,0.5136730560526713,0.280493987160266
0.05,SAM,5,0.8788908947254636,0.8734817872417714,0.9230769230769231,0.5308607173549618,0.6857456863245623,0.4082015087542291
0.05,SAM,10,0.8788908947254636,0.8734817872417714,0.9230769230769231,0.45999900057641097,0.6329395216349105,0.08689523434361758
0.05,SAM,15,0.8788908947254636,0.8734817872417714,0.9230769230769231,0.45999900057641097,0.6329395216349105,0.08689523434361758
0.05,SAM,20,0.9884431988840294,0.9539958750573061,0.9384615384615385,0.8165491467406334,0.947597110866288,0.7091894481884653
0.1,NAM,3,0.9808955077865317,0.9370317931876745,0.9344615384615385,0.8089300824074395,0.9176958359463705,0.6803442020891717
0.1,NAM,5,0.9872838514846622,0.9505526203601458,0.9378461538461539,0.8154109476598569,0.942211076399876,0.7046648810019538
0.1,NAM,10,0.9921034146555116,0.9621014454191805,0.9512307692307692,0.7987527501395578,0.9468794560415926,0.6530804061659568
0.1,NAM,15,0.705722509867384,0.793630692608315,0.9384615384615385,0.3404441239230371,0.8635305236518349,0.016136029429880502
0.1,NAM,20,0.7710005279931953,0.8455826826827303,0.9818461538461538,0.3816896227628849,0.9677603437999254,0.029195203604841947
0.1,SAM,3,0.851446932805772,0.8362632357694534,0.9144615384615384,0.44498253600417204,0.6305378246388879,0.08364513229528248
0.1,SAM,5,0.9884431988840294,0.9539958750573061,0.9384615384615385,0.8165491467406334,0.947597110866288,0.7091894481884653
0.1,SAM,10,0.9930521147723831,0.9687325513977191,0.9538461538461539,0.8031571909208279,0.95578897300431,0.6592862969989375
0.1,SAM,15,0.9884431988840294,0.9539958750573061,0.9384615384615385,0.8165491467406334,0.947597110866288,0.7091894481884653
0.1,SAM,20,0.9884431988840294,0.9539958750573061,0.9384615384615385,0.8165491467406334,0.947597110866288,0.7091894481884653
0.5,NAM,3,0.8783984414090538,0.872407627764278,0.922923076923077,0.45982801122386846,0.6329372976262491,0.08683045410240288
0.5,NAM,5,0.8788908947254636,0.8734817872417714,0.9230769230769231,0.45999900057641097,0.6329395216349105,0.08689523434361758
0.5,NAM,10,0.6726774426659268,0.800971805498858,0.9512307692307692,0.30294734430606707,0.8913521986753955,0.02415855706392904
0.5,NAM,15,0.7178122433309194,0.8065740396043242,0.9523076923076923,0.32804565575709393,0.8807876429113233,0.02425631425790669
0.5,NAM,20,0.6469221731246274,0.7970783756681735,0.9984615384615385,0.2938921707926454,1.0,0.033156769147343466
0.5,SAM,3,0.9671948393748045,0.9150529240168576,0.9272307692307692,0.7901167130976398,0.8826327398005376,0.6355098299043019
0.5,SAM,5,0.8788908947254636,0.8734817872417714,0.9230769230769231,0.5146991291579379,0.7546499344293978,0.5280899740959173
0.5,SAM,10,0.9884431988840294,0.9539958750573061,0.9384615384615385,0.8165491467406334,0.947597110866288,0.7091894481884653
0.5,SAM,15,0.9884431988840294,0.9539958750573061,0.9384615384615385,0.8165491467406334,0.947597110866288,0.7091894481884653
0.5,SAM,20,0.9884431988840294,0.9539958750573061,0.9384615384615385,0.8165491467406334,0.947597110866288,0.7091894481884653
