n_clusters,init,embedding_size,pretrain_epochs,clustering_epochs,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score,norm_davies_bouldin_score
10,acedec,2,100,100,0.4029365066379116,0.573654604145234,0.6294706723891274,0.4102611280694835,2766.367106372918,0.7592486040048735,0.5684244953916869
10,acedec,2,100,200,0.3353131449785851,0.5530043539633245,0.5919170243204578,0.40392169279642876,2785.3219920064257,0.7443464950855188,0.5732805969555801
10,acedec,2,200,100,0.3631534445108235,0.5769899156468224,0.621244635193133,0.39653949699887825,2620.006214959895,0.7255535596589521,0.5795241732152582
10,acedec,2,200,200,0.3409790165004105,0.5636903691200095,0.5951359084406295,0.41134353672545576,2780.9752811929343,0.7212796070538274,0.5809631369023291
10,acedec,5,100,100,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
10,acedec,5,100,200,0.33901707930224867,0.5586042977268793,0.5915593705293276,0.40315606414380295,2755.589853050475,0.7389155433871646,0.5750710572476336
10,acedec,5,200,100,0.34237602052167626,0.5405585634791881,0.6037195994277539,0.38367384019924433,2685.751468028848,0.8085673462410508,0.5529238389039881
10,acedec,5,200,200,0.3364177895777085,0.5556892869327095,0.5951359084406295,0.41187694413263465,2794.2676826377224,0.7182240185247701,0.5819962875728966
10,acedec,10,100,100,0.3364850846057568,0.5536227760294695,0.592274678111588,0.4044787845702789,2797.4963216546566,0.7427748108985837,0.5737975978000249
10,acedec,10,100,200,0.3261267463915929,0.5507019359059161,0.5826180257510729,0.4134565402912436,2788.318429186868,0.7173336343847775,0.5822980345681302
10,acedec,10,200,100,0.3469526006075205,0.5452508655684418,0.6062231759656652,0.3831666604404054,2680.123568307696,0.8008571863168383,0.5552911178066413
10,acedec,10,200,200,0.32082053057354204,0.5271444539520979,0.580829756795422,0.35853722476229716,2470.377802550379,0.906345524824283,0.5245638773129413
