eps,min_samples,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score
0.01,1,0.0006299842055541128,0.014880968753243953,1.0,0.04058122015769928,1.0,0.9488950718226223
0.01,3,,,,,,
0.01,5,,,,,,
0.01,10,,,,,,
0.01,15,,,,,,
0.025,1,0.25125538105086354,0.48199912745831097,0.9771573604060914,-0.1086303065431013,0.5713558683035393,0.45511726185249135
0.025,3,0.23730514996105767,0.5054950823386928,0.8616751269035533,-0.05887470224408871,0.4392655668481805,0.0
0.025,5,0.008192358958860982,0.2628071857423611,0.4885786802030457,-0.44068370164554327,0.2755646447105739,0.17177180584714402
0.025,10,,,,,,
0.025,15,,,,,,
0.05,1,0.8089434170360936,0.8882310810796874,0.8274111675126904,0.37150769438990117,0.7548144688109162,0.5297142435467945
0.05,3,0.8089434170360936,0.8882310810796874,0.8274111675126904,0.37150769438990117,0.7548144688109162,0.5297142435467945
0.05,5,0.8089434170360936,0.8882310810796874,0.8274111675126904,0.37150769438990117,0.7548144688109162,0.5297142435467945
0.05,10,0.9720200795382842,0.9670558173329384,0.9936548223350253,0.4665281694905405,0.7928081224108612,0.30173886160933694
0.05,15,0.39367110077553535,0.5913021867434097,0.6687817258883249,-0.0792216704733482,0.5164682694350665,0.22067963597443874
0.1,1,0.7338255908338442,0.8345061434449397,0.7842639593908629,0.44952666684839304,0.7729579025793177,0.5227109871573195
0.1,3,0.7338255908338442,0.8345061434449397,0.7842639593908629,0.44952666684839304,0.7729579025793177,0.5227109871573195
0.1,5,0.7338255908338442,0.8345061434449397,0.7842639593908629,0.44952666684839304,0.7729579025793177,0.5227109871573195
0.1,10,0.7338255908338442,0.8345061434449397,0.7842639593908629,0.44952666684839304,0.7729579025793177,0.5227109871573195
0.1,15,0.7338255908338442,0.8345061434449397,0.7842639593908629,0.44952666684839304,0.7729579025793177,0.5227109871573195
0.15,1,,,,,,
0.15,3,,,,,,
0.15,5,,,,,,
0.15,10,,,,,,
0.15,15,,,,,,
0.2,1,,,,,,
0.2,3,,,,,,
0.2,5,,,,,,
0.2,10,,,,,,
0.2,15,,,,,,
0.25,1,,,,,,
0.25,3,,,,,,
0.25,5,,,,,,
0.25,10,,,,,,
0.25,15,,,,,,
0.3,1,,,,,,
0.3,3,,,,,,
0.3,5,,,,,,
0.3,10,,,,,,
0.3,15,,,,,,
0.4,1,,,,,,
0.4,3,,,,,,
0.4,5,,,,,,
0.4,10,,,,,,
0.4,15,,,,,,
