eps,min_samples,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score
0.01,1,0.003301888190980635,0.09117567199378615,1.0,0.2766053614676354,1.0,0.9985556670793851
0.01,3,0.06942654533339972,0.15831402746077194,0.77,-0.36872694473185214,0.18218504654565773,0.9923747486365171
0.01,5,0.00857713838993263,0.08622450299837515,0.573,-0.5924461349631436,0.17126183680462512,0.992176001081476
0.01,10,,,,,,
0.01,15,,,,,,
0.025,1,0.2945565516091235,0.4003596368494407,1.0,-0.3426977962676588,0.5328486509395568,0.9945820114276922
0.025,3,0.29532489549835184,0.4154086684022142,0.987,0.08961016637222935,0.6044118299896047,0.991418880797141
0.025,5,0.2753814462810638,0.37931180104785145,0.978,0.08806064009863647,0.528094417435149,0.9936260315737201
0.025,10,0.36949441904003655,0.3859053496416551,0.916,-0.16410534037357785,0.3645047997841696,0.9894389016310411
0.025,15,0.03750713699166323,0.14591703777267276,0.627,-0.4344721184056089,0.2744367421028787,0.9910992918481888
0.05,1,0.9960079880559684,0.9896737333289776,1.0,-0.08034918292500293,0.08604548280051834,0.6598876999183962
0.05,3,0.9960119920959685,0.9906661194475624,1.0,-0.026556700945706623,0.11148157648182422,0.5480912384596668
0.05,5,0.9960119920959685,0.9906661194475624,1.0,-0.026556700945706623,0.11148157648182422,0.5480912384596668
0.05,10,0.9960119920959685,0.9906661194475624,1.0,-0.026556700945706623,0.11148157648182422,0.5480912384596668
0.05,15,0.5540708606103166,0.5464965276454108,1.0,0.11709812034242156,0.6842901291138831,0.9926352459577654
0.1,1,1.0,1.0,1.0,0.11430267341845882,0.0029802400618302075,0.0
0.1,3,1.0,1.0,1.0,0.11430267341845882,0.0029802400618302075,0.0
0.1,5,1.0,1.0,1.0,0.11430267341845882,0.0029802400618302075,0.0
0.1,10,1.0,1.0,1.0,0.11430267341845882,0.0029802400618302075,0.0
0.1,15,1.0,1.0,1.0,0.11430267341845882,0.0029802400618302075,0.0
0.15,1,,,,,,
0.15,3,,,,,,
0.15,5,,,,,,
0.15,10,,,,,,
0.15,15,,,,,,
0.2,1,,,,,,
0.2,3,,,,,,
0.2,5,,,,,,
0.2,10,,,,,,
0.2,15,,,,,,
0.25,1,,,,,,
0.25,3,,,,,,
0.25,5,,,,,,
0.25,10,,,,,,
0.25,15,,,,,,
0.3,1,,,,,,
0.3,3,,,,,,
0.3,5,,,,,,
0.3,10,,,,,,
0.3,15,,,,,,
0.4,1,,,,,,
0.4,3,,,,,,
0.4,5,,,,,,
0.4,10,,,,,,
0.4,15,,,,,,
