min_samples,xi,min_cluster_size,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score
5,0.05,0.05,0.40455454247949874,0.6034877788557922,0.7443609022556391,0.030711058216454836,0.7031660600864138,0.587363817949361
5,0.05,0.1,0.3886751683978827,0.6207754332276787,0.7268170426065163,0.08052550049159794,0.7186770143390139,0.0
5,0.1,0.05,0.8042858140689353,0.819807091061016,0.8045112781954887,0.24694208875956278,0.787114519641597,0.6356641771421006
5,0.1,0.1,0.8713274116461639,0.8674107854595374,0.8521303258145363,0.3025822286596821,0.7938564625931145,0.631584361817599
10,0.05,0.05,0.8471490628730508,0.8828577627762184,0.8621553884711779,0.3927749828836113,0.9823887854145709,0.712773152432143
10,0.05,0.1,0.8315828197110652,0.8640837286186629,0.8295739348370927,0.4586480283785691,0.9975713931133162,0.815508795652029
10,0.1,0.05,0.8856930070181849,0.8675844565165279,0.8872180451127819,0.31139928868461175,0.8370574460240926,0.7722382131454704
10,0.1,0.1,0.8848655315942459,0.8908512355569297,0.8596491228070176,0.31370102722734555,0.7933552939571179,0.6165695703764689
15,0.05,0.05,0.6073253843010362,0.7496117161151878,0.8220551378446115,0.4403765749683931,0.9806397821442495,0.8665943354127814
15,0.05,0.1,0.7747089100087504,0.824523615179071,0.8245614035087719,0.533518445268708,1.0,0.8362966298835401
15,0.1,0.05,0.8350270538878727,0.8660076024713393,0.8370927318295739,0.3905424776661631,0.8997347277389777,0.788368140123375
15,0.1,0.1,0.751775849422245,0.8088329721864416,0.7518796992481203,0.3950562079068848,0.8647415447660273,0.7800067259759835
