n_clusters,linkage,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score
2,ward,0.5122071016272657,0.5257527761970566,0.858,0.4423387225092865,0.9614039968845541,0.1750925590418254
2,complete,0.27176203406555594,0.20941889801766847,0.761,0.4888936989442207,1.0,0.21989848883260288
2,average,0.31980336985617974,0.3929756945739955,0.783,0.4408126572832036,0.9528998664702321,0.26026102826042874
3,ward,0.45032374098584954,0.5194886902436058,0.858,0.3877369629499202,0.9693539847708726,0.0
3,complete,0.2634369208500267,0.28993773613475915,0.761,0.40864216568303513,0.97940519399526,0.06301425771127589
3,average,0.2890842544703087,0.42398869798670824,0.783,0.42914737381446844,0.9885434027996548,0.15161077902365716
4,ward,0.3276900076806423,0.4577343175311225,0.858,0.41990738729106225,0.9782652830868795,0.16333074738178943
4,complete,0.2061745066635727,0.2798197270349657,0.761,0.3680172854844985,0.9672670799949176,0.13428775020379646
4,average,0.5036489102496102,0.6676000310110178,1.0,0.4840734526888979,0.9887454001991062,0.1993716215603163
5,ward,0.23473574168679084,0.41449130331767503,0.858,0.42409592000798807,0.995633031877113,0.2339575230135269
5,complete,0.14286318348871993,0.2567440145788044,0.761,0.34996126964986435,0.9586605026443334,0.2046735515398994
5,average,0.42737108217842856,0.6115982863727938,1.0,0.4797191058832237,0.994046583787328,0.27076429075613995
