min_samples,xi,min_cluster_size,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score
5,0.05,0.05,0.8942370856343749,0.9045907799137668,0.9060913705583756,0.3774667207761899,0.797390824790271,0.43900159832147023
5,0.05,0.1,0.821865792718597,0.8508901267607724,0.8489847715736041,0.3986850861017913,0.8315079728916932,0.618391887400546
5,0.1,0.05,0.8666004966537094,0.9069968447330661,0.8248730964467005,0.4409787826773275,0.9552571545985727,0.7819887091173614
5,0.1,0.1,0.8412664050772791,0.8717901093814747,0.7817258883248731,0.4616215379237048,0.9206546812118355,0.5413256474882788
10,0.05,0.05,0.914025952883227,0.9014903174492398,0.9073604060913706,0.41224194694811084,0.8590673524355235,0.0
10,0.05,0.1,0.9471848779558935,0.9315392276004903,0.9073604060913706,0.4821059221351729,0.9416620957614475,0.6064184420687874
10,0.1,0.05,0.9699495095078883,0.9513508038074515,0.9467005076142132,0.5105825408766055,0.9980135147932132,0.7894361266999929
10,0.1,0.1,0.9394467379554001,0.9187188910055711,0.9035532994923858,0.47793639894786083,0.9353089537321206,0.5921434123935871
15,0.05,0.05,0.9674051007160392,0.9483037565447022,0.9454314720812182,0.5110922009684209,1.0,0.7924431823699505
15,0.05,0.1,0.9369363078249193,0.9155911702576773,0.9022842639593909,0.4771077067470913,0.936358975868149,0.5973447793099232
15,0.1,0.05,0.8672549114026806,0.8797260322001855,0.8972081218274112,0.36796791990369404,0.7926056654414478,0.43678164678072906
15,0.1,0.1,0.7935840739395732,0.8241807655712989,0.8401015228426396,0.38837730636774365,0.8265592273830938,0.6109459091311342
