eps,min_samples,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score
0.01,1,0.02060744852588295,0.06186199967242795,1.0,0.05107273716494387,1.0,0.9830065341079148
0.01,3,0.010680814187421096,0.16039621037747948,0.4326923076923077,-0.34734206957827113,0.15275359716513998,0.5621186245993899
0.01,5,0.0009078003461162556,0.03505993703313194,0.358974358974359,-0.2317691362020124,0.11448427765545781,0.5642252840968425
0.01,10,,,,,,
0.01,15,,,,,,
0.025,1,0.42685565387245206,0.41332231226172017,1.0,-0.13352819170363553,0.3808128143697808,0.9029666370152483
0.025,3,0.384269324357356,0.5263857183658527,0.7852564102564102,-0.22244744466778066,0.37376918285086475,0.4611530523110957
0.025,5,0.0271005499677425,0.22720078196811233,0.4775641025641026,-0.2556018771956356,0.23605242730411158,0.5489354857641107
0.025,10,0.0050687929003949495,0.06854461851404924,0.3782051282051282,-0.19529413621303257,0.18972801219618168,0.578158810055879
0.025,15,,,,,,
0.05,1,1.0,1.0,1.0,0.0013703040062076287,0.34474357965398067,0.03949396275163042
0.05,3,1.0,1.0,1.0,0.0013703040062076287,0.34474357965398067,0.03949396275163042
0.05,5,0.46339698098902743,0.5884870596759676,0.782051282051282,-0.06912972109307335,0.4066567413611775,0.0
0.05,10,0.030095058277294293,0.22999647270131823,0.47435897435897434,-0.226179205089787,0.26403357079670414,0.5131332425979288
0.05,15,0.017217874057407063,0.16018355050236505,0.4391025641025641,-0.24166933437633822,0.241392751684361,0.5613524809992596
0.1,1,1.0,1.0,1.0,0.0013703040062076287,0.34474357965398067,0.03949396275163042
0.1,3,1.0,1.0,1.0,0.0013703040062076287,0.34474357965398067,0.03949396275163042
0.1,5,1.0,1.0,1.0,0.0013703040062076287,0.34474357965398067,0.03949396275163042
0.1,10,0.3195954325692351,0.5097971155367464,0.7147435897435898,-0.08225251756715393,0.4218673495672753,0.2372413306155977
0.1,15,0.08979049303181777,0.3350488749580045,0.5544871794871795,-0.1302021469979294,0.36150661317817334,0.46666422275461505
0.15,1,,,,,,
0.15,3,,,,,,
0.15,5,,,,,,
0.15,10,,,,,,
0.15,15,-0.00023987508742611067,0.00036257003163488877,0.34294871794871795,0.24623826969352727,0.17274237492530842,0.5043888126625216
0.2,1,,,,,,
0.2,3,,,,,,
0.2,5,,,,,,
0.2,10,,,,,,
0.2,15,,,,,,
0.25,1,,,,,,
0.25,3,,,,,,
0.25,5,,,,,,
0.25,10,,,,,,
0.25,15,,,,,,
0.3,1,,,,,,
0.3,3,,,,,,
0.3,5,,,,,,
0.3,10,,,,,,
0.3,15,,,,,,
0.4,1,,,,,,
0.4,3,,,,,,
0.4,5,,,,,,
0.4,10,,,,,,
0.4,15,,,,,,
