n_clusters,linkage,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score
2,ward,0.5545359653949758,0.6801708011645944,0.667,0.5813668557412209,0.9189174324353753,0.4637320302770822
2,complete,0.5297178966838,0.6299802983555228,0.667,0.5914725157571175,0.9294197964045613,0.46208232306630836
2,average,0.5481951315893394,0.6654769188767389,0.666,0.5829823007527427,0.9209440811091428,0.46537091935126973
3,ward,0.9528512768141685,0.9329480214143628,0.984,0.628890185164878,0.9886826512833234,0.40005604378355164
3,complete,0.537571502518336,0.6196889403447892,0.747,0.5062090226833753,0.8936859858098223,0.18977700866972258
3,average,0.8539137336967508,0.8331333819917371,0.948,0.6410569414574441,1.0,0.39951104717443475
4,ward,0.8444154851089942,0.8529570697603743,0.984,0.6069058169183873,0.9811487893660978,0.11268196798109353
4,complete,0.7803610642897266,0.7779693883134969,0.95,0.6038109429848876,0.9744496687325783,0.06266030818046919
4,average,0.848678953667062,0.825019013626729,0.948,0.609260179135446,0.95534426814445,0.3748171177600852
5,ward,0.7922875736003729,0.80534777632961,0.984,0.604344218422669,0.9768045088091757,0.17703284585552004
5,complete,0.729644499369417,0.7344818618253258,0.95,0.5668684425841779,0.9615183302487501,0.0
5,average,0.7923016989475916,0.777687707401275,0.948,0.5783704089374622,0.9486008478669853,0.2760046788322783
