bandwidth,bin_seeding,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score
,True,0.528166692473574,0.6307385986696619,0.657,0.6379287903716746,1.0,0.6722524842042907
,False,0.528166692473574,0.6307385986696619,0.657,0.6379287903716746,1.0,0.6722524842042907
0.1,True,0.7009567902976824,0.66930867915365,0.887,0.45608744868367324,0.9526850269865829,0.5677769152600711
0.1,False,0.7039258860273735,0.6732914827390303,0.888,0.45638399435653365,0.9525737092200662,0.5680951310248196
0.2,True,0.527501668420854,0.6351013885344604,0.657,0.6385921908842835,0.9998867703601204,0.6735520711787462
0.2,False,0.527501668420854,0.6351013885344604,0.657,0.6385921908842835,0.9998867703601204,0.6735520711787462
0.3,True,0.5296608237656705,0.6364490006537079,0.658,0.638139074663734,0.9999645947393833,0.6726509015173874
0.3,False,0.5296608237656705,0.6364490006537079,0.658,0.638139074663734,0.9999645947393833,0.6726509015173874
0.1107126544219287,True,0.7243727345582228,0.7023920092667442,0.894,0.5055551309453772,0.9903248241326964,0.5771398249015223
0.1107126544219287,False,0.7128079811951218,0.6758425693344257,0.894,0.456816748942703,0.9525059461124148,0.5683132369640526
0.07913943956383637,True,0.6445044588949081,0.6666991367678622,0.921,0.43063739735526346,0.9432948081458881,0.5603099371892011
0.07913943956383637,False,0.7156968788663676,0.6921959814813751,0.901,0.41884139945521803,0.9422870803771826,0.5591416561971115
