significance,similarity_matrix,n_neighbors,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score
0.001,NAM,3,0.995999996008016,0.9895839817496578,0.999,0.11370273435395593,0.00441582865100509,0.005802878343190238
0.001,NAM,5,0.995999996008016,0.9895839817496576,0.999,0.11370273435395593,0.00441582865100509,0.005802878343190238
0.001,NAM,10,1.0,1.0,1.0,0.11430267341845882,0.003607401175027018,0.005237113291880643
0.001,NAM,15,1.0,1.0,1.0,0.11430267341845882,0.003607401175027018,0.005237113291880643
0.001,NAM,20,1.0,1.0,1.0,0.11430267341845882,0.003607401175027018,0.005237113291880643
0.001,SAM,3,,,,,,
0.001,SAM,5,0.6913598216292381,0.7302632210100798,1.0,-0.025124008571205062,0.5608593387814143,0.21976611764777354
0.001,SAM,10,0.7581634506685578,0.8037210784265398,1.0,0.18267842593747113,0.7990902785105239,0.3155794972054838
0.001,SAM,15,1.0,1.0,1.0,0.11430267341845882,0.003607401175027018,0.005237113291880643
0.001,SAM,20,1.0,1.0,1.0,0.11430267341845882,0.003607401175027018,0.005237113291880643
0.005,NAM,3,0.995999996008016,0.9895839817496578,0.999,0.11370273435395593,0.00441582865100509,0.005802878343190238
0.005,NAM,5,0.995999996008016,0.9895839817496576,0.999,0.11370273435395593,0.00441582865100509,0.005802878343190238
0.005,NAM,10,1.0,1.0,1.0,0.11430267341845882,0.003607401175027018,0.005237113291880643
0.005,NAM,15,1.0,1.0,1.0,0.11430267341845882,0.003607401175027018,0.005237113291880643
0.005,NAM,20,1.0,1.0,1.0,0.11430267341845882,0.003607401175027018,0.005237113291880643
0.005,SAM,3,,,,,,
0.005,SAM,5,0.44256745201539427,0.6170494973041728,1.0,0.09541598368201795,0.7740614698143248,0.18137334894794355
0.005,SAM,10,1.0,1.0,1.0,0.11430267341845882,0.003607401175027018,0.005237113291880643
0.005,SAM,15,1.0,1.0,1.0,0.11430267341845882,0.003607401175027018,0.005237113291880643
0.005,SAM,20,1.0,1.0,1.0,0.11430267341845882,0.003607401175027018,0.005237113291880643
0.01,NAM,3,0.995999996008016,0.9895839817496578,0.999,0.11370273435395593,0.00441582865100509,0.005802878343190238
0.01,NAM,5,0.7511329645342012,0.8004367980625547,1.0,0.1865200869566203,0.8087252844963583,0.3352630977848468
0.01,NAM,10,1.0,1.0,1.0,0.11430267341845882,0.003607401175027018,0.005237113291880643
0.01,NAM,15,1.0,1.0,1.0,0.11430267341845882,0.003607401175027018,0.005237113291880643
0.01,NAM,20,1.0,1.0,1.0,0.11430267341845882,0.003607401175027018,0.005237113291880643
0.01,SAM,3,0.08701302725808327,0.2567898535617448,0.671,0.1020980207834249,0.7341742219556556,0.4176026170599713
0.01,SAM,5,1.0,1.0,1.0,0.11430267341845882,0.003607401175027018,0.005237113291880643
0.01,SAM,10,0.2760275468264054,0.5079309836164003,1.0,0.26820172790525826,0.8911202802003569,0.42078069618645886
0.01,SAM,15,1.0,1.0,1.0,0.11430267341845882,0.003607401175027018,0.005237113291880643
0.01,SAM,20,1.0,1.0,1.0,0.11430267341845882,0.003607401175027018,0.005237113291880643
0.05,NAM,3,0.995999996008016,0.9895839817496576,0.999,0.11370273435395593,0.00441582865100509,0.005802878343190238
0.05,NAM,5,0.7497508915218671,0.7997979537603398,1.0,0.18872245507885432,0.8140764807932572,0.34451470554757313
0.05,NAM,10,0.7530558423654686,0.8013292992912174,1.0,0.18682322337417648,0.8111833330045641,0.3317785390791931
0.05,NAM,15,1.0,1.0,1.0,0.11430267341845882,0.003607401175027018,0.005237113291880643
0.05,NAM,20,1.0,1.0,1.0,0.11430267341845882,0.003607401175027018,0.005237113291880643
0.05,SAM,3,0.03807553843962326,0.14367985386682688,0.598,-0.03783062700466862,0.5413604193153005,0.35689924517501864
0.05,SAM,5,0.4053593773742205,0.5818912026481481,1.0,0.15292059872140412,0.7943111150007943,0.3066580648282086
0.05,SAM,10,0.4348831412670976,0.6135837610185092,1.0,0.24117835644467406,0.8650374413728082,0.3910865029426877
0.05,SAM,15,1.0,1.0,1.0,0.11430267341845882,0.003607401175027018,0.005237113291880643
0.05,SAM,20,1.0,1.0,1.0,0.11430267341845882,0.003607401175027018,0.005237113291880643
0.1,NAM,3,0.995999996008016,0.9895839817496578,0.999,0.11370273435395593,0.00441582865100509,0.005802878343190238
0.1,NAM,5,0.995999996008016,0.9895839817496576,0.999,0.11370273435395593,0.00441582865100509,0.005802878343190238
0.1,NAM,10,0.7609395641022879,0.8050341504993701,1.0,0.18045232733683345,0.7906257336246568,0.30244674181773246
0.1,NAM,15,1.0,1.0,1.0,0.11430267341845882,0.003607401175027018,0.005237113291880643
0.1,NAM,20,1.0,1.0,1.0,0.11430267341845882,0.003607401175027018,0.005237113291880643
0.1,SAM,3,0.08701302725808327,0.2567898535617448,0.671,0.1020980207834249,0.7341742219556556,0.4176026170599713
0.1,SAM,5,0.14306850923716524,0.4004956901922255,1.0,0.2715625555516692,0.9475160962470784,0.5679146902514692
0.1,SAM,10,0.2706583777070551,0.506555881958985,1.0,0.18967429114140036,0.8587412015353013,0.3903997214881628
0.1,SAM,15,0.507765096738524,0.6689334210409189,1.0,0.14758506341173896,0.7865567545998027,0.2099496626333457
0.1,SAM,20,1.0,1.0,1.0,0.11430267341845882,0.003607401175027018,0.005237113291880643
0.5,NAM,3,0.995999996008016,0.9895839817496576,0.999,0.11370273435395593,0.00441582865100509,0.005802878343190238
