outliers,consider_duplicates,threshold,significance,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score
True,True,0.1,0.05,0.5416443304807854,0.6551026839830191,0.681,0.4199651746501487,0.9188912595226383,0.4784057590786246
True,True,0.1,0.1,,,,,,
True,True,0.1,0.2,,,,,,
True,True,0.1,0.4,,,,,,
True,True,0.15,0.05,0.5416443304807854,0.6551026839830191,0.681,0.4199651746501487,0.9188912595226383,0.4784057590786246
True,True,0.15,0.1,,,,,,
True,True,0.15,0.2,,,,,,
True,True,0.15,0.4,,,,,,
True,True,0.2,0.05,0.5416443304807854,0.6551026839830191,0.681,0.4199651746501487,0.9188912595226383,0.4784057590786246
True,True,0.2,0.1,,,,,,
True,True,0.2,0.2,,,,,,
True,True,0.2,0.4,,,,,,
True,True,0.5,0.05,0.5416443304807854,0.6551026839830191,0.681,0.4199651746501487,0.9188912595226383,0.4784057590786246
True,True,0.5,0.1,,,,,,
True,True,0.5,0.2,,,,,,
True,True,0.5,0.4,,,,,,
True,False,0.1,0.05,0.5416443304807854,0.6551026839830191,0.681,0.4199651746501487,0.9188912595226383,0.4784057590786246
True,False,0.1,0.1,,,,,,
True,False,0.1,0.2,,,,,,
True,False,0.1,0.4,,,,,,
True,False,0.15,0.05,0.5416443304807854,0.6551026839830191,0.681,0.4199651746501487,0.9188912595226383,0.4784057590786246
True,False,0.15,0.1,,,,,,
True,False,0.15,0.2,,,,,,
True,False,0.15,0.4,,,,,,
True,False,0.2,0.05,0.5416443304807854,0.6551026839830191,0.681,0.4199651746501487,0.9188912595226383,0.4784057590786246
True,False,0.2,0.1,,,,,,
True,False,0.2,0.2,,,,,,
True,False,0.2,0.4,,,,,,
True,False,0.5,0.05,0.5416443304807854,0.6551026839830191,0.681,0.4199651746501487,0.9188912595226383,0.4784057590786246
True,False,0.5,0.1,,,,,,
True,False,0.5,0.2,,,,,,
True,False,0.5,0.4,,,,,,
False,True,0.1,0.05,0.5576754557513608,0.6900393141906709,0.667,0.552717370370056,1.0,0.6648563147329876
False,True,0.1,0.1,,,,,,
False,True,0.1,0.2,,,,,,
False,True,0.1,0.4,,,,,,
False,True,0.15,0.05,0.5576754557513608,0.6900393141906709,0.667,0.552717370370056,1.0,0.6648563147329876
False,True,0.15,0.1,,,,,,
False,True,0.15,0.2,,,,,,
False,True,0.15,0.4,,,,,,
False,True,0.2,0.05,0.5576754557513608,0.6900393141906709,0.667,0.552717370370056,1.0,0.6648563147329876
False,True,0.2,0.1,,,,,,
False,True,0.2,0.2,,,,,,
False,True,0.2,0.4,,,,,,
False,True,0.5,0.05,0.5576754557513608,0.6900393141906709,0.667,0.552717370370056,1.0,0.6648563147329876
False,True,0.5,0.1,,,,,,
False,True,0.5,0.2,,,,,,
False,True,0.5,0.4,,,,,,
False,False,0.1,0.05,0.5576754557513608,0.6900393141906709,0.667,0.552717370370056,1.0,0.6648563147329876
False,False,0.1,0.1,,,,,,
False,False,0.1,0.2,,,,,,
False,False,0.1,0.4,,,,,,
False,False,0.15,0.05,0.5576754557513608,0.6900393141906709,0.667,0.552717370370056,1.0,0.6648563147329876
False,False,0.15,0.1,,,,,,
False,False,0.15,0.2,,,,,,
False,False,0.15,0.4,,,,,,
False,False,0.2,0.05,0.5576754557513608,0.6900393141906709,0.667,0.552717370370056,1.0,0.6648563147329876
False,False,0.2,0.1,,,,,,
False,False,0.2,0.2,,,,,,
False,False,0.2,0.4,,,,,,
False,False,0.5,0.05,0.5576754557513608,0.6900393141906709,0.667,0.552717370370056,1.0,0.6648563147329876
False,False,0.5,0.1,,,,,,
False,False,0.5,0.2,,,,,,
False,False,0.5,0.4,,,,,,
