number_cluster,number_represent_points,compression,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score,norm_davies_bouldin_score
2,3,0.1,1.2040140288636471e-05,0.001673382470910694,0.336,0.03594487543240571,3.2622385277542234,0.8811923146305878,0.5315777617326548
2,3,0.25,0.5661651044192915,0.712769235023188,0.666,0.5721051032310887,1444.2655655284473,0.6258245836015166,0.6150725054143333
2,3,0.5,0.569100057967833,0.7258535554787341,0.666,0.5737036250659545,1451.3864130699492,0.6214120567920381,0.61674636981453
2,3,0.75,0.5705711831835333,0.7332037453413733,0.667,0.5738773808716731,1451.1449145639515,0.6201043422196986,0.6172441946732294
2,3,0.9,0.5705711831835333,0.7332037453413733,0.667,0.5738773808716731,1451.1449145639515,0.6201043422196986,0.6172441946732294
2,5,0.1,-4.000016000064e-06,-3.622146186024351e-06,0.334,0.32586316277051686,3.6257023763191936,0.5020883192768331,0.6657398151404579
2,5,0.25,-4.000016000064e-06,-3.622146186024351e-06,0.334,0.32586316277051686,3.6257023763191936,0.5020883192768331,0.6657398151404579
2,5,0.5,0.5669015135768283,0.7248350963611541,0.666,0.5734833243759782,1448.6481068907215,0.6192996250110175,0.6175509365619696
2,5,0.75,-4.000016000064e-06,-3.622146186024351e-06,0.334,0.32586316277051686,3.6257023763191936,0.5020883192768331,0.6657398151404579
2,5,0.9,0.5669015135768283,0.7248350963611541,0.666,0.5728257716225521,1442.5318682254351,0.6201254272322179,0.6172361615905104
2,10,0.1,2.0060140300621263e-06,1.816511755154054e-06,0.335,0.17633200938503124,2.4274458394100233,0.6134097465898393,0.6198053545378884
2,10,0.25,-4.000016000064e-06,-3.622146186024351e-06,0.334,0.32586316277051686,3.6257023763191936,0.5020883192768331,0.6657398151404579
2,10,0.5,-4.000016000064e-06,-3.622146186024351e-06,0.334,0.32586316277051686,3.6257023763191936,0.5020883192768331,0.6657398151404579
2,10,0.75,-4.000016000064e-06,-3.622146186024351e-06,0.334,0.32586316277051686,3.6257023763191936,0.5020883192768331,0.6657398151404579
2,10,0.9,0.5705711831835333,0.7332037453413733,0.667,0.5738773808716731,1451.1449145639515,0.6201043422196986,0.6172441946732294
2,15,0.1,-4.000016000064e-06,-3.622146186024351e-06,0.334,0.32586316277051686,3.6257023763191936,0.5020883192768331,0.6657398151404579
2,15,0.25,-4.000016000064e-06,-3.622146186024351e-06,0.334,0.32586316277051686,3.6257023763191936,0.5020883192768331,0.6657398151404579
2,15,0.5,-4.000016000064e-06,-3.622146186024351e-06,0.334,0.32586316277051686,3.6257023763191936,0.5020883192768331,0.6657398151404579
2,15,0.75,-4.000016000064e-06,-3.622146186024351e-06,0.334,0.32586316277051686,3.6257023763191936,0.5020883192768331,0.6657398151404579
2,15,0.9,0.5669015135768283,0.7248350963611541,0.666,0.5728257716225521,1442.5318682254351,0.6201254272322179,0.6172361615905104
