n_clusters,threshold,branching_factor,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score
8,0.01,30,0.6126026842591032,0.8188155208661128,0.6923076923076923,0.6674580771615961,0.9998520123576388,0.6631930620754226
8,0.01,50,0.6125293846833632,0.8180137382412102,0.6923076923076923,0.6671831732692737,1.0,0.6581488266087834
8,0.01,70,0.6125293846833632,0.8180137382412102,0.6923076923076923,0.6671831732692737,1.0,0.6581488266087834
8,0.05,30,0.612705290382248,0.8198336786743621,0.6921538461538461,0.6696114631497132,0.9992695664982383,0.6944886739626054
8,0.05,50,0.612705290382248,0.8198336786743621,0.6921538461538461,0.6696114631497132,0.9992695664982383,0.6944886739626054
8,0.05,70,0.612705290382248,0.8198336786743621,0.6921538461538461,0.6696114631497132,0.9992695664982383,0.6944886739626054
8,0.1,30,0.6127466742081915,0.8211181858134797,0.6923076923076923,0.5244961904829993,0.9512027287099615,0.6461461584787316
8,0.1,50,0.6127466742081915,0.8211181858134797,0.6923076923076923,0.5244961904829993,0.9512027287099615,0.6461461584787316
8,0.1,70,0.6127466742081915,0.8211181858134797,0.6923076923076923,0.5244961904829993,0.9512027287099615,0.6461461584787316
8,0.3,30,,,,,,
8,0.3,50,,,,,,
8,0.3,70,,,,,,
8,0.5,30,,,,,,
8,0.5,50,,,,,,
8,0.5,70,,,,,,
8,0.7,30,,,,,,
8,0.7,50,,,,,,
8,0.7,70,,,,,,
