n_clusters,init,max_iter,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score
2,k-means++,300,-0.0009452646749945526,-0.0006822857541491698,0.5031000000000001,0.3519733032232511,0.9308780817387525,0.0
2,k-means++,500,-0.000946156146470699,-0.0006828414334318524,0.5027,0.3521104600006836,0.9308416882747941,2.8021703503355866e-05
2,random,300,-0.0009698130737954447,-0.0006998891085747193,0.5025999999999999,0.3532291383058748,0.9317678425614919,0.0027146518835172717
2,random,500,-0.0009606395717539372,-0.0006932287965288976,0.5025000000000001,0.35318538355112544,0.9316654232339292,0.002648909041877534
3,k-means++,300,-0.00123332233004579,-0.001033566801223643,0.5046999999999999,0.3860629929636058,0.9785130926651696,0.29090517275245786
3,k-means++,500,-0.001309853714018,-0.0010975912119372067,0.5025000000000001,0.38743596879992065,0.9786983571421511,0.29292541170108444
3,random,300,-0.0012522393689653904,-0.001049032232109766,0.5046,0.3887591450849042,0.9796319266743643,0.2933275711670671
3,random,500,-0.0012834682146192046,-0.0010753375857159822,0.5036,0.38856846520911675,0.9794565614227448,0.29296024410369914
4,k-means++,300,-0.0014086220831637524,-0.0013580693792148066,0.5050999999999999,0.37630135939724035,0.9951294184468241,0.31473434782978715
4,k-means++,500,-0.001451129204425178,-0.001398212624648462,0.5035999999999999,0.3767419767815424,0.9953329824483845,0.3148941163846187
4,random,300,-0.0014642530760281488,-0.0014111717563633406,0.5029999999999999,0.3789178699665548,0.9958802220533861,0.31675165281836115
4,random,500,-0.0014671090856300812,-0.001413648855661975,0.5031,0.3788229401742183,0.9958560182712288,0.3166882952394672
5,k-means++,300,-0.0014131593940013855,-0.001539963507974355,0.5088,0.35627744314248855,0.9991109430179644,0.2834071292528296
5,k-means++,500,-0.0014931390869636985,-0.0016256736412617247,0.5069000000000001,0.35571505213117816,0.9987601117612808,0.2795466908261658
5,random,300,-0.0013778362477639122,-0.0015032182149085967,0.5099,0.3588728239742927,0.9999421640974547,0.2860264523498831
5,random,500,-0.0014030578030238502,-0.0015294784279030935,0.5098,0.3590390686396148,1.0,0.2861612278858654
